Name,JavaScript Percentage,Test Framework,License
bigbluebutton/bigbluebutton,39.97%,no framework test,GNU Lesser General Public License v3.0
google/closure-compiler,50.57%,no framework test,Apache License 2.0
googlecreativelab/anypixel,66.60%,no framework test,Apache License 2.0
linuxmint/cinnamon,42.16%,no framework test,GNU General Public License v2.0
grpc/grpc-web,56.19%,no framework test,Apache License 2.0
cockpit-project/cockpit,35.21%,no framework test,GNU Lesser General Public License v2.1
4ian/gdevelop,57.99%,no framework test,Other
projectdiscovery/nuclei-templates,100.00%,no framework test,MIT License
jesse-ai/jesse,87.86%,no framework test,MIT License
mobsf/mobile-security-framework-mobsf,37.80%,no framework test,GNU General Public License v3.0
phaserjs/phaser,99.52%,no framework test,MIT License
bitcoinjs/bitcoinjs-lib,51.21%,mocha,MIT License
thedevs-network/kutt,45.64%,no framework test,MIT License
browserslist/browserslist,100.00%,no framework test,MIT License
foundry376/mailspring,41.81%,no framework test,GNU General Public License v3.0
sveltejs/svelte,72.27%,no framework test,MIT License
hotwired/turbo,99.96%,no framework test,MIT License
xifangczy/cat-catch,80.91%,no framework test,GNU General Public License v3.0
vvo/gifify,100.00%,no framework test,ISC License
square/crossfilter,92.64%,no framework test,Other
tumobi/nideshop,100.00%,no framework test,MIT License
ecomfe/fontmin,92.96%,mocha,MIT License
auchenberg/volkswagen,100.00%,no framework test,MIT License
shutterstock/rickshaw,88.66%,jest,MIT License
jashkenas/backbone,56.34%,no framework test,MIT License
lebab/lebab,100.00%,mocha,MIT License
alexlenail/nn-svg,58.47%,no framework test,MIT License
dcloudio/mui,66.42%,no framework test,MIT License
dylang/npm-check,100.00%,no framework test,MIT License
krasimir/react-in-patterns,95.26%,no framework test,MIT License
kristories/awesome-guidelines,100.00%,no framework test,Creative Commons Zero v1.0 Universal
kangax/html-minifier,94.89%,no framework test,MIT License
mapbox/pixelmatch,100.00%,no framework test,ISC License
lindell/jsbarcode,58.32%,mocha,MIT License
js-cookie/js-cookie,95.15%,no framework test,MIT License
gruntjs/grunt,100.00%,no framework test,Other
jakesgordon/javascript-state-machine,99.56%,ava,MIT License
aemkei/jsfuck,72.55%,no framework test,Do What The F*ck You Want To Public License
dylang/shortid,96.55%,mocha,Other
wechat-miniprogram/miniprogram-demo,95.39%,jest,MIT License
jedwatson/classnames,81.92%,no framework test,MIT License
xaboy/form-create,79.65%,no framework test,MIT License
handlebars-lang/handlebars.js,94.65%,mocha,MIT License
designmodo/flat-ui,46.50%,no framework test,MIT License
nextapps-de/flexsearch,100.00%,no framework test,Apache License 2.0
hubotio/hubot,98.84%,no framework test,MIT License
prosemirror/prosemirror,100.00%,no framework test,MIT License
nodegit/nodegit,62.94%,mocha,MIT License
nikolaeu/numi,100.00%,no framework test,MIT License
alexcasalboni/aws-lambda-power-tuning,91.67%,mocha,Apache License 2.0
fengyuanchen/compressorjs,99.82%,mocha,MIT License
qrohlf/trianglify,100.00%,jest,GNU General Public License v3.0
jakearchibald/svgomg,65.65%,no framework test,MIT License
whitestormjs/whs.js,99.98%,jest,MIT License
vitalets/x-editable,95.48%,no framework test,MIT License
zenoamaro/react-quill,64.52%,mocha,MIT License
sallar/github-contributions-chart,79.35%,no framework test,MIT License
c3js/c3,49.68%,no framework test,MIT License
thinkjs/thinkjs,100.00%,ava,MIT License
xiangyuecn/areacity-jsspider-statsgov,69.09%,no framework test,MIT License
naptha/tesseract.js,95.05%,mocha,Apache License 2.0
hiloteam/hilo,98.30%,mocha,MIT License
stevenjoezhang/live2d-widget,84.19%,no framework test,GNU General Public License v3.0
kenwheeler/slick,77.20%,no framework test,MIT License
addyosmani/critical,67.73%,jest,Apache License 2.0
zuiidea/antd-admin,96.11%,no framework test,MIT License
expressjs/morgan,100.00%,mocha,MIT License
chancejs/chancejs,100.00%,ava,MIT License
antvis/f2,91.55%,jest,MIT License
instantpage/instant.page,74.53%,no framework test,MIT License
anvaka/city-roads,49.72%,no framework test,MIT License
browsh-org/browsh,46.15%,no framework test,GNU Lesser General Public License v2.1
apoorvsaxena/lozad.js,100.00%,mocha,MIT License
caolan/async,95.90%,mocha,MIT License
npm/node-semver,100.00%,no framework test,ISC License
adam-p/markdown-here,71.80%,no framework test,MIT License
statsd/statsd,96.76%,no framework test,MIT License
markdown-it/markdown-it,97.11%,mocha,MIT License
bretfisher/udemy-docker-mastery,48.75%,no framework test,MIT License
relaxedjs/relaxed,71.60%,mocha,ISC License
egonschiele/grokking_algorithms,11.75%,no framework test,Other
lockfale/osint-framework,61.44%,no framework test,MIT License
gskinner/regexr,76.88%,no framework test,GNU General Public License v3.0
plopjs/plop,94.94%,no framework test,MIT License
louischatriot/nedb,99.54%,mocha,MIT License
diygod/dplayer,77.31%,no framework test,MIT License
mholt/papaparse,90.47%,mocha,MIT License
melonjs/melonjs,63.01%,no framework test,MIT License
jquery-validation/jquery-validation,95.31%,no framework test,MIT License
svgdotjs/svg.js,98.56%,jasmine,Other
toji/gl-matrix,95.92%,mocha,MIT License
impress/impress.js,88.50%,no framework test,MIT License
foliojs/pdfkit,99.97%,jest,MIT License
insin/nwb,98.36%,no framework test,Other
bvaughn/react-virtualized,97.30%,jest,MIT License
dagrejs/dagre,95.57%,mocha,MIT License
sahat/hackathon-starter,67.66%,mocha,MIT License
philc/vimium,88.50%,no framework test,MIT License
prettier/eslint-config-prettier,98.93%,jest,MIT License
gpujs/gpu.js,98.47%,no framework test,MIT License
terkelg/prompts,95.68%,no framework test,MIT License
mwilliamson/mammoth.js,99.52%,mocha,"BSD 2-Clause ""Simplified"" License"
dvajs/dva,100.00%,no framework test,MIT License
netflix/falcor,99.94%,jest,Apache License 2.0
kpdecker/jsdiff,63.89%,mocha,"BSD 3-Clause ""New"" or ""Revised"" License"
artilleryio/artillery,92.75%,no framework test,Mozilla Public License 2.0
ctrlplusb/easy-peasy,71.63%,jest,MIT License
bytedance/xgplayer,93.43%,jest,MIT License
leonardomso/33-js-concepts,100.00%,no framework test,MIT License
expressjs/multer,100.00%,mocha,MIT License
juliangarnier/anime,83.54%,mocha,MIT License
koajs/koa,100.00%,no framework test,MIT License
localtunnel/localtunnel,100.00%,mocha,MIT License
jquery/jquery-ui,88.06%,no framework test,Other
mattboldt/typed.js,80.32%,no framework test,MIT License
adrai/flowchart.js,91.76%,no framework test,MIT License
jvalen/pixel-art-react,64.39%,jest,MIT License
jhuckaby/cronicle,96.81%,no framework test,Other
browsersync/browser-sync,75.98%,no framework test,Apache License 2.0
text-mask/text-mask,91.61%,mocha,The Unlicense
piskelapp/piskel,83.04%,no framework test,Apache License 2.0
log4js-node/log4js-node,98.30%,no framework test,Other
sindresorhus/execa,79.25%,ava,MIT License
a597873885/webfunny_monitor,99.66%,no framework test,Apache License 2.0
atlassian/react-beautiful-dnd,99.99%,jest,Other
dimsemenov/photoswipe,93.24%,no framework test,MIT License
tailwindlabs/heroicons,100.00%,no framework test,MIT License
webpack-contrib/webpack-bundle-analyzer,96.89%,jest,MIT License
stylus/stylus,53.82%,mocha,MIT License
netflix/pollyjs,98.64%,jest,Apache License 2.0
hackmdio/codimd,75.41%,mocha,GNU Affero General Public License v3.0
sindresorhus/ora,96.40%,ava,MIT License
elasticsearch-dump/elasticsearch-dump,99.81%,mocha,Apache License 2.0
imagemin/imagemin,100.00%,ava,MIT License
motdotla/dotenv,99.13%,no framework test,"BSD 2-Clause ""Simplified"" License"
hackjutsu/lepton,80.41%,no framework test,MIT License
yagop/node-telegram-bot-api,100.00%,mocha,MIT License
bpmn-io/bpmn-js,98.91%,mocha,Other
mikemcl/bignumber.js,98.91%,no framework test,MIT License
mikemcl/big.js,98.63%,no framework test,MIT License
googlechrome/web-vitals,55.10%,no framework test,Apache License 2.0
chinese-poetry/chinese-poetry,77.09%,no framework test,MIT License
facebook/jscodeshift,96.86%,jest,MIT License
sql-js/sql.js,88.84%,no framework test,Other
google-map-react/google-map-react,97.64%,no framework test,MIT License
chalk/chalk,72.94%,ava,MIT License
jasmine/jasmine,98.04%,jasmine,MIT License
ryanhanwu/how-to-ask-questions-the-smart-way,100.00%,no framework test,MIT License
http-party/http-server,98.47%,no framework test,MIT License
sockjs/sockjs-client,90.65%,mocha,MIT License
redux-offline/redux-offline,100.00%,jest,MIT License
fengyuanchen/viewerjs,93.73%,mocha,MIT License
svg-edit/svgedit,96.58%,cypress,MIT License
ai/size-limit,98.27%,no framework test,MIT License
ganeshrvel/openmtp,84.63%,no framework test,MIT License
webtorrent/webtorrent-desktop,94.26%,no framework test,MIT License
rockstarlang/rockstar,89.64%,no framework test,GNU Affero General Public License v3.0
expressjs/session,99.81%,mocha,MIT License
vercel/ncc,98.44%,jest,MIT License
expressjs/express,99.89%,mocha,MIT License
eastworld/wechat-app-mall,100.00%,no framework test,Apache License 2.0
gka/chroma.js,94.11%,no framework test,Other
hql287/manta,93.80%,jest,GNU Lesser General Public License v3.0
betasu/just-react,68.24%,no framework test,MIT License
docmirror/dev-sidecar,79.27%,no framework test,Mozilla Public License 2.0
typicode/json-server,94.72%,no framework test,Other
amark/gun,87.38%,mocha,Other
bpampuch/pdfmake,99.75%,mocha,Other
mozilla/readability,100.00%,mocha,Other
illuspas/node-media-server,99.80%,no framework test,Apache License 2.0
airbnb/javascript,100.00%,no framework test,MIT License
sortablejs/sortable,95.46%,no framework test,MIT License
typicode/lowdb,99.12%,no framework test,MIT License
testing-library/react-testing-library,90.23%,no framework test,MIT License
avwo/whistle,94.22%,no framework test,MIT License
davidsonfellipe/awesome-wpo,58.01%,no framework test,MIT License
chavyleung/scripts,83.36%,no framework test,GNU General Public License v3.0
jgraph/drawio-desktop,96.03%,no framework test,Apache License 2.0
you-dont-need/you-dont-need-lodash-underscore,100.00%,mocha,MIT License
qishibo/anotherredisdesktopmanager,93.14%,no framework test,MIT License
final-form/react-final-form,78.16%,jest,MIT License
haraka/haraka,97.66%,mocha,MIT License
liriliri/eruda,83.49%,no framework test,MIT License
didi/cube-ui,90.79%,mocha,Apache License 2.0
chaijs/chai,99.97%,mocha,MIT License
terser/terser,99.91%,mocha,Other
filipeps/traduzir-paginas-web,81.57%,no framework test,Mozilla Public License 2.0
