file,type,smells,frame
/home/gabriel/Desktop/research/projects/Play_Canvas/tests/framework/assets/test_asset_reference.js,Global Variable,"{'line': 2, 'column': 4, 'index': 48}","  1 | describe('pc.AssetReference', function () {
> 2 |     var app;
    |    ^ Global Variable
  3 |     var parent;
  4 |     var load;
  5 |     var remove;"
/home/gabriel/Desktop/research/projects/Play_Canvas/tests/framework/assets/test_asset_reference.js,Global Variable,"{'line': 3, 'column': 4, 'index': 61}","  1 | describe('pc.AssetReference', function () {
  2 |     var app;
> 3 |     var parent;
    |    ^ Global Variable
  4 |     var load;
  5 |     var remove;
  6 |     var add;"
/home/gabriel/Desktop/research/projects/Play_Canvas/tests/framework/assets/test_asset_reference.js,Global Variable,"{'line': 4, 'column': 4, 'index': 77}","  2 |     var app;
  3 |     var parent;
> 4 |     var load;
    |    ^ Global Variable
  5 |     var remove;
  6 |     var add;
  7 |"
/home/gabriel/Desktop/research/projects/Play_Canvas/tests/framework/assets/test_asset_reference.js,Global Variable,"{'line': 5, 'column': 4, 'index': 91}","  3 |     var parent;
  4 |     var load;
> 5 |     var remove;
    |    ^ Global Variable
  6 |     var add;
  7 |
  8 |     beforeEach(function () {"
/home/gabriel/Desktop/research/projects/Play_Canvas/tests/framework/assets/test_asset_reference.js,Global Variable,"{'line': 6, 'column': 4, 'index': 107}","  4 |     var load;
  5 |     var remove;
> 6 |     var add;
    |    ^ Global Variable
  7 |
  8 |     beforeEach(function () {
  9 |         this.parent = sinon.fake();"
/home/gabriel/Desktop/research/projects/Play_Canvas/tests/framework/assets/test_asset_reference.js,Global Variable,"{'line': 24, 'column': 8, 'index': 528}","  22 |
  23 |     it('pc.AssetReference, load callback', function (done) {
> 24 |         var reg = new pc.AssetReference('propName', this.parent, this.app.assets, {
     |        ^ Global Variable
  25 |             load: this.load
  26 |         });
  27 |"
/home/gabriel/Desktop/research/projects/Play_Canvas/tests/framework/assets/test_asset_reference.js,Global Variable,"{'line': 28, 'column': 8, 'index': 653}","  26 |         });
  27 |
> 28 |         var asset = new pc.Asset(""Reference Test"", ""texture"", {
     |        ^ Global Variable
  29 |             url: 'base/tests/test-assets/sprite/red-atlas.png'
  30 |         });
  31 |"
