"file","type","smells","itCount","describeCount"
"tests/useColor.test.js","SubOptimalAssert","[{""startLine"":41,""endLine"":41}]",6,1
"tests/program.test.js","AnonymousTest","[{""startLine"":25,""endLine"":27}]",11,0
"tests/program.test.js","AnonymousTest","[{""startLine"":29,""endLine"":31}]",11,0
"tests/program.test.js","AnonymousTest","[{""startLine"":33,""endLine"":35}]",11,0
"tests/program.test.js","AnonymousTest","[{""startLine"":37,""endLine"":39}]",11,0
"tests/program.test.js","AnonymousTest","[{""startLine"":41,""endLine"":43}]",11,0
"tests/program.test.js","AnonymousTest","[{""startLine"":45,""endLine"":47}]",11,0
"tests/program.test.js","AnonymousTest","[{""startLine"":49,""endLine"":51}]",11,0
"tests/program.test.js","AnonymousTest","[{""startLine"":53,""endLine"":56}]",11,0
"tests/program.test.js","AnonymousTest","[{""startLine"":58,""endLine"":60}]",11,0
"tests/program.test.js","AnonymousTest","[{""startLine"":62,""endLine"":64}]",11,0
"tests/program.test.js","AnonymousTest","[{""startLine"":66,""endLine"":68}]",11,0
"tests/options.version.test.js","NonFunctionalStatement","[{""startLine"":161,""endLine"":161}]",13,1
"tests/options.variadic.test.js","IdenticalTestDescription","[{""startLine"":133,""endLine"":139}]",18,3
"tests/options.variadic.test.js","IdenticalTestDescription","[{""startLine"":141,""endLine"":147}]",18,3
"tests/options.values.test.js","IdenticalTestDescription","[{""startLine"":52,""endLine"":56}]",9,1
"tests/options.values.test.js","IdenticalTestDescription","[{""startLine"":58,""endLine"":62}]",9,1
"tests/options.values.test.js","IdenticalTestDescription","[{""startLine"":64,""endLine"":68}]",9,1
"tests/options.values.test.js","IdenticalTestDescription","[{""startLine"":70,""endLine"":74}]",9,1
"tests/options.required.test.js","IdenticalTestDescription","[{""startLine"":49,""endLine"":56}]",6,2
"tests/options.required.test.js","IdenticalTestDescription","[{""startLine"":58,""endLine"":75}]",6,2
"tests/options.optsWithGlobals.test.js","NonFunctionalStatement","[{""startLine"":83,""endLine"":83}]",8,2
"tests/options.optsWithGlobals.test.js","NonFunctionalStatement","[{""startLine"":95,""endLine"":95}]",8,2
"tests/options.optsWithGlobals.test.js","NonFunctionalStatement","[{""startLine"":109,""endLine"":109}]",8,2
"tests/options.optional.test.js","IdenticalTestDescription","[{""startLine"":46,""endLine"":53}]",8,2
"tests/options.optional.test.js","IdenticalTestDescription","[{""startLine"":55,""endLine"":61}]",8,2
"tests/options.mandatory.test.js","GeneralFixture","[{""startLine"":202,""endLine"":204}]",20,5
"tests/options.mandatory.test.js","GeneralFixture","[{""startLine"":248,""endLine"":248}]",20,5
"tests/options.mandatory.test.js","NonFunctionalStatement","[{""startLine"":94,""endLine"":94}]",20,5
"tests/options.mandatory.test.js","NonFunctionalStatement","[{""startLine"":107,""endLine"":107}]",20,5
"tests/options.mandatory.test.js","NonFunctionalStatement","[{""startLine"":154,""endLine"":154}]",20,5
"tests/options.mandatory.test.js","NonFunctionalStatement","[{""startLine"":204,""endLine"":204}]",20,5
"tests/options.mandatory.test.js","NonFunctionalStatement","[{""startLine"":221,""endLine"":221}]",20,5
"tests/options.mandatory.test.js","NonFunctionalStatement","[{""startLine"":234,""endLine"":234}]",20,5
"tests/options.mandatory.test.js","NonFunctionalStatement","[{""startLine"":248,""endLine"":248}]",20,5
"tests/options.mandatory.test.js","NonFunctionalStatement","[{""startLine"":279,""endLine"":279}]",20,5
"tests/options.implies.test.js","NonFunctionalStatement","[{""startLine"":156,""endLine"":156}]",21,1
"tests/options.implies.test.js","NonFunctionalStatement","[{""startLine"":183,""endLine"":183}]",21,1
"tests/options.env.test.js","IdenticalTestDescription","[{""startLine"":86,""endLine"":91}]",31,7
"tests/options.env.test.js","IdenticalTestDescription","[{""startLine"":152,""endLine"":159}]",31,7
"tests/options.env.test.js","NonFunctionalStatement","[{""startLine"":250,""endLine"":250}]",31,7
"tests/options.env.test.js","NonFunctionalStatement","[{""startLine"":258,""endLine"":258}]",31,7
"tests/options.dual-options.test.js","IdenticalTestDescription","[{""startLine"":91,""endLine"":94}]",13,2
"tests/options.default.test.js","IdenticalTestDescription","[{""startLine"":63,""endLine"":68}]",26,3
"tests/options.default.test.js","IdenticalTestDescription","[{""startLine"":70,""endLine"":75}]",26,3
"tests/options.default.test.js","IdenticalTestDescription","[{""startLine"":77,""endLine"":82}]",26,3
"tests/options.default.test.js","IdenticalTestDescription","[{""startLine"":84,""endLine"":89}]",26,3
"tests/options.default.test.js","IdenticalTestDescription","[{""startLine"":91,""endLine"":96}]",26,3
"tests/options.default.test.js","IdenticalTestDescription","[{""startLine"":98,""endLine"":103}]",26,3
"tests/options.default.test.js","IdenticalTestDescription","[{""startLine"":105,""endLine"":110}]",26,3
"tests/options.default.test.js","IdenticalTestDescription","[{""startLine"":112,""endLine"":118}]",26,3
"tests/options.conflicts.test.js","NonFunctionalStatement","[{""startLine"":11,""endLine"":11}]",21,1
"tests/options.conflicts.test.js","NonFunctionalStatement","[{""startLine"":12,""endLine"":12}]",21,1
"tests/options.choices.test.js","NonFunctionalStatement","[{""startLine"":20,""endLine"":20}]",5,1
"tests/options.choices.test.js","NonFunctionalStatement","[{""startLine"":53,""endLine"":53}]",5,1
"tests/options.bool.test.js","IdenticalTestDescription","[{""startLine"":38,""endLine"":49}]",13,4
"tests/options.bool.test.js","IdenticalTestDescription","[{""startLine"":51,""endLine"":62}]",13,4
"tests/options.bool.test.js","IdenticalTestDescription","[{""startLine"":64,""endLine"":75}]",13,4
"tests/options.bool.test.js","IdenticalTestDescription","[{""startLine"":77,""endLine"":88}]",13,4
"tests/options.bool.test.js","IdenticalTestDescription","[{""startLine"":131,""endLine"":136}]",13,4
"tests/options.bool.combo.test.js","IdenticalTestDescription","[{""startLine"":65,""endLine"":69}]",17,5
"tests/options.bool.combo.test.js","IdenticalTestDescription","[{""startLine"":71,""endLine"":75}]",17,5
"tests/options.bool.combo.test.js","IdenticalTestDescription","[{""startLine"":86,""endLine"":90}]",17,5
"tests/options.bool.combo.test.js","IdenticalTestDescription","[{""startLine"":92,""endLine"":96}]",17,5
"tests/options.bool.combo.test.js","IdenticalTestDescription","[{""startLine"":108,""endLine"":112}]",17,5
"tests/options.bool.combo.test.js","IdenticalTestDescription","[{""startLine"":114,""endLine"":118}]",17,5
"tests/options.bool.combo.test.js","IdenticalTestDescription","[{""startLine"":134,""endLine"":138}]",17,5
"tests/options.bool.combo.test.js","IdenticalTestDescription","[{""startLine"":146,""endLine"":150}]",17,5
"tests/option.chain.test.js","NonFunctionalStatement","[{""startLine"":12,""endLine"":12}]",8,1
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":28,""endLine"":28}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":48,""endLine"":48}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":70,""endLine"":70}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":94,""endLine"":94}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":118,""endLine"":118}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":141,""endLine"":141}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":164,""endLine"":164}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":219,""endLine"":219}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":247,""endLine"":247}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":252,""endLine"":252}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":262,""endLine"":262}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":264,""endLine"":264}]",5,0
"tests/negatives.test.js","NonFunctionalStatement","[{""startLine"":265,""endLine"":265}]",5,0
"tests/incrementNodeInspectorPort.test.js","GeneralFixture","[{""startLine"":16,""endLine"":16}]",12,1
"tests/incrementNodeInspectorPort.test.js","NonFunctionalStatement","[{""startLine"":13,""endLine"":13}]",12,1
"tests/incrementNodeInspectorPort.test.js","NonFunctionalStatement","[{""startLine"":16,""endLine"":16}]",12,1
"tests/helpGroup.test.js","IdenticalTestDescription","[{""startLine"":243,""endLine"":251}]",27,4
"tests/help.suggestion.test.js","NonFunctionalStatement","[{""startLine"":131,""endLine"":131}]",17,0
