file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/useColor.test.js,Conditional Test Logic,"{'line': 15, 'column': 4, 'index': 423}","  13 |
  14 |   afterAll(() => {
> 15 |     if (holdNoColor === undefined) delete process.env.NO_COLOR;
     |    ^ Conditional Test Logic
  16 |     else process.env.NO_COLOR = holdNoColor;
  17 |
  18 |     if (holdForceColor === undefined) delete process.env.FORCE_COLOR;"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/useColor.test.js,Conditional Test Logic,"{'line': 18, 'column': 4, 'index': 533}","  16 |     else process.env.NO_COLOR = holdNoColor;
  17 |
> 18 |     if (holdForceColor === undefined) delete process.env.FORCE_COLOR;
     |    ^ Conditional Test Logic
  19 |     else process.env.FORCE_COLOR = holdForceColor;
  20 |
  21 |     if (holdCliColorForce === undefined) delete process.env.CLICOLOR_FORCE;"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/useColor.test.js,Conditional Test Logic,"{'line': 21, 'column': 4, 'index': 655}","  19 |     else process.env.FORCE_COLOR = holdForceColor;
  20 |
> 21 |     if (holdCliColorForce === undefined) delete process.env.CLICOLOR_FORCE;
     |    ^ Conditional Test Logic
  22 |     else process.env.CLICOLOR_FORCE = holdCliColorForce;
  23 |   });
  24 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.version.test.js,Exception Handling,"{'line': 11, 'column': 6, 'index': 476}","   9 |     // Override unknownOption as convenient way to check fails as expected.
  10 |     jest.spyOn(program, 'unknownOption').mockImplementation(() => {
> 11 |       throw new Error(errorMessage);
     |      ^ Exception Handling
  12 |     });
  13 |
  14 |     expect(() => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.variadic.test.js,Magic Number,"{'line': 111, 'column': 44, 'index': 3856}","  109 |     // variadic processing reads the multiple values, but up to custom coercion what it does.
  110 |     program.parse(['--required', '1e2', '1e3'], { from: 'user' });
> 111 |     expect(program.opts().required).toEqual(1000);
      |                                            ^ Magic Number
  112 |   });
  113 | });
  114 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.required.test.js,Exception Handling,"{'line': 23, 'column': 6, 'index': 894}","  21 |     // Arrange. Mock error routine to allow interception.
  22 |     const mockOptionMissingArgument = jest.fn(() => {
> 23 |       throw new Error('optionMissingArgument');
     |      ^ Exception Handling
  24 |     });
  25 |     const program = new commander.Command();
  26 |     program.optionMissingArgument = mockOptionMissingArgument;"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.required.test.js,Exception Handling,"{'line': 61, 'column': 6, 'index': 2318}","  59 |     // Arrange. Mock error routine to allow interception.
  60 |     const mockOptionMissingArgument = jest.fn(() => {
> 61 |       throw new Error('optionMissingArgument');
     |      ^ Exception Handling
  62 |     });
  63 |     const defaultValue = 'default';
  64 |     const program = new commander.Command();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.mandatory.test.js,Exception Handling,"{'line': 264, 'column': 4, 'index': 8340}","  262 |
  263 |     let caughtErr;
> 264 |     try {
      |    ^ Exception Handling
  265 |       program.parse(['node', 'test', '--help']);
  266 |     } catch (err) {
  267 |       caughtErr = err;"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.mandatory.test.js,Exception Handling,"{'line': 282, 'column': 4, 'index': 8818}","  280 |
  281 |     let caughtErr;
> 282 |     try {
      |    ^ Exception Handling
  283 |       program.parse(['node', 'test', 'sub', '--help']);
  284 |     } catch (err) {
  285 |       caughtErr = err;"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.getset.test.js,Duplicate Assert,"{'line': 65, 'column': 2, 'index': 2485}","  63 |   const program = new commander.Command();
  64 |   program.option('--foo', 'description', 'default value');
> 65 |   expect(program.getOptionValueSource('foo')).toBe('default');
     |  ^ Duplicate Assert
  66 |   program.setOptionValue('foo', 'bar');
  67 |   expect(program.getOptionValueSource('foo')).toBeUndefined();
  68 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.getset.test.js,Duplicate Assert,"{'line': 67, 'column': 2, 'index': 2588}","  65 |   expect(program.getOptionValueSource('foo')).toBe('default');
  66 |   program.setOptionValue('foo', 'bar');
> 67 |   expect(program.getOptionValueSource('foo')).toBeUndefined();
     |  ^ Duplicate Assert
  68 | });
  69 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.env.test.js,Duplicate Assert,"{'line': 275, 'column': 4, 'index': 10019}","  273 |     );
  274 |     program.parse(['--foo', 'cli'], { from: 'user' });
> 275 |     expect(optionEventMock).toHaveBeenCalledWith('cli');
      |    ^ Duplicate Assert
  276 |     expect(optionEventMock).toHaveBeenCalledTimes(1);
  277 |     expect(optionEnvEventMock).toHaveBeenCalledTimes(0);
  278 |     delete process.env.BAR;"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.env.test.js,Duplicate Assert,"{'line': 276, 'column': 4, 'index': 10076}","  274 |     program.parse(['--foo', 'cli'], { from: 'user' });
  275 |     expect(optionEventMock).toHaveBeenCalledWith('cli');
> 276 |     expect(optionEventMock).toHaveBeenCalledTimes(1);
      |    ^ Duplicate Assert
  277 |     expect(optionEnvEventMock).toHaveBeenCalledTimes(0);
  278 |     delete process.env.BAR;
  279 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.env.test.js,Duplicate Assert,"{'line': 291, 'column': 4, 'index': 10592}","  289 |     );
  290 |     program.parse(['--foo', 'cli'], { from: 'user' });
> 291 |     expect(parseMock).toHaveBeenCalledWith('cli', undefined);
      |    ^ Duplicate Assert
  292 |     expect(parseMock).toHaveBeenCalledTimes(1);
  293 |     delete process.env.BAR;
  294 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.env.test.js,Duplicate Assert,"{'line': 292, 'column': 4, 'index': 10654}","  290 |     program.parse(['--foo', 'cli'], { from: 'user' });
  291 |     expect(parseMock).toHaveBeenCalledWith('cli', undefined);
> 292 |     expect(parseMock).toHaveBeenCalledTimes(1);
      |    ^ Duplicate Assert
  293 |     delete process.env.BAR;
  294 |   });
  295 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.dual-options.test.js,Magic Number,"{'line': 10, 'column': 46, 'index': 410}","   8 |   program.option('--one');
   9 |   const helper = new DualOptions(program.options);
> 10 |   expect(helper.positiveOptions.size).toEqual(1);
     |                                              ^ Magic Number
  11 |   expect(helper.negativeOptions.size).toEqual(0);
  12 |   expect(helper.dualOptions.size).toEqual(0);
  13 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.dual-options.test.js,Magic Number,"{'line': 11, 'column': 46, 'index': 460}","   9 |   const helper = new DualOptions(program.options);
  10 |   expect(helper.positiveOptions.size).toEqual(1);
> 11 |   expect(helper.negativeOptions.size).toEqual(0);
     |                                              ^ Magic Number
  12 |   expect(helper.dualOptions.size).toEqual(0);
  13 | });
  14 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.dual-options.test.js,Magic Number,"{'line': 12, 'column': 42, 'index': 506}","  10 |   expect(helper.positiveOptions.size).toEqual(1);
  11 |   expect(helper.negativeOptions.size).toEqual(0);
> 12 |   expect(helper.dualOptions.size).toEqual(0);
     |                                          ^ Magic Number
  13 | });
  14 |
  15 | test('when negative option then stored in negativeOptions', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.dual-options.test.js,Magic Number,"{'line': 19, 'column': 46, 'index': 743}","  17 |   program.option('--no-one');
  18 |   const helper = new DualOptions(program.options);
> 19 |   expect(helper.positiveOptions.size).toEqual(0);
     |                                              ^ Magic Number
  20 |   expect(helper.negativeOptions.size).toEqual(1);
  21 |   expect(helper.dualOptions.size).toEqual(0);
  22 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.dual-options.test.js,Magic Number,"{'line': 20, 'column': 46, 'index': 793}","  18 |   const helper = new DualOptions(program.options);
  19 |   expect(helper.positiveOptions.size).toEqual(0);
> 20 |   expect(helper.negativeOptions.size).toEqual(1);
     |                                              ^ Magic Number
  21 |   expect(helper.dualOptions.size).toEqual(0);
  22 | });
  23 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.dual-options.test.js,Magic Number,"{'line': 21, 'column': 42, 'index': 839}","  19 |   expect(helper.positiveOptions.size).toEqual(0);
  20 |   expect(helper.negativeOptions.size).toEqual(1);
> 21 |   expect(helper.dualOptions.size).toEqual(0);
     |                                          ^ Magic Number
  22 | });
  23 |
  24 | test('when unrelated positive and negative options then no dual options', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/commander.js/tests/options.dual-options.test.js,Magic Number,"{'line': 28, 'column': 42, 'index': 1102}","  26 |   program.option('--one').option('--no-two');
  27 |   const helper = new DualOptions(program.options);
