file,type,line,method,methodStart,methodEnd,source
/test/Model.spec.js,IdenticalTestDescription,"{'startLine':483,'endLine':493}","it(""accepts boolean to disable"", () => {
                let model = new Model({ disableRequestDeduplication: true });
                expect(model._enableRequestDeduplication).toBe(false);

                for (let index = 0; index < notTrue.length; index++) {
                    model = new Model({
                        disableRequestDeduplication: notTrue[index],
                    });
                    expect(model._enableRequestDeduplication).toBe(true);
                }
            })",483,493,snuts
/test/Model.spec.js,IdenticalTestDescription,"{'startLine':495,'endLine':501}","it(""is enabled by default"", () => {
                let model = new Model();
                expect(model._enableRequestDeduplication).toBe(true);

                model = new Model({});
                expect(model._enableRequestDeduplication).toBe(true);
            })",495,501,snuts
/test/Model.spec.js,IdenticalTestDescription,"{'startLine':503,'endLine':510}","it(""is copied on clone"", () => {
                const model = new Model({ disableRequestDeduplication: true });
                const clone = model._clone();

                expect(clone._enableRequestDeduplication).toBe(
                    model._enableRequestDeduplication
                );
            })",503,510,snuts
/test/Model.spec.js,ConditionalTestLogic,"{'startLine':116,'endLine':122}","it(""unsubscribing should cancel DataSource request."", (done) => {
        let onNextCalled = 0,
            onErrorCalled = 0,
            onCompletedCalled = 0,
            unusubscribeCalled = 0,
            dataSourceGetCalled = 0;

        const model = new Model({
            cache: {
                list: {
                    0: { name: ""test"" },
                },
            },
            source: {
                get() {
                    return {
                        subscribe(observerOrOnNext, onError, onCompleted) {
                            dataSourceGetCalled++;
                            const handle = setTimeout(() => {
                                const response = {
                                    jsonGraph: {
                                        list: {
                                            1: { name: ""another test"" },
                                        },
                                    },
                                    paths: [""list"", 1, ""name""],
                                };

                                if (typeof observerOrOnNext === ""function"") {
                                    observerOrOnNext(response);
                                    onCompleted();
                                } else {
                                    observerOrOnNext.onNext(response);
                                    observerOrOnNext.onCompleted();
                                }
                            });

                            return {
                                dispose() {
                                    unusubscribeCalled++;
                                    clearTimeout(handle);
                                },
                            };
                        },
                    };
                },
            },
        });

        const subscription = model.get(""list[0,1].name"").subscribe(
            (value) => {
                onNextCalled++;
            },
            (error) => {
                onErrorCalled++;
            },
            () => {
                onCompletedCalled++;
            }
        );

        subscription.dispose();

        if (
            dataSourceGetCalled === 1 &&
            !onNextCalled &&
            unusubscribeCalled === 1 &&
            !onErrorCalled &&
            !onCompletedCalled
        ) {
            done();
        } else {
            done(new Error(""DataSource unsubscribe not called.""));
        }
    })",88,162,snuts
/test/Model.spec.js,ConditionalTestLogic,"{'startLine':151,'endLine':161}","it(""unsubscribing should cancel DataSource request."", (done) => {
        let onNextCalled = 0,
            onErrorCalled = 0,
            onCompletedCalled = 0,
            unusubscribeCalled = 0,
            dataSourceGetCalled = 0;

        const model = new Model({
            cache: {
                list: {
                    0: { name: ""test"" },
                },
            },
            source: {
                get() {
                    return {
                        subscribe(observerOrOnNext, onError, onCompleted) {
                            dataSourceGetCalled++;
                            const handle = setTimeout(() => {
                                const response = {
                                    jsonGraph: {
                                        list: {
                                            1: { name: ""another test"" },
                                        },
                                    },
                                    paths: [""list"", 1, ""name""],
                                };

                                if (typeof observerOrOnNext === ""function"") {
                                    observerOrOnNext(response);
                                    onCompleted();
                                } else {
                                    observerOrOnNext.onNext(response);
                                    observerOrOnNext.onCompleted();
                                }
                            });

                            return {
                                dispose() {
                                    unusubscribeCalled++;
                                    clearTimeout(handle);
                                },
                            };
                        },
                    };
                },
            },
        });

        const subscription = model.get(""list[0,1].name"").subscribe(
            (value) => {
                onNextCalled++;
            },
            (error) => {
                onErrorCalled++;
            },
            () => {
                onCompletedCalled++;
            }
        );

        subscription.dispose();

        if (
            dataSourceGetCalled === 1 &&
            !onNextCalled &&
            unusubscribeCalled === 1 &&
            !onErrorCalled &&
            !onCompletedCalled
        ) {
            done();
        } else {
            done(new Error(""DataSource unsubscribe not called.""));
        }
    })",88,162,snuts
/test/Model.spec.js,ConditionalTestLogic,"{'startLine':194,'endLine':200}","it(""unsubscribing should dispose batched DataSource request."", (done) => {
        let onNextCalled = 0,
            onErrorCalled = 0,
            onCompletedCalled = 0,
            unusubscribeCalled = 0,
            dataSourceGetCalled = 0;
        let onDataSourceGet, onDisposedOrCompleted;

        let model = new Model({
            cache: {
                list: {
                    0: { name: ""test"" },
                },
            },
            source: {
                get() {
                    return {
                        subscribe(observerOrOnNext, onError, onCompleted) {
                            dataSourceGetCalled++;
                            const handle = setTimeout(() => {
                                const response = {
                                    jsonGraph: {
                                        list: {
                                            1: { name: ""another test"" },
                                        },
                                    },
                                    paths: [""list"", 1, ""name""],
                                };

                                onDataSourceGet && onDataSourceGet();
                                if (typeof observerOrOnNext === ""function"") {
                                    observerOrOnNext(response);
                                    onCompleted();
                                } else {
                                    observerOrOnNext.onNext(response);
                                    observerOrOnNext.onCompleted();
                                }

                                onDisposedOrCompleted &&
                                    onDisposedOrCompleted();
                            });

                            return {
                                dispose() {
                                    unusubscribeCalled++;
                                    clearTimeout(handle);
                                },
                            };
                        },
                    };
                },
            },
        });
        model = model.batch();

        const subscription = model.get(""list[0,1].name"").subscribe(
            (value) => {
                onNextCalled++;
            },
            (error) => {
                onErrorCalled++;
            },
            () => {
                onCompletedCalled++;
            }
        );

        onDataSourceGet = function () {
            subscription.dispose();
        };

        onDisposedOrCompleted = function () {
            if (
                dataSourceGetCalled === 1 &&
                !onNextCalled &&
                unusubscribeCalled === 1 &&
                !onErrorCalled &&
                !onCompletedCalled
            ) {
                done();
            } else {
                done(new Error(""DataSource dispose not called.""));
            }
        };
    })",164,248,snuts
/test/Model.spec.js,ConditionalTestLogic,"{'startLine':236,'endLine':246}","it(""unsubscribing should dispose batched DataSource request."", (done) => {
        let onNextCalled = 0,
            onErrorCalled = 0,
            onCompletedCalled = 0,
            unusubscribeCalled = 0,
            dataSourceGetCalled = 0;
        let onDataSourceGet, onDisposedOrCompleted;

        let model = new Model({
            cache: {
                list: {
                    0: { name: ""test"" },
                },
            },
            source: {
                get() {
                    return {
                        subscribe(observerOrOnNext, onError, onCompleted) {
                            dataSourceGetCalled++;
                            const handle = setTimeout(() => {
                                const response = {
                                    jsonGraph: {
                                        list: {
                                            1: { name: ""another test"" },
                                        },
                                    },
                                    paths: [""list"", 1, ""name""],
                                };

                                onDataSourceGet && onDataSourceGet();
                                if (typeof observerOrOnNext === ""function"") {
                                    observerOrOnNext(response);
                                    onCompleted();
                                } else {
                                    observerOrOnNext.onNext(response);
                                    observerOrOnNext.onCompleted();
                                }

                                onDisposedOrCompleted &&
                                    onDisposedOrCompleted();
                            });

                            return {
                                dispose() {
                                    unusubscribeCalled++;
                                    clearTimeout(handle);
                                },
                            };
                        },
                    };
                },
            },
        });
        model = model.batch();

        const subscription = model.get(""list[0,1].name"").subscribe(
            (value) => {
                onNextCalled++;
            },
            (error) => {
                onErrorCalled++;
            },
            () => {
                onCompletedCalled++;
            }
        );

        onDataSourceGet = function () {
            subscription.dispose();
        };

        onDisposedOrCompleted = function () {
            if (
                dataSourceGetCalled === 1 &&
                !onNextCalled &&
                unusubscribeCalled === 1 &&
                !onErrorCalled &&
                !onCompletedCalled
            ) {
                done();
            } else {
                done(new Error(""DataSource dispose not called.""));
            }
        };
    })",164,248,snuts
/test/Model.spec.js,ConditionalTestLogic,"{'startLine':280,'endLine':286}","it('unsubscribing should ""unsubscribe"" batched DataSource request, if applicable.', (done) => {
        let onNextCalled = 0,
            onErrorCalled = 0,
            onCompletedCalled = 0,
            unusubscribeCalled = 0,
            dataSourceGetCalled = 0;
        let onDataSourceGet, onDisposedOrCompleted;

        let model = new Model({
            cache: {
                list: {
                    0: { name: ""test"" },
                },
            },
            source: {
                get() {
                    return {
                        subscribe(observerOrOnNext, onError, onCompleted) {
                            dataSourceGetCalled++;
                            const handle = setTimeout(() => {
                                const response = {
                                    jsonGraph: {
                                        list: {
                                            1: { name: ""another test"" },
                                        },
                                    },
                                    paths: [""list"", 1, ""name""],
                                };

                                onDataSourceGet && onDataSourceGet();
                                if (typeof observerOrOnNext === ""function"") {
                                    observerOrOnNext(response);
                                    onCompleted();
                                } else {
                                    observerOrOnNext.onNext(response);
                                    observerOrOnNext.onCompleted();
                                }

                                onDisposedOrCompleted &&
                                    onDisposedOrCompleted();
                            });

                            return {
                                unsubscribe() {
                                    unusubscribeCalled++;
                                    clearTimeout(handle);
                                },
                            };
                        },
                    };
                },
            },
        });
        model = model.batch();

        const subscription = model.get(""list[0,1].name"").subscribe(
            (value) => {
                onNextCalled++;
            },
            (error) => {
                onErrorCalled++;
            },
            () => {
                onCompletedCalled++;
            }
        );

        onDataSourceGet = function () {
            subscription.dispose();
        };

        onDisposedOrCompleted = function () {
            if (
                dataSourceGetCalled === 1 &&
                !onNextCalled &&
                unusubscribeCalled === 1 &&
                !onErrorCalled &&
                !onCompletedCalled
            ) {
                done();
            } else {
                done(new Error(""DataSource unsubscribe not called.""));
            }
        };
    })",250,334,snuts
/test/Model.spec.js,ConditionalTestLogic,"{'startLine':322,'endLine':332}","it('unsubscribing should ""unsubscribe"" batched DataSource request, if applicable.', (done) => {
        let onNextCalled = 0,
            onErrorCalled = 0,
            onCompletedCalled = 0,
            unusubscribeCalled = 0,
            dataSourceGetCalled = 0;
        let onDataSourceGet, onDisposedOrCompleted;

        let model = new Model({
            cache: {
                list: {
                    0: { name: ""test"" },
                },
            },
            source: {
                get() {
                    return {
                        subscribe(observerOrOnNext, onError, onCompleted) {
                            dataSourceGetCalled++;
                            const handle = setTimeout(() => {
                                const response = {
                                    jsonGraph: {
                                        list: {
                                            1: { name: ""another test"" },
                                        },
                                    },
                                    paths: [""list"", 1, ""name""],
                                };

                                onDataSourceGet && onDataSourceGet();
                                if (typeof observerOrOnNext === ""function"") {
                                    observerOrOnNext(response);
                                    onCompleted();
                                } else {
                                    observerOrOnNext.onNext(response);
                                    observerOrOnNext.onCompleted();
                                }

                                onDisposedOrCompleted &&
                                    onDisposedOrCompleted();
                            });

                            return {
                                unsubscribe() {
                                    unusubscribeCalled++;
                                    clearTimeout(handle);
                                },
                            };
                        },
                    };
                },
            },
        });
        model = model.batch();

        const subscription = model.get(""list[0,1].name"").subscribe(
            (value) => {
                onNextCalled++;
            },
            (error) => {
                onErrorCalled++;
            },
            () => {
                onCompletedCalled++;
            }
        );

        onDataSourceGet = function () {
            subscription.dispose();
        };

        onDisposedOrCompleted = function () {
            if (
                dataSourceGetCalled === 1 &&
                !onNextCalled &&
                unusubscribeCalled === 1 &&
                !onErrorCalled &&
                !onCompletedCalled
            ) {
                done();
            } else {
                done(new Error(""DataSource unsubscribe not called.""));
            }
        };
    })",250,334,snuts
/test/Model.spec.js,ConditionalTestLogic,"{'startLine':364,'endLine':370}","it(""Supports RxJS 5."", (done) => {
        let onNextCalled = 0,
            onErrorCalled = 0,
            onCompletedCalled = 0,
            unusubscribeCalled = 0,
            dataSourceGetCalled = 0;

        const model = new Model({
            cache: {
                list: {
                    0: { name: ""test"" },
                },
            },
            source: {
                get() {
                    return {
                        subscribe(observerOrOnNext, onError, onCompleted) {
                            dataSourceGetCalled++;
                            const handle = setTimeout(() => {
                                const response = {
                                    jsonGraph: {
                                        list: {
                                            1: { name: ""another test"" },
                                        },
                                    },
                                    paths: [""list"", 1, ""name""],
                                };

                                if (typeof observerOrOnNext === ""function"") {
                                    observerOrOnNext(response);
                                    onCompleted();
                                } else {
                                    observerOrOnNext.onNext(response);
                                    observerOrOnNext.onCompleted();
                                }
                            });

                            return {
                                dispose() {
                                    unusubscribeCalled++;
                                    clearTimeout(handle);
                                },
                            };
                        },
                    };
                },
            },
        });

        const subscription = rxjs.Observable.from(
            model.get(""list[0,1].name"")
        ).subscribe(
            (value) => {
                onNextCalled++;
            },
            (error) => {
                onErrorCalled++;
            },
            () => {
                onCompletedCalled++;
            }
        );

        subscription.unsubscribe();

        if (
            dataSourceGetCalled === 1 &&
            !onNextCalled &&
            unusubscribeCalled === 1 &&
            !onErrorCalled &&
            !onCompletedCalled
        ) {
            done();
        } else {
            done(new Error(""DataSource unsubscribe not called.""));
        }
    })",336,412,snuts
