"file","type","smells","itCount","describeCount"
"test/Model.spec.js","IdenticalTestDescription","[{""startLine"":483,""endLine"":493}]",18,5
"test/Model.spec.js","IdenticalTestDescription","[{""startLine"":495,""endLine"":501}]",18,5
"test/Model.spec.js","IdenticalTestDescription","[{""startLine"":503,""endLine"":510}]",18,5
"test/Model.spec.js","ConditionalTestLogic","[{""startLine"":116,""endLine"":122}]",18,5
"test/Model.spec.js","ConditionalTestLogic","[{""startLine"":151,""endLine"":161}]",18,5
"test/Model.spec.js","ConditionalTestLogic","[{""startLine"":194,""endLine"":200}]",18,5
"test/Model.spec.js","ConditionalTestLogic","[{""startLine"":236,""endLine"":246}]",18,5
"test/Model.spec.js","ConditionalTestLogic","[{""startLine"":280,""endLine"":286}]",18,5
"test/Model.spec.js","ConditionalTestLogic","[{""startLine"":322,""endLine"":332}]",18,5
"test/Model.spec.js","ConditionalTestLogic","[{""startLine"":364,""endLine"":370}]",18,5
"test/Model.spec.js","ConditionalTestLogic","[{""startLine"":401,""endLine"":411}]",18,5
"test/Model.spec.js","NonFunctionalStatement","[{""startLine"":518,""endLine"":518}]",18,5
"test/Model.spec.js","NonFunctionalStatement","[{""startLine"":539,""endLine"":539}]",18,5
"test/Model.spec.js","SubOptimalAssert","[{""startLine"":68,""endLine"":68}]",18,5
"test/set/edge-cases.spec.js","ConditionalTestLogic","[{""startLine"":98,""endLine"":100}]",3,1
"test/set/edge-cases.spec.js","NonFunctionalStatement","[{""startLine"":5,""endLine"":5}]",3,1
"test/response/ModelResponseObserver.spec.js","NonFunctionalStatement","[{""startLine"":68,""endLine"":68}]",12,1
"test/response/ModelResponseObserver.spec.js","NonFunctionalStatement","[{""startLine"":86,""endLine"":86}]",12,1
"test/response/ModelResponseObserver.spec.js","NonFunctionalStatement","[{""startLine"":87,""endLine"":87}]",12,1
"test/response/ModelResponseObserver.spec.js","NonFunctionalStatement","[{""startLine"":152,""endLine"":152}]",12,1
"test/response/ModelResponseObserver.spec.js","NonFunctionalStatement","[{""startLine"":170,""endLine"":170}]",12,1
"test/response/ModelResponseObserver.spec.js","NonFunctionalStatement","[{""startLine"":171,""endLine"":171}]",12,1
"test/response/ModelResponseObserver.spec.js","SubOptimalAssert","[{""startLine"":43,""endLine"":43}]",12,1
"test/response/ModelResponseObserver.spec.js","SubOptimalAssert","[{""startLine"":59,""endLine"":59}]",12,1
