file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Conditional Test Logic,"{'line': 116, 'column': 32, 'index': 3654}","  114 |                                 };
  115 |
> 116 |                                 if (typeof observerOrOnNext === ""function"") {
      |                                ^ Conditional Test Logic
  117 |                                     observerOrOnNext(response);
  118 |                                     onCompleted();
  119 |                                 } else {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Conditional Test Logic,"{'line': 151, 'column': 8, 'index': 4759}","  149 |         subscription.dispose();
  150 |
> 151 |         if (
      |        ^ Conditional Test Logic
  152 |             dataSourceGetCalled === 1 &&
  153 |             !onNextCalled &&
  154 |             unusubscribeCalled === 1 &&"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Conditional Test Logic,"{'line': 194, 'column': 32, 'index': 6292}","  192 |
  193 |                                 onDataSourceGet && onDataSourceGet();
> 194 |                                 if (typeof observerOrOnNext === ""function"") {
      |                                ^ Conditional Test Logic
  195 |                                     observerOrOnNext(response);
  196 |                                     onCompleted();
  197 |                                 } else {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Conditional Test Logic,"{'line': 236, 'column': 12, 'index': 7652}","  234 |
  235 |         onDisposedOrCompleted = function () {
> 236 |             if (
      |            ^ Conditional Test Logic
  237 |                 dataSourceGetCalled === 1 &&
  238 |                 !onNextCalled &&
  239 |                 unusubscribeCalled === 1 &&"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Conditional Test Logic,"{'line': 280, 'column': 32, 'index': 9253}","  278 |
  279 |                                 onDataSourceGet && onDataSourceGet();
> 280 |                                 if (typeof observerOrOnNext === ""function"") {
      |                                ^ Conditional Test Logic
  281 |                                     observerOrOnNext(response);
  282 |                                     onCompleted();
  283 |                                 } else {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Conditional Test Logic,"{'line': 322, 'column': 12, 'index': 10617}","  320 |
  321 |         onDisposedOrCompleted = function () {
> 322 |             if (
      |            ^ Conditional Test Logic
  323 |                 dataSourceGetCalled === 1 &&
  324 |                 !onNextCalled &&
  325 |                 unusubscribeCalled === 1 &&"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Conditional Test Logic,"{'line': 364, 'column': 32, 'index': 12041}","  362 |                                 };
  363 |
> 364 |                                 if (typeof observerOrOnNext === ""function"") {
      |                                ^ Conditional Test Logic
  365 |                                     observerOrOnNext(response);
  366 |                                     onCompleted();
  367 |                                 } else {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Conditional Test Logic,"{'line': 401, 'column': 8, 'index': 13194}","  399 |         subscription.unsubscribe();
  400 |
> 401 |         if (
      |        ^ Conditional Test Logic
  402 |             dataSourceGetCalled === 1 &&
  403 |             !onNextCalled &&
  404 |             unusubscribeCalled === 1 &&"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Conditional Test Logic,"{'line': 458, 'column': 16, 'index': 15017}","  456 |                 expect(model._enablePathCollapse).toBe(false);
  457 |
> 458 |                 for (let index = 0; index < notTrue.length; index++) {
      |                ^ Conditional Test Logic
  459 |                     model = new Model({ disablePathCollapse: notTrue[index] });
  460 |                     expect(model._enablePathCollapse).toBe(true);
  461 |                 }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Conditional Test Logic,"{'line': 487, 'column': 16, 'index': 16116}","  485 |                 expect(model._enableRequestDeduplication).toBe(false);
  486 |
> 487 |                 for (let index = 0; index < notTrue.length; index++) {
      |                ^ Conditional Test Logic
  488 |                     model = new Model({
  489 |                         disableRequestDeduplication: notTrue[index],
  490 |                     });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 423, 'column': 8, 'index': 13783}","  421 |         });
  422 |         const cache = model._root.cache;
> 423 |         expect(cache.$size).toBeGreaterThan(0);
      |        ^ Duplicate Assert
  424 |         model._setMaxSize(0);
  425 |         expect(cache.$size).toBe(0);
  426 |     });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 425, 'column': 8, 'index': 13861}","  423 |         expect(cache.$size).toBeGreaterThan(0);
  424 |         model._setMaxSize(0);
> 425 |         expect(cache.$size).toBe(0);
      |        ^ Duplicate Assert
  426 |     });
  427 |
  428 |     // https://github.com/Netflix/falcor/issues/915"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 456, 'column': 16, 'index': 14953}","  454 |             it(""accepts boolean to disable"", () => {
  455 |                 let model = new Model({ disablePathCollapse: true });
> 456 |                 expect(model._enablePathCollapse).toBe(false);
      |                ^ Duplicate Assert
  457 |
  458 |                 for (let index = 0; index < notTrue.length; index++) {
  459 |                     model = new Model({ disablePathCollapse: notTrue[index] });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 460, 'column': 20, 'index': 15172}","  458 |                 for (let index = 0; index < notTrue.length; index++) {
  459 |                     model = new Model({ disablePathCollapse: notTrue[index] });
> 460 |                     expect(model._enablePathCollapse).toBe(true);
      |                    ^ Duplicate Assert
  461 |                 }
  462 |             });
  463 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 466, 'column': 16, 'index': 15358}","  464 |             it(""is enabled by default"", () => {
  465 |                 let model = new Model();
> 466 |                 expect(model._enablePathCollapse).toBe(true);
      |                ^ Duplicate Assert
  467 |
  468 |                 model = new Model({});
  469 |                 expect(model._enablePathCollapse).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 466, 'column': 16, 'index': 15358}","  464 |             it(""is enabled by default"", () => {
  465 |                 let model = new Model();
> 466 |                 expect(model._enablePathCollapse).toBe(true);
      |                ^ Duplicate Assert
  467 |
  468 |                 model = new Model({});
  469 |                 expect(model._enablePathCollapse).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 469, 'column': 16, 'index': 15460}","  467 |
  468 |                 model = new Model({});
> 469 |                 expect(model._enablePathCollapse).toBe(true);
      |                ^ Duplicate Assert
  470 |             });
  471 |
  472 |             it(""is copied on clone"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 469, 'column': 16, 'index': 15460}","  467 |
  468 |                 model = new Model({});
> 469 |                 expect(model._enablePathCollapse).toBe(true);
      |                ^ Duplicate Assert
  470 |             });
  471 |
  472 |             it(""is copied on clone"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 485, 'column': 16, 'index': 16044}","  483 |             it(""accepts boolean to disable"", () => {
  484 |                 let model = new Model({ disableRequestDeduplication: true });
> 485 |                 expect(model._enableRequestDeduplication).toBe(false);
      |                ^ Duplicate Assert
  486 |
  487 |                 for (let index = 0; index < notTrue.length; index++) {
  488 |                     model = new Model({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 491, 'column': 20, 'index': 16324}","  489 |                         disableRequestDeduplication: notTrue[index],
  490 |                     });
> 491 |                     expect(model._enableRequestDeduplication).toBe(true);
      |                    ^ Duplicate Assert
  492 |                 }
  493 |             });
  494 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 497, 'column': 16, 'index': 16518}","  495 |             it(""is enabled by default"", () => {
  496 |                 let model = new Model();
> 497 |                 expect(model._enableRequestDeduplication).toBe(true);
      |                ^ Duplicate Assert
  498 |
  499 |                 model = new Model({});
  500 |                 expect(model._enableRequestDeduplication).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 497, 'column': 16, 'index': 16518}","  495 |             it(""is enabled by default"", () => {
  496 |                 let model = new Model();
> 497 |                 expect(model._enableRequestDeduplication).toBe(true);
      |                ^ Duplicate Assert
  498 |
  499 |                 model = new Model({});
  500 |                 expect(model._enableRequestDeduplication).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 500, 'column': 16, 'index': 16628}","  498 |
  499 |                 model = new Model({});
> 500 |                 expect(model._enableRequestDeduplication).toBe(true);
      |                ^ Duplicate Assert
  501 |             });
  502 |
  503 |             it(""is copied on clone"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Duplicate Assert,"{'line': 500, 'column': 16, 'index': 16628}","  498 |
  499 |                 model = new Model({});
> 500 |                 expect(model._enableRequestDeduplication).toBe(true);
      |                ^ Duplicate Assert
  501 |             });
  502 |
  503 |             it(""is copied on clone"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Magic Number,"{'line': 423, 'column': 44, 'index': 13819}","  421 |         });
  422 |         const cache = model._root.cache;
> 423 |         expect(cache.$size).toBeGreaterThan(0);
      |                                            ^ Magic Number
  424 |         model._setMaxSize(0);
  425 |         expect(cache.$size).toBe(0);
  426 |     });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Magic Number,"{'line': 425, 'column': 33, 'index': 13886}","  423 |         expect(cache.$size).toBeGreaterThan(0);
  424 |         model._setMaxSize(0);
> 425 |         expect(cache.$size).toBe(0);
      |                                 ^ Magic Number
  426 |     });
  427 |
  428 |     // https://github.com/Netflix/falcor/issues/915"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Magic Number,"{'line': 433, 'column': 39, 'index': 14141}","  431 |             maxRetries: 10,
  432 |         });
> 433 |         expect(model._maxRetries).toBe(10);
      |                                       ^ Magic Number
  434 |         const batchingModel = model.batch(100);
  435 |         expect(batchingModel._maxRetries).toBe(10);
  436 |     });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Magic Number,"{'line': 435, 'column': 47, 'index': 14241}","  433 |         expect(model._maxRetries).toBe(10);
  434 |         const batchingModel = model.batch(100);
> 435 |         expect(batchingModel._maxRetries).toBe(10);
      |                                               ^ Magic Number
  436 |     });
  437 |
  438 |     it(""cloned instance should retain custom type"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Sleepy Test,"{'line': 106, 'column': 43, 'index': 3200}","  104 |                         subscribe(observerOrOnNext, onError, onCompleted) {
  105 |                             dataSourceGetCalled++;
> 106 |                             const handle = setTimeout(() => {
      |                                           ^ Sleepy Test
  107 |                                 const response = {
  108 |                                     jsonGraph: {
  109 |                                         list: {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Sleepy Test,"{'line': 183, 'column': 43, 'index': 5768}","  181 |                         subscribe(observerOrOnNext, onError, onCompleted) {
  182 |                             dataSourceGetCalled++;
> 183 |                             const handle = setTimeout(() => {
      |                                           ^ Sleepy Test
  184 |                                 const response = {
  185 |                                     jsonGraph: {
  186 |                                         list: {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Sleepy Test,"{'line': 269, 'column': 43, 'index': 8729}","  267 |                         subscribe(observerOrOnNext, onError, onCompleted) {
  268 |                             dataSourceGetCalled++;
> 269 |                             const handle = setTimeout(() => {
      |                                           ^ Sleepy Test
  270 |                                 const response = {
  271 |                                     jsonGraph: {
  272 |                                         list: {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Sleepy Test,"{'line': 354, 'column': 43, 'index': 11587}","  352 |                         subscribe(observerOrOnNext, onError, onCompleted) {
  353 |                             dataSourceGetCalled++;
> 354 |                             const handle = setTimeout(() => {
      |                                           ^ Sleepy Test
  355 |                                 const response = {
  356 |                                     jsonGraph: {
  357 |                                         list: {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Unknown Test,"{'column': 4, 'line': 63}","  61 |
  62 | describe(""Model"", () => {
> 63 |     it(""should construct a new Model"", () => {
     |    ^ Unknown Test
  64 |         new Model();
  65 |     });
  66 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Unknown Test,"{'column': 4, 'line': 71}","  69 |     });
  70 |
> 71 |     it(""should have access to static helper methods."", () => {
     |    ^ Unknown Test
  72 |         const ref = [""a"", ""b"", ""c""];
  73 |         const err = { ohhh: ""no!"" };
  74 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/falcor/test/Model.spec.js,Unknown Test,"{'column': 4, 'line': 88}","  86 |     });
  87 |
> 88 |     it(""unsubscribing should cancel DataSource request."", (done) => {
     |    ^ Unknown Test
  89 |         let onNextCalled = 0,
  90 |             onErrorCalled = 0,
  91 |             onCompletedCalled = 0,"
