file,type,line,method,methodStart,methodEnd,source
/src/js/__tests__/setFiles.test.js,SubOptimalAssert,"{'startLine':39,'endLine':39}","test('set single file object', () => {
        pond.files = [TEXT_FILE_A];
        expect(pond.getFiles().length).toBe(1);
    })",37,40,snuts
/src/js/__tests__/setFiles.test.js,SubOptimalAssert,"{'startLine':45,'endLine':45}","test('remove single file object', () => {
        pond.files = [TEXT_FILE_A];
        pond.files = [];
        expect(pond.getFiles().length).toBe(0);
    })",42,46,snuts
/src/js/__tests__/revertUploadOnRemove.test.js,NonFunctionalStatement,"{'startLine':20,'endLine':20}","describe('reverting file uploads on remove', () => {

    const server = {
        remove: (source, load, error) => { }
    };

    let pond = null;
    let item = null;

    // Create 16k of random data to test chunked uploads
    const fileData = [];
    for (let i = 0; i < 16384; i++) {
        fileData.push(Math.floor(Math.random() * 128));
    }

    const TEXT_FILE = new File(['Hello World!'], 'text_file_a.txt', { type: 'text/plain', lastModified: new Date() });
    const TEXT_FILE_LARGE = new File(fileData, 'text_file_b.txt', { type: 'text/plain', lastModified: new Date() });

    const setupPond = (options, file, fileType = 'input') => {
        pond = create({
            ...options,
            allowMultiple: false,
            server
        });

        // Set up an uploaded file with FileOrigin set to INPUT
        pond.files = [{ source: file, options: { type: fileType } }];
        item = pond.getFiles()[0];
        // Mock the revert function on item so we can check it's been called
        item.revert = jest.fn();

        // enables draw loop, else it seems that filepond is hidden
        Object.defineProperty(pond.element, 'offsetParent', {
            get: jest.fn(() => 1)
        });

        return pond;
    };

    beforeEach(() => {
        item = null;
        if (pond) {
            pond.destroy();
        }
    });

    test('no revert on removal of standard upload with chunks disabled', done => {
        pond = setupPond({ chunkUploads: false }, TEXT_FILE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).not.toHaveBeenCalled();
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);

    });

    test('no revert on removal of single chunk upload with chunks enabled', done => {
        pond = setupPond({ chunkUploads: true, chunkSize: 1024 }, TEXT_FILE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).not.toHaveBeenCalled();
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);
    });

    test('revert on removal of single chunk upload with chunkForce set', done => {
        pond = setupPond({ chunkUploads: true, chunkForce: true, chunkSize: 1024}, TEXT_FILE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).toHaveBeenCalledWith(expect.any(Function), false);
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);
    });

    test('revert on removal of chunked upload without chunkForce', done => {
        pond = setupPond({ chunkUploads: true, chunkForce: false, chunkSize: 1024 }, TEXT_FILE_LARGE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).toHaveBeenCalledWith(expect.any(Function), false);
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);
    });

    test('revert on removal of chunked upload with chunkForce set', () => {
        pond = setupPond({ chunkUploads: true, chunkForce: true, chunkSize: 1024 }, TEXT_FILE_LARGE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).toHaveBeenCalledWith(expect.any(Function), false);
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);
    });

    test('revert limbo with serverId set', () => {
        const fileId = 'abcdefghijklmnop';
        pond = setupPond({ chunkUploads: false }, fileId, 'limbo');
        // Check that serverId is not null (anything accepts values that are not null or undefined)
        expect(item.serverId).toBe(fileId);
        pond.onremovefile = (error, file) => {
            expect(item.revert).toHaveBeenCalledWith(expect.any(Function), false);
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);
    });
})",17,132,snuts
/src/js/__tests__/revertUploadOnRemove.test.js,SubOptimalAssert,"{'startLine':67,'endLine':67}","test('no revert on removal of standard upload with chunks disabled', done => {
        pond = setupPond({ chunkUploads: false }, TEXT_FILE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).not.toHaveBeenCalled();
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);

    })",63,73,snuts
/src/js/__tests__/revertUploadOnRemove.test.js,SubOptimalAssert,"{'startLine':68,'endLine':68}","test('no revert on removal of standard upload with chunks disabled', done => {
        pond = setupPond({ chunkUploads: false }, TEXT_FILE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).not.toHaveBeenCalled();
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);

    })",63,73,snuts
/src/js/__tests__/revertUploadOnRemove.test.js,SubOptimalAssert,"{'startLine':79,'endLine':79}","test('no revert on removal of single chunk upload with chunks enabled', done => {
        pond = setupPond({ chunkUploads: true, chunkSize: 1024 }, TEXT_FILE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).not.toHaveBeenCalled();
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);
    })",75,84,snuts
/src/js/__tests__/revertUploadOnRemove.test.js,SubOptimalAssert,"{'startLine':80,'endLine':80}","test('no revert on removal of single chunk upload with chunks enabled', done => {
        pond = setupPond({ chunkUploads: true, chunkSize: 1024 }, TEXT_FILE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).not.toHaveBeenCalled();
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);
    })",75,84,snuts
/src/js/__tests__/revertUploadOnRemove.test.js,SubOptimalAssert,"{'startLine':90,'endLine':90}","test('revert on removal of single chunk upload with chunkForce set', done => {
        pond = setupPond({ chunkUploads: true, chunkForce: true, chunkSize: 1024}, TEXT_FILE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).toHaveBeenCalledWith(expect.any(Function), false);
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);
    })",86,95,snuts
/src/js/__tests__/revertUploadOnRemove.test.js,SubOptimalAssert,"{'startLine':91,'endLine':91}","test('revert on removal of single chunk upload with chunkForce set', done => {
        pond = setupPond({ chunkUploads: true, chunkForce: true, chunkSize: 1024}, TEXT_FILE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).toHaveBeenCalledWith(expect.any(Function), false);
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);
    })",86,95,snuts
/src/js/__tests__/revertUploadOnRemove.test.js,SubOptimalAssert,"{'startLine':101,'endLine':101}","test('revert on removal of chunked upload without chunkForce', done => {
        pond = setupPond({ chunkUploads: true, chunkForce: false, chunkSize: 1024 }, TEXT_FILE_LARGE);
        pond.onremovefile = (error, file) => {
            expect(item.revert).toHaveBeenCalledWith(expect.any(Function), false);
            expect(error).toBe(null);
            expect(pond.getFiles().length).toBe(0);
            done();
        }
        pond.removeFile(item);
    })",97,106,snuts
