"file","type","smells","itCount","describeCount"
"src/js/__tests__/setFiles.test.js","SubOptimalAssert","[{""startLine"":39,""endLine"":39}]",5,1
"src/js/__tests__/setFiles.test.js","SubOptimalAssert","[{""startLine"":45,""endLine"":45}]",5,1
"src/js/__tests__/revertUploadOnRemove.test.js","NonFunctionalStatement","[{""startLine"":20,""endLine"":20}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":67,""endLine"":67}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":68,""endLine"":68}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":79,""endLine"":79}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":80,""endLine"":80}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":90,""endLine"":90}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":91,""endLine"":91}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":101,""endLine"":101}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":102,""endLine"":102}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":112,""endLine"":112}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":113,""endLine"":113}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":126,""endLine"":126}]",6,1
"src/js/__tests__/revertUploadOnRemove.test.js","SubOptimalAssert","[{""startLine"":127,""endLine"":127}]",6,1
"src/js/__tests__/removeFile.test.js","SubOptimalAssert","[{""startLine"":56,""endLine"":56}]",4,1
"src/js/__tests__/removeFile.test.js","SubOptimalAssert","[{""startLine"":61,""endLine"":61}]",4,1
"src/js/__tests__/removeFile.test.js","SubOptimalAssert","[{""startLine"":62,""endLine"":62}]",4,1
"src/js/__tests__/removeFile.test.js","SubOptimalAssert","[{""startLine"":84,""endLine"":84}]",4,1
"src/js/__tests__/removeFile.test.js","SubOptimalAssert","[{""startLine"":85,""endLine"":85}]",4,1
"src/js/__tests__/removeFile.test.js","SubOptimalAssert","[{""startLine"":112,""endLine"":112}]",4,1
"src/js/__tests__/createInstance.test.js","AnonymousTest","[{""startLine"":5,""endLine"":7}]",4,1
"src/js/__tests__/callbacks.test.js","AnonymousTest","[{""startLine"":45,""endLine"":51}]",11,1
"src/js/__tests__/callbacks.test.js","AnonymousTest","[{""startLine"":53,""endLine"":59}]",11,1
"src/js/__tests__/callbacks.test.js","AnonymousTest","[{""startLine"":61,""endLine"":67}]",11,1
"src/js/__tests__/callbacks.test.js","AnonymousTest","[{""startLine"":69,""endLine"":75}]",11,1
"src/js/__tests__/callbacks.test.js","AnonymousTest","[{""startLine"":77,""endLine"":91}]",11,1
"src/js/__tests__/callbacks.test.js","AnonymousTest","[{""startLine"":93,""endLine"":100}]",11,1
"src/js/__tests__/callbacks.test.js","AnonymousTest","[{""startLine"":102,""endLine"":108}]",11,1
"src/js/__tests__/callbacks.test.js","AnonymousTest","[{""startLine"":110,""endLine"":116}]",11,1
"src/js/__tests__/callbacks.test.js","AnonymousTest","[{""startLine"":118,""endLine"":126}]",11,1
"src/js/__tests__/callbacks.test.js","AnonymousTest","[{""startLine"":128,""endLine"":134}]",11,1
"src/js/__tests__/callbacks.test.js","AnonymousTest","[{""startLine"":136,""endLine"":146}]",11,1
"src/js/__tests__/addFile.test.js","AnonymousTest","[{""startLine"":20,""endLine"":28}]",3,1
"src/js/__tests__/addFile.test.js","AnonymousTest","[{""startLine"":30,""endLine"":35}]",3,1
