file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/setFiles.test.js,Conditional Test Logic,"{'line': 24, 'column': 8, 'index': 606}","  22 |
  23 |     beforeEach(() => {
> 24 |         if (pond) {
     |        ^ Conditional Test Logic
  25 |             pond.destroy();
  26 |         }
  27 |         pond = create({"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/setFiles.test.js,Magic Number,"{'line': 39, 'column': 44, 'index': 1035}","  37 |     test('set single file object', () => {
  38 |         pond.files = [TEXT_FILE_A];
> 39 |         expect(pond.getFiles().length).toBe(1);
     |                                            ^ Magic Number
  40 |     });
  41 |
  42 |     test('remove single file object', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/setFiles.test.js,Magic Number,"{'line': 45, 'column': 44, 'index': 1199}","  43 |         pond.files = [TEXT_FILE_A];
  44 |         pond.files = [];
> 45 |         expect(pond.getFiles().length).toBe(0);
     |                                            ^ Magic Number
  46 |     });
  47 |
  48 |     test('replace single file object', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/server.test.js,Conditional Test Logic,"{'line': 9, 'column': 8, 'index': 197}","   7 |     beforeEach(() => {
   8 |         // new pond for each test
>  9 |         if (pond) pond.destroy();
     |        ^ Conditional Test Logic
  10 |         pond = create();
  11 |
  12 |         // enables draw loop, else it seems that filepond is hidden"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/revertUploadOnRemove.test.js,Conditional Test Logic,"{'line': 28, 'column': 4, 'index': 1120}","  26 |     // Create 16k of random data to test chunked uploads
  27 |     const fileData = [];
> 28 |     for (let i = 0; i < 16384; i++) {
     |    ^ Conditional Test Logic
  29 |         fileData.push(Math.floor(Math.random() * 128));
  30 |     }
  31 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/revertUploadOnRemove.test.js,Conditional Test Logic,"{'line': 58, 'column': 8, 'index': 2169}","  56 |     beforeEach(() => {
  57 |         item = null;
> 58 |         if (pond) {
     |        ^ Conditional Test Logic
  59 |             pond.destroy();
  60 |         }
  61 |     });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/revertUploadOnRemove.test.js,Magic Number,"{'line': 68, 'column': 48, 'index': 2562}","  66 |             expect(item.revert).not.toHaveBeenCalled();
  67 |             expect(error).toBe(null);
> 68 |             expect(pond.getFiles().length).toBe(0);
     |                                                ^ Magic Number
  69 |             done();
  70 |         }
  71 |         pond.removeFile(item);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/revertUploadOnRemove.test.js,Magic Number,"{'line': 80, 'column': 48, 'index': 2990}","  78 |             expect(item.revert).not.toHaveBeenCalled();
  79 |             expect(error).toBe(null);
> 80 |             expect(pond.getFiles().length).toBe(0);
     |                                                ^ Magic Number
  81 |             done();
  82 |         }
  83 |         pond.removeFile(item);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/revertUploadOnRemove.test.js,Magic Number,"{'line': 91, 'column': 48, 'index': 3458}","  89 |             expect(item.revert).toHaveBeenCalledWith(expect.any(Function), false);
  90 |             expect(error).toBe(null);
> 91 |             expect(pond.getFiles().length).toBe(0);
     |                                                ^ Magic Number
  92 |             done();
  93 |         }
  94 |         pond.removeFile(item);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/revertUploadOnRemove.test.js,Magic Number,"{'line': 102, 'column': 48, 'index': 3928}","  100 |             expect(item.revert).toHaveBeenCalledWith(expect.any(Function), false);
  101 |             expect(error).toBe(null);
> 102 |             expect(pond.getFiles().length).toBe(0);
      |                                                ^ Magic Number
  103 |             done();
  104 |         }
  105 |         pond.removeFile(item);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/revertUploadOnRemove.test.js,Magic Number,"{'line': 113, 'column': 48, 'index': 4396}","  111 |             expect(item.revert).toHaveBeenCalledWith(expect.any(Function), false);
  112 |             expect(error).toBe(null);
> 113 |             expect(pond.getFiles().length).toBe(0);
      |                                                ^ Magic Number
  114 |             done();
  115 |         }
  116 |         pond.removeFile(item);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/revertUploadOnRemove.test.js,Magic Number,"{'line': 127, 'column': 48, 'index': 4992}","  125 |             expect(item.revert).toHaveBeenCalledWith(expect.any(Function), false);
  126 |             expect(error).toBe(null);
> 127 |             expect(pond.getFiles().length).toBe(0);
      |                                                ^ Magic Number
  128 |             done();
  129 |         }
  130 |         pond.removeFile(item);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/removeFile.test.js,Conditional Test Logic,"{'line': 39, 'column': 8, 'index': 952}","  37 |
  38 |     beforeEach(() => {
> 39 |         if (pond) {
     |        ^ Conditional Test Logic
  40 |             pond.destroy();
  41 |         }
  42 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/removeFile.test.js,Magic Number,"{'line': 56, 'column': 44, 'index': 1357}","  54 |         pond.files = [DUMMY_FILE];
  55 |         pond.removeFile();
> 56 |         expect(pond.getFiles().length).toBe(0);
     |                                            ^ Magic Number
  57 |     });
  58 |
  59 |     test('process, then remove file object', done => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/removeFile.test.js,Magic Number,"{'line': 62, 'column': 48, 'index': 1558}","  60 |         pond.onremovefile = (error, file) => {
  61 |             expect(error).toBe(null);
> 62 |             expect(pond.getFiles().length).toBe(0);
     |                                                ^ Magic Number
  63 |             done();
  64 |         };
  65 |         pond.onaddfile = () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/filepond/src/js/__tests__/removeFile.test.js,Magic Number,"{'line': 85, 'column': 48, 'index': 2186}","  83 |         pond.onremovefile = (error, file) => {
