"file","type","smells","itCount","describeCount"
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":117,""endLine"":120}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":122,""endLine"":128}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":130,""endLine"":136}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":138,""endLine"":172}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":174,""endLine"":207}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":209,""endLine"":221}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":223,""endLine"":235}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":237,""endLine"":249}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":251,""endLine"":263}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":265,""endLine"":277}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":279,""endLine"":291}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":293,""endLine"":303}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":305,""endLine"":330}]",34,2
"tests/renderTopLanguagesCard.test.js","AnonymousTest","[{""startLine"":332,""endLine"":352}]",34,2
"tests/renderTopLanguagesCard.test.js","SubOptimalAssert","[{""startLine"":618,""endLine"":618}]",34,2
"tests/renderTopLanguagesCard.test.js","SubOptimalAssert","[{""startLine"":705,""endLine"":705}]",34,2
"tests/renderTopLanguagesCard.test.js","SubOptimalAssert","[{""startLine"":789,""endLine"":789}]",34,2
"tests/renderTopLanguagesCard.test.js","SubOptimalAssert","[{""startLine"":828,""endLine"":830}]",34,2
"tests/renderTopLanguagesCard.test.js","SubOptimalAssert","[{""startLine"":839,""endLine"":841}]",34,2
"tests/renderTopLanguagesCard.test.js","VerboseStatement","[{""startLine"":565,""endLine"":636}]",34,2
"tests/renderTopLanguagesCard.test.js","VerboseStatement","[{""startLine"":638,""endLine"":706}]",34,2
"tests/renderTopLanguagesCard.test.js","VerboseStatement","[{""startLine"":735,""endLine"":807}]",34,2
"tests/renderStatsCard.test.js","AnonymousTest","[{""startLine"":123,""endLine"":127}]",24,1
"tests/renderStatsCard.test.js","VerboseStatement","[{""startLine"":29,""endLine"":59}]",24,1
"tests/renderStatsCard.test.js","VerboseStatement","[{""startLine"":297,""endLine"":328}]",24,1
"tests/ops.test.js","SubOptimalAssert","[{""startLine"":24,""endLine"":24}]",7,1
"tests/ops.test.js","SubOptimalAssert","[{""startLine"":25,""endLine"":25}]",7,1
"tests/ops.test.js","SubOptimalAssert","[{""startLine"":26,""endLine"":26}]",7,1
"tests/ops.test.js","SubOptimalAssert","[{""startLine"":28,""endLine"":28}]",7,1
"tests/e2e/e2e.test.js","TranscriptingTest","[{""startLine"":137,""endLine"":160}]",5,1
"tests/bench/pin.bench.js","AnonymousTest","[{""startLine"":35,""endLine"":50}]",1,0
"tests/bench/gist.bench.js","AnonymousTest","[{""startLine"":37,""endLine"":51}]",1,0
"tests/bench/calculateRank.bench.js","AnonymousTest","[{""startLine"":5,""endLine"":18}]",1,0
"tests/bench/api.bench.js","AnonymousTest","[{""startLine"":72,""endLine"":78}]",1,0
