file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/wakatime.test.js,Duplicate Assert,"{'line': 138, 'column': 4, 'index': 3543}","  136 |     await wakatime(req, res);
  137 |
> 138 |     expect(res.setHeader).toHaveBeenCalledWith(""Content-Type"", ""image/svg+xml"");
      |    ^ Duplicate Assert
  139 |     expect(res.setHeader).toHaveBeenCalledWith(
  140 |       ""Cache-Control"",
  141 |       `max-age=${CACHE_TTL.WAKATIME_CARD.DEFAULT}, ` +"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/wakatime.test.js,Duplicate Assert,"{'line': 139, 'column': 4, 'index': 3624}","  137 |
  138 |     expect(res.setHeader).toHaveBeenCalledWith(""Content-Type"", ""image/svg+xml"");
> 139 |     expect(res.setHeader).toHaveBeenCalledWith(
      |    ^ Duplicate Assert
  140 |       ""Cache-Control"",
  141 |       `max-age=${CACHE_TTL.WAKATIME_CARD.DEFAULT}, ` +
  142 |         `s-maxage=${CACHE_TTL.WAKATIME_CARD.DEFAULT}, ` +"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/top-langs.test.js,Duplicate Assert,"{'line': 239, 'column': 4, 'index': 5769}","  237 |     await topLangs(req, res);
  238 |
> 239 |     expect(res.setHeader).toHaveBeenCalledWith(""Content-Type"", ""image/svg+xml"");
      |    ^ Duplicate Assert
  240 |     expect(res.setHeader).toHaveBeenCalledWith(
  241 |       ""Cache-Control"",
  242 |       `max-age=${CACHE_TTL.TOP_LANGS_CARD.DEFAULT}, ` +"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/top-langs.test.js,Duplicate Assert,"{'line': 240, 'column': 4, 'index': 5850}","  238 |
  239 |     expect(res.setHeader).toHaveBeenCalledWith(""Content-Type"", ""image/svg+xml"");
> 240 |     expect(res.setHeader).toHaveBeenCalledWith(
      |    ^ Duplicate Assert
  241 |       ""Cache-Control"",
  242 |       `max-age=${CACHE_TTL.TOP_LANGS_CARD.DEFAULT}, ` +
  243 |         `s-maxage=${CACHE_TTL.TOP_LANGS_CARD.DEFAULT}, ` +"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/top-langs.test.js,Lazy Test,"{'line': 93, 'column': 42, 'index': 2062}","  91 |
  92 |     expect(res.setHeader).toHaveBeenCalledWith(""Content-Type"", ""image/svg+xml"");
> 93 |     expect(res.send).toHaveBeenCalledWith(renderTopLanguages(langs));
     |                                          ^ Lazy Test
  94 |   });
  95 |
  96 |   it(""should work with the query options"", async () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/top-langs.test.js,Lazy Test,"{'line': 118, 'column': 6, 'index': 2706}","  116 |     expect(res.setHeader).toHaveBeenCalledWith(""Content-Type"", ""image/svg+xml"");
  117 |     expect(res.send).toHaveBeenCalledWith(
> 118 |       renderTopLanguages(langs, {
      |      ^ Lazy Test
  119 |         hide_title: true,
  120 |         card_width: 100,
  121 |         title_color: ""fff"","
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/top-langs.test.js,Lazy Test,"{'line': 145, 'column': 6, 'index': 3377}","  143 |     expect(res.setHeader).toHaveBeenCalledWith(""Content-Type"", ""image/svg+xml"");
  144 |     expect(res.send).toHaveBeenCalledWith(
> 145 |       renderError({
