FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/wakatime.test.js,2,1,147,118,5,4.237,0.975,13.055,38197.924,416,2122.107,131,2925.904,89.209,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/top-langs.test.js,7,2,248,206,10,4.854,1.643,24.227,119404.718,724,6633.595,112,4928.525,89.884,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/retryer.test.js,4,3,84,87,16,18.391,0.494,24.2,35837.187,255,1990.955,56,1480.876,114.432,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,9,3,93,85,11,12.941,0.645,14.474,28007.772,319,1555.987,67,1935.082,111.054,0,0,2,2,0,0,0,0,9,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,34,5,887,986,45,4.564,10.648,83.296,2660785.848,3849,147821.436,315,31943.652,82.95,0,1,26,132,0,0,0,0,20,95,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderStatsCard.test.js,24,3,473,544,28,5.147,6.164,40.258,744406.597,2355,41355.922,231,18490.869,88.095,0,0,17,15,0,0,0,0,24,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderRepoCard.test.js,18,3,372,352,21,5.966,3.888,33.2,387212.319,1589,21511.795,162,11663.022,91.738,0,0,24,17,0,0,0,0,18,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderGistCard.test.js,13,3,240,240,16,6.667,2.508,28.81,216797.845,1075,12044.325,128,7525,94.591,0,0,14,5,0,0,0,0,13,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/render.test.js,1,2,28,20,3,15,0.122,6,2192.154,76,121.786,28,365.359,117.715,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/pin.test.js,8,2,244,207,11,5.314,1.651,24.319,120422.332,736,6690.13,106,4951.749,91.647,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/ops.test.js,7,2,90,130,11,8.462,1.008,15,45353.492,473,2519.638,84,3023.566,102.523,0,0,0,33,0,0,0,0,0,7,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/i18n.test.js,3,1,34,39,7,17.949,0.188,8.615,4865.18,111,270.288,34,564.708,120.794,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/gist.test.js,6,2,205,158,9,5.696,1.574,26.072,123078.341,706,6837.686,103,4720.669,92.011,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/fmt.test.js,9,3,105,179,11,6.145,1.322,18.542,73544.28,608,4085.793,92,3966.326,95.688,0,0,0,47,0,0,0,0,8,3,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/flexLayout.test.js,2,2,48,26,4,15.385,0.207,8.548,5312.618,116,295.145,41,621.476,116.082,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/fetchWakatime.test.js,3,1,136,106,6,5.66,0.775,11.103,25797.959,337,1433.22,119,2323.554,95.866,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/fetchTopLanguages.test.js,7,1,172,145,10,6.897,0.996,20.583,61528.877,477,3418.271,77,2989.257,97.84,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/fetchStats.test.js,14,3,508,459,23,5.011,3.595,49.588,534804.959,1488,29711.387,152,10784.916,84.18,0,1,0,22,0,0,0,0,25,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/fetchRepo.test.js,6,1,106,93,9,9.677,0.646,15.463,29967.222,323,1664.846,64,1938,105.429,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/fetchGist.test.js,4,1,118,76,7,9.211,0.49,11.092,16302.416,239,905.69,71,1469.79,105.85,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/color.test.js,4,1,77,70,6,8.571,0.382,9.833,11263.108,204,625.728,49,1145.401,105.423,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/card.test.js,14,2,197,190,16,8.421,1.665,18.75,93653.299,731,5202.961,114,4994.843,101.246,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/calculateRank.test.js,7,1,111,107,9,8.411,0.603,7.902,14293.342,305,794.075,61,1808.875,105.689,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/api.test.js,14,2,413,335,19,5.672,3.472,34.855,363079.235,1368,20171.069,196,10416.923,90.797,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/e2e/e2e.test.js,5,1,226,147,8,5.442,1.404,12.257,51636.298,582,2868.683,151,4212.752,93.84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
