file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 150, 'column': 10, 'index': 4730}","  148 |         // Change the template file and compile again
  149 |         .then((stats) => {
> 150 |           expect(
      |          ^ Duplicate Assert
  151 |             expected.every((val) =>
  152 |               Object.keys(stats.compilation.assets).includes(val),
  153 |             ),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 150, 'column': 10, 'index': 4730}","  148 |         // Change the template file and compile again
  149 |         .then((stats) => {
> 150 |           expect(
      |          ^ Duplicate Assert
  151 |             expected.every((val) =>
  152 |               Object.keys(stats.compilation.assets).includes(val),
  153 |             ),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 155, 'column': 10, 'index': 4890}","  153 |             ),
  154 |           ).toBe(true);
> 155 |           expect(stats.compilation.errors).toEqual([]);
      |          ^ Duplicate Assert
  156 |           expect(stats.compilation.warnings).toEqual([]);
  157 |
  158 |           fs.writeFileSync("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 155, 'column': 10, 'index': 4890}","  153 |             ),
  154 |           ).toBe(true);
> 155 |           expect(stats.compilation.errors).toEqual([]);
      |          ^ Duplicate Assert
  156 |           expect(stats.compilation.warnings).toEqual([]);
  157 |
  158 |           fs.writeFileSync("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 156, 'column': 10, 'index': 4946}","  154 |           ).toBe(true);
  155 |           expect(stats.compilation.errors).toEqual([]);
> 156 |           expect(stats.compilation.warnings).toEqual([]);
      |          ^ Duplicate Assert
  157 |
  158 |           fs.writeFileSync(
  159 |             jsFileTempPath,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 156, 'column': 10, 'index': 4946}","  154 |           ).toBe(true);
  155 |           expect(stats.compilation.errors).toEqual([]);
> 156 |           expect(stats.compilation.warnings).toEqual([]);
      |          ^ Duplicate Assert
  157 |
  158 |           fs.writeFileSync(
  159 |             jsFileTempPath,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 166, 'column': 10, 'index': 5235}","  164 |         })
  165 |         .then((stats) => {
> 166 |           expect(
      |          ^ Duplicate Assert
  167 |             expected.every((val) =>
  168 |               Object.keys(stats.compilation.assets).includes(val),
  169 |             ),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 166, 'column': 10, 'index': 5235}","  164 |         })
  165 |         .then((stats) => {
> 166 |           expect(
      |          ^ Duplicate Assert
  167 |             expected.every((val) =>
  168 |               Object.keys(stats.compilation.assets).includes(val),
  169 |             ),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 171, 'column': 10, 'index': 5395}","  169 |             ),
  170 |           ).toBe(true);
> 171 |           expect(stats.compilation.errors).toEqual([]);
      |          ^ Duplicate Assert
  172 |           expect(stats.compilation.warnings).toEqual([]);
  173 |
  174 |           fs.writeFileSync("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 171, 'column': 10, 'index': 5395}","  169 |             ),
  170 |           ).toBe(true);
> 171 |           expect(stats.compilation.errors).toEqual([]);
      |          ^ Duplicate Assert
  172 |           expect(stats.compilation.warnings).toEqual([]);
  173 |
  174 |           fs.writeFileSync("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 172, 'column': 10, 'index': 5451}","  170 |           ).toBe(true);
  171 |           expect(stats.compilation.errors).toEqual([]);
> 172 |           expect(stats.compilation.warnings).toEqual([]);
      |          ^ Duplicate Assert
  173 |
  174 |           fs.writeFileSync(
  175 |             template,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 172, 'column': 10, 'index': 5451}","  170 |           ).toBe(true);
  171 |           expect(stats.compilation.errors).toEqual([]);
> 172 |           expect(stats.compilation.warnings).toEqual([]);
      |          ^ Duplicate Assert
  173 |
  174 |           fs.writeFileSync(
  175 |             template,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 185, 'column': 10, 'index': 5791}","  183 |         })
  184 |         .then((stats) => {
> 185 |           expect(
      |          ^ Duplicate Assert
  186 |             expected.every((val) =>
  187 |               Object.keys(stats.compilation.assets).includes(val),
  188 |             ),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 185, 'column': 10, 'index': 5791}","  183 |         })
  184 |         .then((stats) => {
> 185 |           expect(
      |          ^ Duplicate Assert
  186 |             expected.every((val) =>
  187 |               Object.keys(stats.compilation.assets).includes(val),
  188 |             ),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 190, 'column': 10, 'index': 5951}","  188 |             ),
  189 |           ).toBe(true);
> 190 |           expect(stats.compilation.errors).toEqual([]);
      |          ^ Duplicate Assert
  191 |           expect(stats.compilation.warnings).toEqual([]);
  192 |
  193 |           fs.writeFileSync(template, templateContent);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 190, 'column': 10, 'index': 5951}","  188 |             ),
  189 |           ).toBe(true);
> 190 |           expect(stats.compilation.errors).toEqual([]);
      |          ^ Duplicate Assert
  191 |           expect(stats.compilation.warnings).toEqual([]);
  192 |
  193 |           fs.writeFileSync(template, templateContent);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 191, 'column': 10, 'index': 6007}","  189 |           ).toBe(true);
  190 |           expect(stats.compilation.errors).toEqual([]);
> 191 |           expect(stats.compilation.warnings).toEqual([]);
      |          ^ Duplicate Assert
  192 |
  193 |           fs.writeFileSync(template, templateContent);
  194 |         })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 191, 'column': 10, 'index': 6007}","  189 |           ).toBe(true);
  190 |           expect(stats.compilation.errors).toEqual([]);
> 191 |           expect(stats.compilation.warnings).toEqual([]);
      |          ^ Duplicate Assert
  192 |
  193 |           fs.writeFileSync(template, templateContent);
  194 |         })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 263, 'column': 10, 'index': 8001}","  261 |         // Change the template file and compile again
  262 |         .then((stats) => {
> 263 |           expect(
      |          ^ Duplicate Assert
  264 |             expected.every((val) =>
  265 |               Object.keys(stats.compilation.assets).includes(val),
  266 |             ),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 263, 'column': 10, 'index': 8001}","  261 |         // Change the template file and compile again
  262 |         .then((stats) => {
> 263 |           expect(
      |          ^ Duplicate Assert
  264 |             expected.every((val) =>
  265 |               Object.keys(stats.compilation.assets).includes(val),
  266 |             ),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 268, 'column': 10, 'index': 8161}","  266 |             ),
  267 |           ).toBe(true);
> 268 |           expect(stats.compilation.errors).toEqual([]);
      |          ^ Duplicate Assert
  269 |           expect(stats.compilation.warnings).toEqual([]);
  270 |
  271 |           fs.writeFileSync("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 268, 'column': 10, 'index': 8161}","  266 |             ),
  267 |           ).toBe(true);
> 268 |           expect(stats.compilation.errors).toEqual([]);
      |          ^ Duplicate Assert
  269 |           expect(stats.compilation.warnings).toEqual([]);
  270 |
  271 |           fs.writeFileSync("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 269, 'column': 10, 'index': 8217}","  267 |           ).toBe(true);
  268 |           expect(stats.compilation.errors).toEqual([]);
> 269 |           expect(stats.compilation.warnings).toEqual([]);
      |          ^ Duplicate Assert
  270 |
  271 |           fs.writeFileSync(
  272 |             jsFileTempPath,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 269, 'column': 10, 'index': 8217}","  267 |           ).toBe(true);
  268 |           expect(stats.compilation.errors).toEqual([]);
> 269 |           expect(stats.compilation.warnings).toEqual([]);
      |          ^ Duplicate Assert
  270 |
  271 |           fs.writeFileSync(
  272 |             jsFileTempPath,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 279, 'column': 10, 'index': 8506}","  277 |         })
  278 |         .then((stats) => {
> 279 |           expect(
      |          ^ Duplicate Assert
  280 |             expected.every((val) =>
  281 |               Object.keys(stats.compilation.assets).includes(val),
  282 |             ),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 279, 'column': 10, 'index': 8506}","  277 |         })
  278 |         .then((stats) => {
> 279 |           expect(
      |          ^ Duplicate Assert
  280 |             expected.every((val) =>
  281 |               Object.keys(stats.compilation.assets).includes(val),
  282 |             ),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/html-webpack-plugin/spec/hot.spec.js,Duplicate Assert,"{'line': 284, 'column': 10, 'index': 8666}","  282 |             ),
  283 |           ).toBe(true);
> 284 |           expect(stats.compilation.errors).toEqual([]);
      |          ^ Duplicate Assert
  285 |           expect(stats.compilation.warnings).toEqual([]);
  286 |
  287 |           fs.writeFileSync("
