file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 17, 'column': 4, 'index': 630}","  15 |     _render(vNode, container, cb);
  16 |
> 17 |     if (vNode && vNode.flags & VNodeFlags.Component) {
     |    ^ Conditional Test Logic
  18 |       return vNode.children;
  19 |     }
  20 |   }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 69, 'column': 10, 'index': 1690}","  67 |         let live = true;
  68 |         const call = (...args) => {
> 69 |           if (live) {
     |          ^ Conditional Test Logic
  70 |             listener(...args);
  71 |           }
  72 |         };"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 82, 'column': 8, 'index': 2015}","  80 |       dispatch(action) {
  81 |         this.state = this.reducer(this.state, action);
> 82 |         for (const l of this.listeners) {
     |        ^ Conditional Test Logic
  83 |           l();
  84 |         }
  85 |         return action;"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 298, 'column': 10, 'index': 7927}","  296 |           const newBar = {};
  297 |
> 298 |           for (const key in this.state.bar) {
      |          ^ Conditional Test Logic
  299 |             newBar[key] = this.state.bar[key];
  300 |           }
  301 |           newBar.baz = 'through';"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 1089, 'column': 12, 'index': 27699}","  1087 |
  1088 |           componentWillReceiveProps(nextProps) {
> 1089 |             if (nextProps.state === 'A') {
       |            ^ Conditional Test Logic
  1090 |               store.dispatch({ type: 'APPEND', payload: 'B' });
  1091 |             }
  1092 |           }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 1172, 'column': 10, 'index': 29639}","  1170 |
  1171 |         getChildComponent(location) {
> 1172 |           switch (location) {
       |          ^ Conditional Test Logic
  1173 |             case 'a':
  1174 |               return <A />;
  1175 |             case 'b':"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 1544, 'column': 8, 'index': 41607}","  1542 |         );
  1543 |
> 1544 |         for (const key of fns) {
       |        ^ Conditional Test Logic
  1545 |           if (key !== 'render' && key !== 'constructor') {
  1546 |             TargetClass.prototype[key] = SourceClass.prototype[key];
  1547 |           }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 1545, 'column': 10, 'index': 41642}","  1543 |
  1544 |         for (const key of fns) {
> 1545 |           if (key !== 'render' && key !== 'constructor') {
       |          ^ Conditional Test Logic
  1546 |             TargetClass.prototype[key] = SourceClass.prototype[key];
  1547 |           }
  1548 |         }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 1985, 'column': 8, 'index': 54235}","  1983 |       const Container = connect((state) => {
  1984 |         mapStateCalls++;
> 1985 |         if (state === 'a') {
       |        ^ Conditional Test Logic
  1986 |           throw new Error('Oops');
  1987 |         } else {
  1988 |           return {};"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 2022, 'column': 10, 'index': 55189}","  2020 |         let lastResult;
  2021 |         return (state, props) => {
> 2022 |           if (props.name === lastProp && lastVal === state.value) {
       |          ^ Conditional Test Logic
  2023 |             memoizedReturnCount++;
  2024 |             return lastResult;
  2025 |           }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 2111, 'column': 10, 'index': 57663}","  2109 |         let lastResult;
  2110 |         return (dispatch, props) => {
> 2111 |           if (props.name === lastProp) {
       |          ^ Conditional Test Logic
  2112 |             memoizedReturnCount++;
  2113 |             return lastResult;
  2114 |           }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 2258, 'column': 8, 'index': 61184}","  2256 |     it('should allow to clean up child state in parent componentWillUnmount', () => {
  2257 |       const reducer = (state = { data: null }, action) => {
> 2258 |         switch (action.type) {
       |        ^ Conditional Test Logic
  2259 |           case 'fetch':
  2260 |             return { data: { profile: { name: 'April' } } };
  2261 |           case 'clean':"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 2358, 'column': 6, 'index': 63819}","  2356 |       expect(error).toContain('string');
  2357 |       expect(error).toContain('mapStateToProps');
> 2358 |       if (supportFnName) {
       |      ^ Conditional Test Logic
  2359 |         expect(error).toContain('InvalidMapState');
  2360 |       }
  2361 |     });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,Conditional Test Logic,"{'line': 2378, 'column': 6, 'index': 64378}","  2376 |       expect(error).toContain('string');
  2377 |       expect(error).toContain('mapDispatchToProps');
> 2378 |       if (supportFnName) {
       |      ^ Conditional Test Logic
  2379 |         expect(error).toContain('InvalidMapDispatch');
