FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/connect.spec.js,56,6,2565,2171,377,17.365,19.757,185.727,11008144.566,6783,611563.587,427,59270.48,106.118,0,14,150,0,0,3,0,0,0,73,0,0,0,0,4,1
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-redux/__tests__/components/Provider.spec.js,4,4,228,212,36,16.981,1.69,40.657,206114.402,729,11450.8,124,5069.609,109.601,0,1,19,0,0,0,0,0,0,9,0,0,5,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-mobx/__tests__/extra/eventemitter.spec.js,3,3,65,66,9,13.636,0.472,17.806,25222.621,268,1401.257,39,1416.488,111.574,0,0,13,0,0,0,0,0,0,10,0,0,3,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-create-element/__tests__/update.ext.spec.js,53,3,1845,1544,128,8.29,16.132,113.088,5472973.746,5942,304054.097,283,48395.559,93.867,0,1,324,0,0,0,0,0,0,15,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-create-element/__tests__/text.spec.js,1,3,413,406,24,5.911,4.436,77.618,1032886.672,1892,57382.593,131,13307.236,88.691,0,2,12,0,0,0,0,0,0,4,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-create-element/__tests__/svg.ext.spec.js,19,1,541,547,52,9.506,4.332,73.551,955924.061,1952,53106.892,101,12996.829,98.896,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-create-element/__tests__/select.spec.js,11,1,553,353,24,6.799,3.507,76.425,804129.687,1674,44673.872,78,10521.763,91.813,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-create-element/__tests__/patching.spec.js,4,2,340,289,44,15.225,2.514,97.59,736157.293,1096,40897.627,118,7543.377,99.351,0,8,37,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-create-element/__tests__/patchNonKeyedChildren.spec.js,41,3,645,839,50,5.959,9.262,99.424,2762493.34,3763,153471.852,167,27784.879,87.551,0,1,161,0,0,0,0,0,0,74,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-create-element/__tests__/patchMixedKeyed.spec.js,5,2,558,486,12,2.469,4.421,126.207,1673979.052,2164,92998.836,70,13263.768,70.526,0,0,185,0,0,0,0,0,0,46,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-create-element/__tests__/patchKeyedChildren.spec.js,50,3,1427,1153,84,7.285,29.743,268.784,23983582.335,10942,1332421.241,285,89230.02,82.138,0,12,170,0,0,0,0,0,0,85,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-create-element/__tests__/hooks.spec.js,10,2,331,385,35,9.091,3.11,91.8,856620.649,1427,47590.036,93,9331.38,97.594,0,0,22,0,0,0,0,0,0,32,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/inferno/packages/inferno-create-element/__tests__/events.spec.js,24,5,816,641,85,13.261,5.571,74.921,1252085.126,2291,69560.285,157,16711.976,104.452,0,6,67,0,0,0,0,0,0,44,0,0,0,0,5,1
