FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,2,2,51,97,7,7.216,0.693,45.724,95048.145,388,5280.453,41,2078.73,88.93,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/playground/__test__/playground.test.js,1,1,9,7,3,42.857,0.018,1.5,83.026,16,4.613,11,55.351,145.918,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/TrieNode.test.js,9,1,91,102,11,10.784,0.714,21.895,46923.531,388,2606.863,46,2143.142,106.336,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,5,1,95,151,7,4.636,1.113,26.957,89976.415,580,4998.69,54,3337.835,88.886,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/tree/segment-tree/__test__/SegmentTree.test.js,10,1,102,142,14,9.859,1.546,68.053,315713.157,822,17539.62,50,4639.25,99.188,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/tree/red-black-tree/__test__/RedBlackTree.test.js,12,2,325,550,15,2.727,4.632,46.2,641957.638,2130,35664.313,92,13895.187,76.178,0,0,156,0,0,0,0,0,0,17,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/tree/fenwick-tree/__test__/FenwickTree.test.js,4,3,115,174,13,7.471,1.477,51.074,226343.592,728,12574.644,68,4431.673,93.929,0,1,43,0,0,0,0,0,0,39,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/tree/binary-search-tree/__test__/BinarySearchTreeNode.test.js,14,3,256,336,25,7.44,2.974,50.916,454227.313,1285,25234.851,123,8921.131,91.772,0,1,50,0,0,0,0,0,0,10,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/tree/binary-search-tree/__test__/BinarySearchTree.test.js,6,3,99,121,16,13.223,0.947,29.5,83790.069,456,4655.004,75,2840.341,103.005,0,1,7,0,0,0,0,0,0,4,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/tree/avl-tree/__test__/AvlTRee.test.js,13,2,304,359,15,4.178,3.556,34.92,372581.887,1624,20698.994,95,10669.446,84.95,0,0,125,0,0,0,0,0,0,64,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/tree/__test__/BinaryTreeNode.test.js,14,2,298,325,17,5.231,3.303,45.112,447067.181,1476,24837.066,105,9910.226,88.394,0,0,78,0,0,0,0,0,0,26,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/stack/__test__/Stack.test.js,7,2,78,91,10,10.989,0.622,25.385,47373.478,329,2631.86,51,1866.228,106.282,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/queue/__test__/Queue.test.js,6,2,66,79,9,11.392,0.514,20.143,31084.673,281,1726.926,45,1543.211,107.946,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/priority-queue/__test__/PriorityQueue.test.js,8,2,125,149,10,6.711,1.078,31.9,103154.816,579,5730.823,48,3233.693,95.632,0,0,27,0,0,0,0,0,0,22,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/lru-cache/__test__/LRUCacheOnMap.test.js,7,2,149,244,9,3.689,1.78,37.256,198930.737,951,11051.708,49,5339.589,83.329,0,0,90,0,0,0,0,0,0,47,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/lru-cache/__test__/LRUCache.test.js,7,2,151,248,9,3.629,1.823,37.091,202846.348,969,11269.242,50,5468.897,82.999,0,0,94,0,0,0,0,0,0,49,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/linked-list/__test__/LinkedListNode.test.js,5,2,47,55,8,14.545,0.383,18.667,21458.014,216,1192.112,40,1149.536,112.769,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/linked-list/__test__/LinkedList.test.js,15,3,283,374,26,6.952,3.301,85.227,843977.137,1466,46887.619,108,9902.665,89.754,0,1,62,0,0,0,0,0,0,17,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/heap/__test__/MinHeapAdhoc.test.js,4,2,92,138,6,4.348,0.881,17.78,47011.33,476,2611.741,47,2643.984,89.54,0,0,44,0,0,0,0,0,0,14,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/heap/__test__/MinHeap.test.js,9,3,195,279,14,5.018,2.264,45.036,305854.433,1029,16991.913,97,6791.31,85.177,0,1,53,0,0,0,0,0,0,16,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/heap/__test__/MaxHeapAdhoc.test.js,4,2,92,138,6,4.348,0.886,17.357,46142.96,476,2563.498,48,2658.442,89.604,0,0,39,0,0,0,0,0,0,14,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/heap/__test__/MaxHeap.test.js,8,3,173,256,13,5.078,2.038,42.709,261126.822,935,14507.046,93,6114.113,85.391,0,1,41,0,0,0,0,0,0,16,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/hash-table/__test__/HashTable.test.js,8,2,118,151,11,7.285,1.333,27.863,111437.007,624,6190.945,85,3999.46,97.022,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/graph/__test__/GraphVertex.test.js,10,2,189,232,13,5.603,1.887,37.784,213847.372,933,11880.41,67,5659.661,91.113,0,0,32,0,0,0,0,0,0,12,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/graph/__test__/GraphEdge.test.js,3,2,43,48,5,10.417,0.342,13.44,13782.97,207,765.721,31,1025.519,107.267,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/graph/__test__/Graph.test.js,16,2,389,420,20,4.762,4.204,59.706,752926.016,1894,41829.223,101,12610.653,85.646,0,0,28,0,0,0,0,0,0,23,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/doubly-linked-list/__test__/DoublyLinkedListNode.test.js,5,2,56,72,8,11.111,0.532,23.182,36982.461,294,2054.581,43,1595.322,106.544,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/doubly-linked-list/__test__/DoublyLinkedList.test.js,12,3,281,381,20,5.249,3.578,97.948,1051486.448,1634,58415.914,95,10735.144,83.91,0,1,80,0,0,0,0,0,0,31,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/disjoint-set/__test__/DisjointSetItem.test.js,2,2,116,217,5,2.304,1.411,55.429,234696.696,771,13038.705,45,4234.219,73.131,0,0,56,0,0,0,0,0,0,24,0,0,0,0,0,0
