file,type,line,method,methodStart,methodEnd,source
/src/__tests__/testUtils-test.js,IdenticalTestDescription,"{'startLine':91,'endLine':97}","it('should apply transformation', async () => {
      const moduleToTransform = getModuleToTransform();
      const transformedCode = await testUtils.applyTransform(testAsyncTransform, null, moduleToTransform);

      expect(transformedCode).not.toMatch(/sum/);
      expect(transformedCode).toMatch(/addition/);
    })",91,97,snuts
/src/__tests__/testUtils-test.js,IdenticalTestDescription,"{'startLine':99,'endLine':101}","it('should run test', () => {
      return testUtils.runTest(__dirname, path.join('__testfixtures__', 'test-async-transform'), null, 'test-async-transform');
    })",99,101,snuts
/src/__tests__/testUtils-test.js,IdenticalTestDescription,"{'startLine':103,'endLine':106}","it ('should run snapshot test', () => {
      const moduleToTransform = getModuleToTransform();
      return testUtils.runSnapshotTest(testAsyncTransform, null, moduleToTransform);
    })",103,106,snuts
/src/__tests__/testUtils-test.js,IdenticalTestDescription,"{'startLine':108,'endLine':111}","it('should run inline test', () => {
      const moduleToTransform = getModuleToTransform();
      return testUtils.runInlineTest(testAsyncTransform, null, moduleToTransform, expectedInlineOutput);
    })",108,111,snuts
/src/__tests__/matchNode-test.js,AnonymousTest,"{'startLine':33,'endLine':45}","it('matches scalars', function() {
    expect('foo').toMatchNode('foo');
    expect('foo').not.toMatchNode('bar');
    expect('123').not.toMatchNode(123);

    expect(123).toMatchNode(123);
    expect(123).not.toMatchNode(456);
    expect(123).not.toMatchNode('123');

    expect(true).toMatchNode(true);
    expect(true).not.toMatchNode(false);
    expect(true).not.toMatchNode('true');
  })",33,45,snuts
/src/__tests__/matchNode-test.js,AnonymousTest,"{'startLine':47,'endLine':57}","it('matches arrays', function() {
    expect([1, 2, 3]).toMatchNode([1, 2, 3]);
    expect([1, 2, 3]).not.toMatchNode([4, 5, 6]);

    expect([[1, 2, 3], 'foo']).toMatchNode([[1, 2, 3], 'foo']);
    expect([[1, 2, 3], 'foo']).not.toMatchNode([[456], 'foo']);
    expect([[1, 2, 3], 'foo']).not.toMatchNode([[1, 2, 3], 'bar']);

    expect([1, 2, 3, 4]).toMatchNode([1, 2, 3]);
    expect([1, 2, 3]).not.toMatchNode([1, 2, 3, 4]);
  })",47,57,snuts
/src/__tests__/matchNode-test.js,AnonymousTest,"{'startLine':59,'endLine':74}","it('matches objects', function() {
    expect({}).toMatchNode({});
    expect({name: 'foo'}).toMatchNode({name: 'foo'});
    expect({name: 'foo'}).not.toMatchNode({name: 'bar'});

    expect({name: 'foo', value: {name: 'bar'}})
      .toMatchNode({name: 'foo', value: {name: 'bar'}});
    expect({name: 'foo', value: {name: 'bar'}})
      .not.toMatchNode({name: 'foo', value: {name: 'baz'}});

    expect({name: 'foo', value: 'bar'}).toMatchNode({name: 'foo'});
    expect({name: 'foo'}).not.toMatchNode({name: 'foo', value: 'bar'});

    expect(Object.create({name: 'foo'})).not.toMatchNode({name: 'foo'});
    expect({}).toMatchNode(Object.create({name: 'foo'}));
  })",59,74,snuts
/src/__tests__/matchNode-test.js,SubOptimalAssert,"{'startLine':27,'endLine':27}","it('matches null and undefined', function() {
    expect(null).toMatchNode(null);
    expect(null).not.toMatchNode(undefined);

    expect(undefined).toMatchNode(undefined);
    expect(undefined).not.toMatchNode(null);
  })",25,31,snuts
/src/__tests__/matchNode-test.js,SubOptimalAssert,"{'startLine':30,'endLine':30}","it('matches null and undefined', function() {
    expect(null).toMatchNode(null);
    expect(null).not.toMatchNode(undefined);

    expect(undefined).toMatchNode(undefined);
    expect(undefined).not.toMatchNode(null);
  })",25,31,snuts
/src/__tests__/argsParser-test.js,AnonymousTest,"{'startLine':363,'endLine':372}","it('understands --no-prefixes', function() {
      expect(parser.parse(['--no-foo', '--no-another-bar']))
        .toEqual({
          options: {
            foo: false,
            bar: false,
          },
          positionalArguments: [],
        });
    })",363,372,snuts
/src/__tests__/Worker-test.js,AnonymousTest,"{'startLine':18,'endLine':32}","it('transforms files', done => {
    const worker = require('../Worker');
    const transformPath =
      createTransformWith('return fileInfo.source + "" changed"";');
    const sourcePath = createTempFileWith('foo');
    const emitter = worker([transformPath]);

    emitter.send({files: [sourcePath]});
    emitter.once('message', (data) => {
      expect(data.status).toBe('ok');
      expect(data.msg).toBe(sourcePath);
      expect(getFileContent(sourcePath)).toBe('foo changed');
      done();
    });
  })",18,32,snuts
/src/__tests__/Collection-test.js,AnonymousTest,"{'startLine':286,'endLine':294}","it('dedupes elements', function() {
        const path = new NodePath(nodes[0]);
        const root = Collection.fromNodes(nodes);
        const mapped = root.map(() => path);

        expect(root).not.toBe(mapped);
        expect(mapped.length).toBe(1);
        expect(mapped.paths()[0]).toBe(path);
      })",286,294,snuts
/src/__tests__/Collection-test.js,GeneralFixture,"{'startLine':24,'endLine':24}","beforeEach(function() {
    jest.resetModules();

    Collection = require('../Collection');
    recast = require('recast');

    NodePath = recast.types.NodePath;
    types = recast.types.namedTypes;
    b = recast.types.builders;

    nodes = [b.identifier('foo'), b.identifier('bar')];
  })",20,31,snuts
/src/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':118,'endLine':118}","it('handles type inheritance chains', function() {
      const Collection = require('../Collection');
      const nodeMethod = function() {};
      const identifierMethod = function() {};
      Collection.registerMethods({nodeMethod: nodeMethod}, types.Node);
      Collection.registerMethods(
        {identifierMethod: identifierMethod},
        types.Identifier
      );

      const collection = Collection.fromNodes([b.identifier('foo')]);

      expect(() => collection.identifierMethod()).not.toThrow();
      expect(() => collection.nodeMethod()).not.toThrow();
    })",116,130,snuts
