"file","type","smells","itCount","describeCount"
"src/__tests__/testUtils-test.js","IdenticalTestDescription","[{""startLine"":91,""endLine"":97}]",8,3
"src/__tests__/testUtils-test.js","IdenticalTestDescription","[{""startLine"":99,""endLine"":101}]",8,3
"src/__tests__/testUtils-test.js","IdenticalTestDescription","[{""startLine"":103,""endLine"":106}]",8,3
"src/__tests__/testUtils-test.js","IdenticalTestDescription","[{""startLine"":108,""endLine"":111}]",8,3
"src/__tests__/matchNode-test.js","AnonymousTest","[{""startLine"":33,""endLine"":45}]",6,1
"src/__tests__/matchNode-test.js","AnonymousTest","[{""startLine"":47,""endLine"":57}]",6,1
"src/__tests__/matchNode-test.js","AnonymousTest","[{""startLine"":59,""endLine"":74}]",6,1
"src/__tests__/matchNode-test.js","SubOptimalAssert","[{""startLine"":27,""endLine"":27}]",6,1
"src/__tests__/matchNode-test.js","SubOptimalAssert","[{""startLine"":30,""endLine"":30}]",6,1
"src/__tests__/argsParser-test.js","AnonymousTest","[{""startLine"":363,""endLine"":372}]",8,3
"src/__tests__/Worker-test.js","AnonymousTest","[{""startLine"":18,""endLine"":32}]",4,2
"src/__tests__/Collection-test.js","AnonymousTest","[{""startLine"":286,""endLine"":294}]",28,12
"src/__tests__/Collection-test.js","GeneralFixture","[{""startLine"":24,""endLine"":24}]",28,12
"src/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":118,""endLine"":118}]",28,12
"src/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":119,""endLine"":119}]",28,12
"src/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":134,""endLine"":134}]",28,12
"src/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":145,""endLine"":145}]",28,12
"src/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":150,""endLine"":150}]",28,12
"src/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":179,""endLine"":179}]",28,12
"src/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":229,""endLine"":229}]",28,12
"src/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":211,""endLine"":211}]",28,12
"src/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":212,""endLine"":212}]",28,12
"src/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":222,""endLine"":222}]",28,12
"src/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":240,""endLine"":240}]",28,12
"src/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":260,""endLine"":260}]",28,12
"src/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":281,""endLine"":281}]",28,12
"src/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":292,""endLine"":292}]",28,12
"dist/__tests__/testUtils-test.js","IdenticalTestDescription","[{""startLine"":91,""endLine"":97}]",8,3
"dist/__tests__/testUtils-test.js","IdenticalTestDescription","[{""startLine"":99,""endLine"":101}]",8,3
"dist/__tests__/testUtils-test.js","IdenticalTestDescription","[{""startLine"":103,""endLine"":106}]",8,3
"dist/__tests__/testUtils-test.js","IdenticalTestDescription","[{""startLine"":108,""endLine"":111}]",8,3
"dist/__tests__/matchNode-test.js","AnonymousTest","[{""startLine"":33,""endLine"":45}]",6,1
"dist/__tests__/matchNode-test.js","AnonymousTest","[{""startLine"":47,""endLine"":57}]",6,1
"dist/__tests__/matchNode-test.js","AnonymousTest","[{""startLine"":59,""endLine"":74}]",6,1
"dist/__tests__/matchNode-test.js","SubOptimalAssert","[{""startLine"":27,""endLine"":27}]",6,1
"dist/__tests__/matchNode-test.js","SubOptimalAssert","[{""startLine"":30,""endLine"":30}]",6,1
"dist/__tests__/argsParser-test.js","AnonymousTest","[{""startLine"":363,""endLine"":372}]",8,3
"dist/__tests__/Worker-test.js","AnonymousTest","[{""startLine"":18,""endLine"":32}]",4,2
"dist/__tests__/Collection-test.js","AnonymousTest","[{""startLine"":286,""endLine"":294}]",28,12
"dist/__tests__/Collection-test.js","GeneralFixture","[{""startLine"":24,""endLine"":24}]",28,12
"dist/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":118,""endLine"":118}]",28,12
"dist/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":119,""endLine"":119}]",28,12
"dist/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":134,""endLine"":134}]",28,12
"dist/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":145,""endLine"":145}]",28,12
"dist/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":150,""endLine"":150}]",28,12
"dist/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":179,""endLine"":179}]",28,12
"dist/__tests__/Collection-test.js","NonFunctionalStatement","[{""startLine"":229,""endLine"":229}]",28,12
"dist/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":211,""endLine"":211}]",28,12
"dist/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":212,""endLine"":212}]",28,12
"dist/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":222,""endLine"":222}]",28,12
"dist/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":240,""endLine"":240}]",28,12
"dist/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":260,""endLine"":260}]",28,12
"dist/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":281,""endLine"":281}]",28,12
"dist/__tests__/Collection-test.js","SubOptimalAssert","[{""startLine"":292,""endLine"":292}]",28,12
"bin/__tests__/jscodeshift-test.js","IdenticalTestDescription","[{""startLine"":311,""endLine"":323}]",23,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":68,""endLine"":68}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":74,""endLine"":74}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":84,""endLine"":84}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":92,""endLine"":92}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":102,""endLine"":102}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":117,""endLine"":117}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":129,""endLine"":129}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":148,""endLine"":150}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":151,""endLine"":153}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":155,""endLine"":157}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":158,""endLine"":160}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":171,""endLine"":171}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":187,""endLine"":187}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":204,""endLine"":204}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":218,""endLine"":220}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":221,""endLine"":223}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":236,""endLine"":238}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":239,""endLine"":241}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":254,""endLine"":256}]",15,5
"src/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":257,""endLine"":259}]",15,5
"src/collections/__tests__/Node-test.js","GeneralFixture","[{""startLine"":23,""endLine"":23}]",22,11
"src/collections/__tests__/Node-test.js","GeneralFixture","[{""startLine"":24,""endLine"":24}]",22,11
"src/collections/__tests__/Node-test.js","IdenticalTestDescription","[{""startLine"":345,""endLine"":360}]",22,11
"src/collections/__tests__/Node-test.js","IdenticalTestDescription","[{""startLine"":362,""endLine"":378}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":63,""endLine"":63}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":74,""endLine"":74}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":86,""endLine"":86}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":95,""endLine"":95}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":111,""endLine"":111}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":113,""endLine"":113}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":156,""endLine"":156}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":190,""endLine"":190}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":207,""endLine"":207}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":268,""endLine"":268}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":289,""endLine"":289}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":305,""endLine"":305}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":322,""endLine"":322}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":341,""endLine"":341}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":357,""endLine"":357}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":374,""endLine"":374}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":391,""endLine"":391}]",22,11
"src/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":406,""endLine"":406}]",22,11
"src/collections/__tests__/JSXElement-test.js","GeneralFixture","[{""startLine"":26,""endLine"":26}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":55,""endLine"":55}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":61,""endLine"":61}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":69,""endLine"":69}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":79,""endLine"":79}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":89,""endLine"":89}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":99,""endLine"":99}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":109,""endLine"":109}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":121,""endLine"":121}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":128,""endLine"":128}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":138,""endLine"":138}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":139,""endLine"":139}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":140,""endLine"":140}]",12,5
"src/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":162,""endLine"":162}]",12,5
"src/collections/__tests__/ImportDeclaration-test.js","GeneralFixture","[{""startLine"":24,""endLine"":24}]",10,6
"src/collections/__tests__/ImportDeclaration-test.js","GeneralFixture","[{""startLine"":25,""endLine"":25}]",10,6
"src/collections/__tests__/ImportDeclaration-test.js","GeneralFixture","[{""startLine"":26,""endLine"":26}]",10,6
"src/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":65,""endLine"":65}]",10,6
"src/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":72,""endLine"":72}]",10,6
"src/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":84,""endLine"":84}]",10,6
"src/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":89,""endLine"":89}]",10,6
"src/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":117,""endLine"":117}]",10,6
"src/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":120,""endLine"":120}]",10,6
"src/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":137,""endLine"":137}]",10,6
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":68,""endLine"":68}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":74,""endLine"":74}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":84,""endLine"":84}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":92,""endLine"":92}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":102,""endLine"":102}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":117,""endLine"":117}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":129,""endLine"":129}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":148,""endLine"":150}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":151,""endLine"":153}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":155,""endLine"":157}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":158,""endLine"":160}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":171,""endLine"":171}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":187,""endLine"":187}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":204,""endLine"":204}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":218,""endLine"":220}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":221,""endLine"":223}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":236,""endLine"":238}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":239,""endLine"":241}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":254,""endLine"":256}]",15,5
"dist/collections/__tests__/VariableDeclarator-test.js","SubOptimalAssert","[{""startLine"":257,""endLine"":259}]",15,5
"dist/collections/__tests__/Node-test.js","GeneralFixture","[{""startLine"":23,""endLine"":23}]",22,11
"dist/collections/__tests__/Node-test.js","GeneralFixture","[{""startLine"":24,""endLine"":24}]",22,11
"dist/collections/__tests__/Node-test.js","IdenticalTestDescription","[{""startLine"":345,""endLine"":360}]",22,11
"dist/collections/__tests__/Node-test.js","IdenticalTestDescription","[{""startLine"":362,""endLine"":378}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":63,""endLine"":63}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":74,""endLine"":74}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":86,""endLine"":86}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":95,""endLine"":95}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":111,""endLine"":111}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":113,""endLine"":113}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":156,""endLine"":156}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":190,""endLine"":190}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":207,""endLine"":207}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":268,""endLine"":268}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":289,""endLine"":289}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":305,""endLine"":305}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":322,""endLine"":322}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":341,""endLine"":341}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":357,""endLine"":357}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":374,""endLine"":374}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":391,""endLine"":391}]",22,11
"dist/collections/__tests__/Node-test.js","SubOptimalAssert","[{""startLine"":406,""endLine"":406}]",22,11
"dist/collections/__tests__/JSXElement-test.js","GeneralFixture","[{""startLine"":26,""endLine"":26}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":55,""endLine"":55}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":61,""endLine"":61}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":69,""endLine"":69}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":79,""endLine"":79}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":89,""endLine"":89}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":99,""endLine"":99}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":109,""endLine"":109}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":121,""endLine"":121}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":128,""endLine"":128}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":138,""endLine"":138}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":139,""endLine"":139}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":140,""endLine"":140}]",12,5
"dist/collections/__tests__/JSXElement-test.js","SubOptimalAssert","[{""startLine"":162,""endLine"":162}]",12,5
"dist/collections/__tests__/ImportDeclaration-test.js","GeneralFixture","[{""startLine"":24,""endLine"":24}]",10,6
"dist/collections/__tests__/ImportDeclaration-test.js","GeneralFixture","[{""startLine"":25,""endLine"":25}]",10,6
"dist/collections/__tests__/ImportDeclaration-test.js","GeneralFixture","[{""startLine"":26,""endLine"":26}]",10,6
"dist/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":65,""endLine"":65}]",10,6
"dist/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":72,""endLine"":72}]",10,6
"dist/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":84,""endLine"":84}]",10,6
"dist/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":89,""endLine"":89}]",10,6
"dist/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":117,""endLine"":117}]",10,6
"dist/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":120,""endLine"":120}]",10,6
"dist/collections/__tests__/ImportDeclaration-test.js","SubOptimalAssert","[{""startLine"":137,""endLine"":137}]",10,6
