file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/utils/__tests__/union-test.js,Conditional Test Logic,"{'line': 13, 'column': 2, 'index': 270}","  11 |
  12 | function test(testCases) {
> 13 |   for (const testName in testCases) {
     |  ^ Conditional Test Logic
  14 |     const testCase = testCases[testName];
  15 |     it(testName, function() {
  16 |       expect(union(testCase.input)).toEqual(testCase.output);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/utils/__tests__/intersection-test.js,Conditional Test Logic,"{'line': 13, 'column': 2, 'index': 284}","  11 |
  12 | function test(testCases) {
> 13 |   for (const testName in testCases) {
     |  ^ Conditional Test Logic
  14 |     const testCase = testCases[testName];
  15 |     it(testName, function() {
  16 |       expect(intersection(testCase.input)).toEqual(testCase.output);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Lazy Test,"{'line': 138, 'column': 29, 'index': 4000}","  136 |         '  foo,',
  137 |         '};',
> 138 |       ].join('\n'), {parser: getParser()}).program];
      |                             ^ Lazy Test
  139 |
  140 |       // Outputs:
  141 |       // var newFoo = 42;"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Lazy Test,"{'line': 178, 'column': 29, 'index': 5301}","  176 |         'var span = useRef(null);',
  177 |         'var element = <span ref={span}></span>;',
> 178 |       ].join('\n'), {parser: getParser()}).program];
      |                             ^ Lazy Test
  179 |
  180 |       Collection.fromNodes(nodes)
  181 |         .findVariableDeclarators('span')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Lazy Test,"{'line': 195, 'column': 29, 'index': 5865}","  193 |         'var span = useRef(null);',
  194 |         'var element = <Span ref={span}></Span>;',
> 195 |       ].join('\n'), {parser: getParser()}).program];
      |                             ^ Lazy Test
  196 |
  197 |       Collection.fromNodes(nodes)
  198 |         .findVariableDeclarators('Span')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Lazy Test,"{'line': 211, 'column': 20, 'index': 6385}","  209 |         nodes = [
  210 |           recast.parse('var foo = 42; var obj = { foo: null };', {
> 211 |             parser: getParser('babylon'),
      |                    ^ Lazy Test
  212 |           }).program
  213 |         ];
  214 |         Collection"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Lazy Test,"{'line': 229, 'column': 20, 'index': 6962}","  227 |         nodes = [
  228 |           recast.parse('var foo = 42; var obj = { foo() {} };', {
> 229 |             parser: getParser('babylon'),
      |                    ^ Lazy Test
  230 |           }).program
  231 |         ];
  232 |         Collection"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Lazy Test,"{'line': 247, 'column': 20, 'index': 7535}","  245 |         nodes = [
  246 |           recast.parse('var foo = 42; class A { foo() {} }', {
> 247 |             parser: getParser('babylon'),
      |                    ^ Lazy Test
  248 |           }).program
  249 |         ];
  250 |         Collection"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 68, 'column': 38, 'index': 1852}","  66 |       const declarators = Collection.fromNodes(nodes).findVariableDeclarators();
  67 |       expect(declarators.getTypes()).toContain('VariableDeclarator');
> 68 |       expect(declarators.length).toBe(7);
     |                                      ^ Magic Number
  69 |     });
  70 |
  71 |     it('finds variable declarators by name', function() {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 74, 'column': 38, 'index': 2056}","  72 |       const declarators = Collection.fromNodes(nodes)
  73 |         .findVariableDeclarators('bar');
> 74 |       expect(declarators.length).toBe(2);
     |                                      ^ Magic Number
  75 |     });
  76 |   });
  77 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 84, 'column': 38, 'index': 2364}","  82 |         .filter(VariableDeclaratorCollection.filters.requiresModule());
  83 |
> 84 |       expect(declarators.length).toBe(2);
     |                                      ^ Magic Number
  85 |     });
  86 |
  87 |     it('finds module imports (require) by module name', function() {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 92, 'column': 38, 'index': 2654}","  90 |         .filter(VariableDeclaratorCollection.filters.requiresModule('module'));
  91 |
> 92 |       expect(declarators.length).toBe(1);
     |                                      ^ Magic Number
  93 |     });
  94 |
  95 |     it('accepts multiple module names', function() {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 102, 'column': 38, 'index': 2961}","  100 |         ));
  101 |
> 102 |       expect(declarators.length).toBe(2);
      |                                      ^ Magic Number
  103 |     });
  104 |   });
  105 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 117, 'column': 38, 'index': 3412}","  115 |         .find(types.Identifier, {name: 'xyz'});
  116 |
> 117 |       expect(identifiers.length).toBe(6);
      |                                      ^ Magic Number
  118 |     });
  119 |
  120 |     it('does not rename things that are not variables', function() {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 129, 'column': 38, 'index': 3749}","  127 |         .find(types.Identifier, {name: 'blarg'});
  128 |
> 129 |       expect(identifiers.length).toBe(1);
      |                                      ^ Magic Number
  130 |     });
  131 |
  132 |     it('properly renames a shorthand property that was using the old variable name', function() {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 150, 'column': 13, 'index': 4335}","  148 |       expect(
  149 |         Collection.fromNodes(nodes).find(types.Identifier, { name: 'newFoo' }).length
> 150 |       ).toBe(2);
      |             ^ Magic Number
  151 |       expect(
  152 |         Collection.fromNodes(nodes).find(types.Identifier, { name: 'foo' }).length
  153 |       ).toBe(1);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 153, 'column': 13, 'index': 4449}","  151 |       expect(
  152 |         Collection.fromNodes(nodes).find(types.Identifier, { name: 'foo' }).length
> 153 |       ).toBe(1);
      |             ^ Magic Number
  154 |
  155 |       expect(
  156 |         Collection.fromNodes(nodes).find(types.Property).filter(prop => !prop.value.shorthand).length"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 157, 'column': 13, 'index': 4583}","  155 |       expect(
  156 |         Collection.fromNodes(nodes).find(types.Property).filter(prop => !prop.value.shorthand).length
> 157 |       ).toBe(1);
      |             ^ Magic Number
  158 |       expect(
  159 |         Collection.fromNodes(nodes).find(types.Property).filter(prop => prop.value.shorthand).length
  160 |       ).toBe(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 160, 'column': 13, 'index': 4715}","  158 |       expect(
  159 |         Collection.fromNodes(nodes).find(types.Property).filter(prop => prop.value.shorthand).length
> 160 |       ).toBe(0);
      |             ^ Magic Number
  161 |     });
  162 |
  163 |     it('does not rename React component prop name', function () {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 171, 'column': 38, 'index': 5041}","  169 |         .find(types.JSXIdentifier, { name: 'foo' });
  170 |
> 171 |       expect(identifiers.length).toBe(1);
      |                                      ^ Magic Number
  172 |     });
  173 |
  174 |     it('does not rename JSX open and closing tags that start with a lowercase letter', function () {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 187, 'column': 38, 'index': 5582}","  185 |         .find(types.JSXIdentifier, { name: 'spanRef' });
  186 |
> 187 |       expect(identifiers.length).toBe(0);
      |                                      ^ Magic Number
  188 |     });
  189 |
  190 |     it('does rename JSX open and closing tags that are capitalized', function () {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 204, 'column': 38, 'index': 6158}","  202 |         .find(types.JSXIdentifier, { name: 'SpanComponent' });
  203 |
> 204 |       expect(identifiers.length).toBe(2);
      |                                      ^ Magic Number
  205 |     });
  206 |
  207 |     describe('parsing with bablylon', function() {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 220, 'column': 15, 'index': 6668}","  218 |         expect(
  219 |           Collection.fromNodes(nodes).find(types.Identifier, { name: 'newFoo' }).length
> 220 |         ).toBe(1);
      |               ^ Magic Number
  221 |         expect(
  222 |           Collection.fromNodes(nodes).find(types.Identifier, { name: 'foo' }).length
  223 |         ).toBe(1);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 223, 'column': 15, 'index': 6788}","  221 |         expect(
  222 |           Collection.fromNodes(nodes).find(types.Identifier, { name: 'foo' }).length
> 223 |         ).toBe(1);
      |               ^ Magic Number
  224 |       })
  225 |
  226 |       it('does not rename object method', function () {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 238, 'column': 15, 'index': 7245}","  236 |         expect(
  237 |           Collection.fromNodes(nodes).find(types.Identifier, { name: 'newFoo' }).length
> 238 |         ).toBe(1);
      |               ^ Magic Number
  239 |         expect(
  240 |           Collection.fromNodes(nodes).find(types.Identifier, { name: 'foo' }).length
  241 |         ).toBe(1);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 241, 'column': 15, 'index': 7365}","  239 |         expect(
  240 |           Collection.fromNodes(nodes).find(types.Identifier, { name: 'foo' }).length
> 241 |         ).toBe(1);
      |               ^ Magic Number
  242 |       })
  243 |
  244 |       it('does not rename class method', function () {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 256, 'column': 15, 'index': 7818}","  254 |         expect(
  255 |           Collection.fromNodes(nodes).find(types.Identifier, { name: 'newFoo' }).length
> 256 |         ).toBe(1);
      |               ^ Magic Number
  257 |         expect(
  258 |           Collection.fromNodes(nodes).find(types.Identifier, { name: 'foo' }).length
  259 |         ).toBe(1);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,Magic Number,"{'line': 259, 'column': 15, 'index': 7938}","  257 |         expect(
  258 |           Collection.fromNodes(nodes).find(types.Identifier, { name: 'foo' }).length
> 259 |         ).toBe(1);
      |               ^ Magic Number
  260 |       })
  261 |     });
  262 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/Node-test.js,Magic Number,"{'line': 63, 'column': 33, 'index': 1524}","  61 |         const vars = Collection.fromNodes([ast]).find(types.Identifier);
  62 |
> 63 |         expect(vars.length).toBe(2);
     |                                 ^ Magic Number
  64 |       });
  65 |
  66 |       it('doesn\'t find the nodes in the collection itself', function() {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/Node-test.js,Magic Number,"{'line': 74, 'column': 33, 'index': 1845}","  72 |         const vars = Collection.fromNodes(nodes).find(types.Identifier);
  73 |
> 74 |         expect(vars.length).toBe(0);
     |                                 ^ Magic Number
  75 |       });
  76 |
  77 |       it('finds nodes by type and properties', function() {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/Node-test.js,Magic Number,"{'line': 86, 'column': 33, 'index': 2231}","  84 |           .find(types.Identifier, {name: 'bar'});
  85 |
> 86 |         expect(vars.length).toBe(1);
     |                                 ^ Magic Number
