FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/utils/__tests__/union-test.js,0,1,35,20,4,20,0.152,10.75,4905.664,93,272.537,30,456.341,120.605,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/utils/__tests__/intersection-test.js,0,1,35,20,4,20,0.149,10.5,4688.534,91,260.474,30,446.527,120.759,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/VariableDeclarator-test.js,15,2,265,239,24,10.042,2.307,24.645,170571.19,981,9476.177,133,6921.232,103.434,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/Node-test.js,22,1,413,465,44,9.462,4.97,56.825,847200.46,2057,47066.692,152,14908.987,98.104,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/JSXElement-test.js,12,1,168,182,21,11.538,1.577,21.25,100525.16,678,5584.731,126,4730.596,107.037,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/collections/__tests__/ImportDeclaration-test.js,10,2,148,139,21,15.108,1.029,16.689,51527.693,483,2862.65,84,3087.489,113.688,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/__tests__/testUtils-test.js,8,2,144,89,13,14.607,0.673,13.492,27252.985,333,1514.055,67,2020.008,113.68,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/__tests__/template-test.js,10,1,245,193,25,12.953,1.602,20.074,96460.564,679,5358.92,135,4805.158,109.648,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/__tests__/matchNode-test.js,6,3,110,147,10,6.803,1.225,33.617,123533.164,630,6862.954,57,3674.721,95.235,0,0,30,0,0,0,0,0,0,3,0,9,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/__tests__/core-test.js,10,1,78,82,16,19.512,0.516,15.681,24250.546,264,1347.253,58,1546.507,119.48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/__tests__/argsParser-test.js,8,3,377,268,21,7.836,2.425,37.288,271287.361,1022,15071.52,139,7275.558,95.308,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/__tests__/Worker-test.js,4,1,140,141,20,14.184,1.017,31.25,95378.786,490,5298.821,75,3052.121,109.336,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/src/__tests__/Collection-test.js,28,3,319,415,73,17.59,3.567,56.336,602876.72,1458,33493.151,162,10701.501,111.718,0,1,2,0,0,0,0,0,0,7,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/jscodeshift/bin/__tests__/jscodeshift-test.js,23,4,448,508,65,12.795,4.614,47.672,659895.117,1796,36660.84,209,13842.417,105.496,0,2,10,0,0,0,0,0,0,0,0,1,1,0,0,0
