file,type,line,method,methodStart,methodEnd,source
/__test__/utils.get-by-class.test.js,AnonymousTest,"{'startLine':22,'endLine':24}","it('should toggle', function () {
    expect(getByClass(document.body, 'foo', false, { test: true, polyfill: true }).length).toBe(1)
  })",22,24,snuts
/__test__/utils.get-by-class.test.js,GeneralFixture,"{'startLine':7,'endLine':7}","beforeEach(function () {
    el = document.createElement('div')
    el.setAttribute('class', 'foo')
    document.body.appendChild(el)
  })",6,10,snuts
/__test__/utils.get-by-class.test.js,IdenticalTestDescription,"{'startLine':19,'endLine':21}","it('should use getElementsByClassName', function () {
    expect(getByClass(document.body, 'foo', false, { test: true, querySelector: true }).length).toBe(1)
  })",19,21,snuts
/__test__/utils.get-by-class.test.js,SubOptimalAssert,"{'startLine':17,'endLine':17}","it('should use getElementsByClassName', function () {
    expect(getByClass(document.body, 'foo', false, { test: true, getElementsByClassName: true }).length).toBe(1)
  })",16,18,snuts
/__test__/utils.get-by-class.test.js,SubOptimalAssert,"{'startLine':20,'endLine':20}","it('should use getElementsByClassName', function () {
    expect(getByClass(document.body, 'foo', false, { test: true, querySelector: true }).length).toBe(1)
  })",19,21,snuts
/__test__/utils.get-by-class.test.js,SubOptimalAssert,"{'startLine':23,'endLine':23}","it('should toggle', function () {
    expect(getByClass(document.body, 'foo', false, { test: true, polyfill: true }).length).toBe(1)
  })",22,24,snuts
/__test__/utils.classes.test.js,AnonymousTest,"{'startLine':15,'endLine':18}","it('should add', function () {
    classes(el).add('show')
    expect(el.getAttribute('class')).toBe('show')
  })",15,18,snuts
/__test__/utils.classes.test.js,AnonymousTest,"{'startLine':19,'endLine':24}","it('should remove', function () {
    el.setAttribute('class', 'show')
    expect(el.getAttribute('class')).toBe('show')
    classes(el).remove('show')
    expect(el.getAttribute('class')).toBe('')
  })",19,24,snuts
/__test__/utils.classes.test.js,AnonymousTest,"{'startLine':25,'endLine':30}","it('should toggle', function () {
    classes(el).toggle('show')
    expect(el.getAttribute('class')).toBe('show')
    classes(el).toggle('show')
    expect(el.getAttribute('class')).toBe('')
  })",25,30,snuts
/__test__/utils.classes.test.js,AnonymousTest,"{'startLine':31,'endLine':34}","it('should array', function () {
    el.setAttribute('class', 'foo bar')
    expect(classes(el).array()).toEqual(['foo', 'bar'])
  })",31,34,snuts
