"file","type","smells","itCount","describeCount"
"__test__/utils.get-by-class.test.js","AnonymousTest","[{""startLine"":22,""endLine"":24}]",3,1
"__test__/utils.get-by-class.test.js","GeneralFixture","[{""startLine"":7,""endLine"":7}]",3,1
"__test__/utils.get-by-class.test.js","IdenticalTestDescription","[{""startLine"":19,""endLine"":21}]",3,1
"__test__/utils.get-by-class.test.js","SubOptimalAssert","[{""startLine"":17,""endLine"":17}]",3,1
"__test__/utils.get-by-class.test.js","SubOptimalAssert","[{""startLine"":20,""endLine"":20}]",3,1
"__test__/utils.get-by-class.test.js","SubOptimalAssert","[{""startLine"":23,""endLine"":23}]",3,1
"__test__/utils.classes.test.js","AnonymousTest","[{""startLine"":15,""endLine"":18}]",6,1
"__test__/utils.classes.test.js","AnonymousTest","[{""startLine"":19,""endLine"":24}]",6,1
"__test__/utils.classes.test.js","AnonymousTest","[{""startLine"":25,""endLine"":30}]",6,1
"__test__/utils.classes.test.js","AnonymousTest","[{""startLine"":31,""endLine"":34}]",6,1
"__test__/utils.classes.test.js","AnonymousTest","[{""startLine"":35,""endLine"":39}]",6,1
"__test__/utils.classes.test.js","AnonymousTest","[{""startLine"":40,""endLine"":44}]",6,1
"__test__/sort.test.js","NonFunctionalStatement","[{""startLine"":220,""endLine"":220}]",18,3
"__test__/sort.test.js","SubOptimalAssert","[{""startLine"":283,""endLine"":283}]",18,3
"__test__/sort.test.js","SubOptimalAssert","[{""startLine"":285,""endLine"":285}]",18,3
"__test__/sort.test.js","VerboseStatement","[{""startLine"":62,""endLine"":77}]",18,3
"__test__/sort.test.js","VerboseStatement","[{""startLine"":78,""endLine"":93}]",18,3
"__test__/sort.test.js","VerboseStatement","[{""startLine"":94,""endLine"":109}]",18,3
"__test__/sort.test.js","VerboseStatement","[{""startLine"":110,""endLine"":125}]",18,3
"__test__/sort.test.js","VerboseStatement","[{""startLine"":289,""endLine"":307}]",18,3
"__test__/sort.test.js","VerboseStatement","[{""startLine"":333,""endLine"":353}]",18,3
"__test__/sort.test.js","VerboseStatement","[{""startLine"":354,""endLine"":374}]",18,3
"__test__/show.test.js","IdenticalTestDescription","[{""startLine"":132,""endLine"":145}]",13,5
"__test__/show.test.js","IdenticalTestDescription","[{""startLine"":146,""endLine"":159}]",13,5
"__test__/show.test.js","IdenticalTestDescription","[{""startLine"":160,""endLine"":173}]",13,5
"__test__/search.test.js","IdenticalTestDescription","[{""startLine"":119,""endLine"":123}]",20,8
"__test__/search.test.js","IdenticalTestDescription","[{""startLine"":124,""endLine"":127}]",20,8
"__test__/search.test.js","NonFunctionalStatement","[{""startLine"":61,""endLine"":61}]",20,8
"__test__/search.test.js","NonFunctionalStatement","[{""startLine"":71,""endLine"":71}]",20,8
"__test__/search.test.js","NonFunctionalStatement","[{""startLine"":87,""endLine"":87}]",20,8
"__test__/parse.test.js","VerboseStatement","[{""startLine"":107,""endLine"":134}]",5,3
"__test__/pagination.test.js","GeneralFixture","[{""startLine"":275,""endLine"":275}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":54,""endLine"":68}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":133,""endLine"":140}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":158,""endLine"":171}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":173,""endLine"":184}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":215,""endLine"":222}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":224,""endLine"":238}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":256,""endLine"":268}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":296,""endLine"":303}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":305,""endLine"":319}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":321,""endLine"":335}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":337,""endLine"":350}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":352,""endLine"":363}]",20,5
"__test__/pagination.test.js","IdenticalTestDescription","[{""startLine"":365,""endLine"":371}]",20,5
"__test__/pagination.test.js","VerboseStatement","[{""startLine"":240,""endLine"":255}]",20,5
"__test__/on.test.js","ConditionalTestLogic","[{""startLine"":61,""endLine"":63}]",10,6
"__test__/on.test.js","ConditionalTestLogic","[{""startLine"":85,""endLine"":87}]",10,6
"__test__/on.test.js","ConditionalTestLogic","[{""startLine"":100,""endLine"":102}]",10,6
"__test__/on.test.js","ConditionalTestLogic","[{""startLine"":115,""endLine"":117}]",10,6
"__test__/off.test.js","NonFunctionalStatement","[{""startLine"":29,""endLine"":29}]",2,2
"__test__/off.test.js","NonFunctionalStatement","[{""startLine"":34,""endLine"":34}]",2,2
"__test__/off.test.js","NonFunctionalStatement","[{""startLine"":36,""endLine"":36}]",2,2
"__test__/fuzzysearch.test.js","GeneralFixture","[{""startLine"":27,""endLine"":27}]",6,2
"__test__/fuzzysearch.test.js","IdenticalTestDescription","[{""startLine"":51,""endLine"":54}]",6,2
"__test__/fuzzysearch.test.js","IdenticalTestDescription","[{""startLine"":56,""endLine"":59}]",6,2
"__test__/fuzzysearch.test.js","SubOptimalAssert","[{""startLine"":48,""endLine"":48}]",6,2
"__test__/fuzzysearch.test.js","SubOptimalAssert","[{""startLine"":53,""endLine"":53}]",6,2
"__test__/fuzzysearch.test.js","SubOptimalAssert","[{""startLine"":58,""endLine"":58}]",6,2
"__test__/defaults.test.js","VerboseStatement","[{""startLine"":15,""endLine"":35}]",4,1
"__test__/create.test.js","IdenticalTestDescription","[{""startLine"":46,""endLine"":49}]",14,9
"__test__/create.test.js","IdenticalTestDescription","[{""startLine"":70,""endLine"":73}]",14,9
"__test__/create.test.js","IdenticalTestDescription","[{""startLine"":75,""endLine"":79}]",14,9
"__test__/create.test.js","IdenticalTestDescription","[{""startLine"":100,""endLine"":103}]",14,9
"__test__/create.test.js","IdenticalTestDescription","[{""startLine"":105,""endLine"":109}]",14,9
"__test__/create.test.js","IdenticalTestDescription","[{""startLine"":132,""endLine"":135}]",14,9
"__test__/create.test.js","IdenticalTestDescription","[{""startLine"":137,""endLine"":141}]",14,9
"__test__/create.test.js","IdenticalTestDescription","[{""startLine"":186,""endLine"":189}]",14,9
"__test__/create.test.js","IdenticalTestDescription","[{""startLine"":191,""endLine"":195}]",14,9
"__test__/create.test.js","IdenticalTestDescription","[{""startLine"":290,""endLine"":301}]",14,9
"__test__/buttons.test.js","ConditionalTestLogic","[{""startLine"":78,""endLine"":94}]",7,3
"__test__/buttons.test.js","ConditionalTestLogic","[{""startLine"":84,""endLine"":94}]",7,3
"__test__/buttons.test.js","ConditionalTestLogic","[{""startLine"":90,""endLine"":94}]",7,3
