file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.get-by-class.test.js,Global Variable,"{'line': 4, 'column': 2, 'index': 96}","  2 |
  3 | describe('GetByClass', function () {
> 4 |   var el
    |  ^ Global Variable
  5 |
  6 |   beforeEach(function () {
  7 |     el = document.createElement('div')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.get-by-class.test.js,Magic Number,"{'line': 17, 'column': 110, 'index': 478}","  15 |
  16 |   it('should use getElementsByClassName', function () {
> 17 |     expect(getByClass(document.body, 'foo', false, { test: true, getElementsByClassName: true }).length).toBe(1)
     |                                                                                                              ^ Magic Number
  18 |   })
  19 |   it('should use getElementsByClassName', function () {
  20 |     expect(getByClass(document.body, 'foo', false, { test: true, querySelector: true }).length).toBe(1)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.get-by-class.test.js,Magic Number,"{'line': 20, 'column': 101, 'index': 643}","  18 |   })
  19 |   it('should use getElementsByClassName', function () {
> 20 |     expect(getByClass(document.body, 'foo', false, { test: true, querySelector: true }).length).toBe(1)
     |                                                                                                     ^ Magic Number
  21 |   })
  22 |   it('should toggle', function () {
  23 |     expect(getByClass(document.body, 'foo', false, { test: true, polyfill: true }).length).toBe(1)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.get-by-class.test.js,Magic Number,"{'line': 23, 'column': 96, 'index': 783}","  21 |   })
  22 |   it('should toggle', function () {
> 23 |     expect(getByClass(document.body, 'foo', false, { test: true, polyfill: true }).length).toBe(1)
     |                                                                                                ^ Magic Number
  24 |   })
  25 | })
  26 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.classes.test.js,Duplicate Assert,"{'line': 21, 'column': 4, 'index': 458}","  19 |   it('should remove', function () {
  20 |     el.setAttribute('class', 'show')
> 21 |     expect(el.getAttribute('class')).toBe('show')
     |    ^ Duplicate Assert
  22 |     classes(el).remove('show')
  23 |     expect(el.getAttribute('class')).toBe('')
  24 |   })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.classes.test.js,Duplicate Assert,"{'line': 23, 'column': 4, 'index': 539}","  21 |     expect(el.getAttribute('class')).toBe('show')
  22 |     classes(el).remove('show')
> 23 |     expect(el.getAttribute('class')).toBe('')
     |    ^ Duplicate Assert
  24 |   })
  25 |   it('should toggle', function () {
  26 |     classes(el).toggle('show')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.classes.test.js,Duplicate Assert,"{'line': 27, 'column': 4, 'index': 657}","  25 |   it('should toggle', function () {
  26 |     classes(el).toggle('show')
> 27 |     expect(el.getAttribute('class')).toBe('show')
     |    ^ Duplicate Assert
  28 |     classes(el).toggle('show')
  29 |     expect(el.getAttribute('class')).toBe('')
  30 |   })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.classes.test.js,Duplicate Assert,"{'line': 29, 'column': 4, 'index': 738}","  27 |     expect(el.getAttribute('class')).toBe('show')
  28 |     classes(el).toggle('show')
> 29 |     expect(el.getAttribute('class')).toBe('')
     |    ^ Duplicate Assert
  30 |   })
  31 |   it('should array', function () {
  32 |     el.setAttribute('class', 'foo bar')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.classes.test.js,Duplicate Assert,"{'line': 36, 'column': 4, 'index': 958}","  34 |   })
  35 |   it('should has', function () {
> 36 |     expect(classes(el).has('show')).toBe(false)
     |    ^ Duplicate Assert
  37 |     el.setAttribute('class', 'show')
  38 |     expect(classes(el).has('show')).toBe(true)
  39 |   })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.classes.test.js,Duplicate Assert,"{'line': 38, 'column': 4, 'index': 1043}","  36 |     expect(classes(el).has('show')).toBe(false)
  37 |     el.setAttribute('class', 'show')
> 38 |     expect(classes(el).has('show')).toBe(true)
     |    ^ Duplicate Assert
  39 |   })
  40 |   it('should contains', function () {
  41 |     expect(classes(el).contains('show')).toBe(false)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.classes.test.js,Duplicate Assert,"{'line': 41, 'column': 4, 'index': 1133}","  39 |   })
  40 |   it('should contains', function () {
> 41 |     expect(classes(el).contains('show')).toBe(false)
     |    ^ Duplicate Assert
  42 |     el.setAttribute('class', 'show')
  43 |     expect(classes(el).contains('show')).toBe(true)
  44 |   })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.classes.test.js,Duplicate Assert,"{'line': 43, 'column': 4, 'index': 1223}","  41 |     expect(classes(el).contains('show')).toBe(false)
  42 |     el.setAttribute('class', 'show')
> 43 |     expect(classes(el).contains('show')).toBe(true)
     |    ^ Duplicate Assert
  44 |   })
  45 | })
  46 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.classes.test.js,Global Variable,"{'line': 4, 'column': 2, 'index': 85}","  2 |
  3 | describe('Classes', function () {
> 4 |   var el
    |  ^ Global Variable
  5 |
  6 |   beforeEach(function () {
  7 |     el = document.createElement('div')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/trigger.test.js,Global Variable,"{'line': 4, 'column': 2, 'index': 75}","  2 |
  3 | describe('Trigger', function () {
> 4 |   var list
    |  ^ Global Variable
  5 |
  6 |   beforeAll(function () {
  7 |     list = fixture.list(['name', 'born'], fixture.all)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/trigger.test.js,Unknown Test,"{'column': 4, 'line': 15}","  13 |
  14 |   describe('General', function () {
> 15 |     it('should be triggered by searchComplete', function (done) {
     |    ^ Unknown Test
  16 |       list.on('searchComplete', function () {
  17 |         done()
  18 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 296, 'column': 6, 'index': 11350}","  294 |
  295 |       list.sort('val', { order: 'asc' })
> 296 |       expect(list.items[0].values().val).toBe('')
      |      ^ Duplicate Assert
  297 |       expect(list.items[1].values().val).toBe('0')
  298 |       expect(list.items[2].values().val).toBe(0)
  299 |       list.sort('val', { order: 'desc' })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,Duplicate Assert,"{'line': 296, 'column': 6, 'index': 11350}","  294 |
  295 |       list.sort('val', { order: 'asc' })
> 296 |       expect(list.items[0].values().val).toBe('')
      |      ^ Duplicate Assert
  297 |       expect(list.items[1].values().val).toBe('0')
  298 |       expect(list.items[2].values().val).toBe(0)
