FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.get-by-class.test.js,3,2,26,35,7,20,0.215,9.2,5938.555,123,329.92,38,645.495,121.865,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/utils.classes.test.js,6,2,46,72,10,13.889,0.441,12.9,17074.906,237,948.606,48,1323.636,113.566,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/trigger.test.js,1,2,23,20,7,35,0.09,6.105,1654.701,57,91.928,27,271.029,135.301,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/sort.test.js,18,3,377,780,30,3.846,8.684,60.364,1572543.926,3504,87363.551,173,26050.937,81.054,0,0,15,0,0,0,2,0,0,3,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/show.test.js,13,2,213,400,30,7.5,2.994,71.888,645803.496,1421,35877.972,80,8983.46,94.916,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/search.test.js,20,4,218,314,48,15.287,2.47,45.897,340043.075,1099,18891.282,107,7408.872,109.375,0,2,2,0,0,0,21,0,0,19,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/search-filter.test.js,3,2,68,117,12,10.256,0.788,20.9,49381.605,400,2743.423,60,2362.756,105.646,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/re-index.test.js,1,2,37,52,6,11.538,0.322,9.35,9038.74,163,502.152,61,966.71,110.99,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/parse.test.js,5,3,137,184,13,7.065,1.618,23.039,111826.992,729,6212.611,101,4853.836,97.086,0,0,4,0,0,0,6,0,0,12,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/pagination.test.js,20,3,374,943,34,3.606,7.914,115.06,2731596.033,3622,151755.335,94,23740.721,78.547,0,0,6,0,0,0,4,0,0,18,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/on.test.js,10,3,125,113,41,36.283,0.673,22.148,44739.43,333,2485.524,67,2020.008,127.971,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,10
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/off.test.js,2,3,41,44,12,27.273,0.298,10.909,9760.486,167,542.249,41,894.711,127.034,0,0,4,0,0,0,3,0,0,4,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/item.test.js,14,3,153,207,27,13.043,1.483,30.333,134954.605,696,7497.478,84,4449.053,108.875,0,0,8,0,0,0,2,0,0,4,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/fuzzysearch.test.js,6,4,79,76,17,22.368,0.546,14.477,23728.004,260,1318.222,79,1638.983,117.972,0,3,0,0,0,0,2,0,0,3,0,0,0,0,0,2
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/filter.test.js,10,3,103,156,25,16.026,1.156,28.913,100271.055,544,5570.614,83,3468.021,112.121,0,1,0,0,0,0,7,0,0,5,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/defaults.test.js,4,2,68,103,8,7.767,0.961,14.64,42206.171,451,2344.787,84,2882.935,100.292,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/create.test.js,14,2,304,204,27,13.235,1.618,38.418,186528.205,768,10362.678,80,4855.241,108.005,0,0,0,0,0,0,18,0,0,24,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/buttons.test.js,7,5,195,342,42,12.281,2.424,62.091,451554.22,1097,25086.346,99,7272.404,96.919,0,12,87,0,0,0,5,0,0,0,0,0,0,0,6,4
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/list.js/__test__/add-get-remove.test.js,11,3,194,234,21,8.974,2.012,40.614,245136.517,995,13618.695,67,6035.759,99.917,0,0,4,0,0,0,10,0,0,18,0,0,0,0,0,0
