"file","type","smells","itCount","describeCount"
"tests/test_fetch.js","AnonymousTest","[{""startLine"":66,""endLine"":73}]",37,6
"tests/test_fetch.js","IdenticalTestDescription","[{""startLine"":155,""endLine"":167}]",37,6
"tests/test_fetch.js","VerboseStatement","[{""startLine"":568,""endLine"":604}]",37,6
"tests/test_destroy.js","NonFunctionalStatement","[{""startLine"":45,""endLine"":45}]",3,1
"tests/test_common.js","AnonymousTest","[{""startLine"":150,""endLine"":160}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":423,""endLine"":462}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":541,""endLine"":546}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":548,""endLine"":550}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":552,""endLine"":554}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":556,""endLine"":558}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":560,""endLine"":562}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":564,""endLine"":566}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":568,""endLine"":570}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":572,""endLine"":574}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":580,""endLine"":582}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":584,""endLine"":586}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":596,""endLine"":598}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":600,""endLine"":602}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":604,""endLine"":609}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":611,""endLine"":613}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":615,""endLine"":617}]",63,13
"tests/test_common.js","AnonymousTest","[{""startLine"":619,""endLine"":623}]",63,13
"tests/test_common.js","IdenticalTestDescription","[{""startLine"":584,""endLine"":586}]",63,13
"tests/test_common.js","IdenticalTestDescription","[{""startLine"":600,""endLine"":602}]",63,13
"tests/test_common.js","IdenticalTestDescription","[{""startLine"":604,""endLine"":609}]",63,13
"tests/test_common.js","NonFunctionalStatement","[{""startLine"":492,""endLine"":492}]",63,13
"tests/test_back.js","IdenticalTestDescription","[{""startLine"":494,""endLine"":500}]",33,6
"tests/test_back.js","IdenticalTestDescription","[{""startLine"":525,""endLine"":549}]",33,6
"tests/test_back.js","IdenticalTestDescription","[{""startLine"":551,""endLine"":588}]",33,6
"tests/test_back.js","IdenticalTestDescription","[{""startLine"":592,""endLine"":616}]",33,6
"tests/test_back.js","IdenticalTestDescription","[{""startLine"":661,""endLine"":689}]",33,6
"tests/test_back.js","IdenticalTestDescription","[{""startLine"":691,""endLine"":719}]",33,6
"tests/test_back.js","IdenticalTestDescription","[{""startLine"":721,""endLine"":756}]",33,6
"tests/test_back.js","IdenticalTestDescription","[{""startLine"":758,""endLine"":764}]",33,6
"tests/test_abort_signal.js","NonFunctionalStatement","[{""startLine"":15,""endLine"":15}]",7,1
"tests/test_abort_signal.js","NonFunctionalStatement","[{""startLine"":95,""endLine"":95}]",7,1
"tests/test_abort.js","NonFunctionalStatement","[{""startLine"":114,""endLine"":114}]",8,1
"tests/got/test_url_encoding.js","AnonymousTest","[{""startLine"":7,""endLine"":14}]",1,0
"tests/got/test_stream.js","AnonymousTest","[{""startLine"":101,""endLine"":152}]",7,0
