file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_unix_socket.js,Conditional Test Logic,"{'line': 14, 'column': 0, 'index': 309}","  12 | let server
  13 |
> 14 | if (os.platform() === 'win32') {
  15 |   // Skipping Unix socket tests on Windows
  16 |   return
  17 | }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_unix_socket.js,Conditional Test Logic,"{'line': 27, 'column': 8, 'index': 630}","  25 |     await new Promise((resolve, reject) => {
  26 |       server.listen(socketPath, err => {
> 27 |         if (err) reject(err)
     |        ^ Conditional Test Logic
  28 |         else resolve()
  29 |       })
  30 |     })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_unix_socket.js,Conditional Test Logic,"{'line': 36, 'column': 8, 'index': 799}","  34 |     await new Promise((resolve, reject) => {
  35 |       server.close(err => {
> 36 |         if (err) reject(err)
     |        ^ Conditional Test Logic
  37 |         else resolve()
  38 |       })
  39 |     })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_unix_socket.js,Conditional Test Logic,"{'line': 44, 'column': 6, 'index': 928}","  42 |       fs.unlinkSync(socketPath)
  43 |     } catch (err) {
> 44 |       if (err.code !== 'ENOENT') throw err
     |      ^ Conditional Test Logic
  45 |     }
  46 |   })
  47 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_socket.js,Conditional Test Logic,"{'line': 87, 'column': 4, 'index': 2326}","  85 |
  86 |   _read(size) {
> 87 |     if (this._currentOffset >= this._content.length) {
     |    ^ Conditional Test Logic
  88 |       this.push(null)
  89 |       return
  90 |     }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_socket.js,Unknown Test,"{'column': 2, 'line': 30}","  28 |
  29 | describe('`Socket#setTimeout()`', () => {
> 30 |   it('adds callback as a one-time listener for parity with a real socket', done => {
     |  ^ Unknown Test
  31 |     nock('http://example.test').get('/').delayConnection(100).reply()
  32 |
  33 |     const onTimeout = () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_socket.js,Unknown Test,"{'column': 2, 'line': 42}","  40 |   })
  41 |
