FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_unix_socket.js,2,1,90,100,23,23,0.6,23.741,42720.312,288,2373.351,76,1799.403,117.51,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_socket.js,5,2,99,110,21,19.091,0.864,22.5,58341.741,392,3241.208,98,2592.966,116.048,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_reply_with_error.js,2,1,60,56,6,10.714,0.402,8.8,10619.348,206,589.964,58,1206.744,109.239,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_gzip_request.js,3,1,90,84,7,8.333,0.567,14.608,24864.326,287,1381.351,61,1702.122,102.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_fetch.js,37,5,660,786,65,8.27,7.519,51.794,1168342.176,2791,64907.899,271,22557.278,96.796,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,9
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_destroy.js,3,2,54,61,14,22.951,0.354,8.25,8754.736,189,486.374,49,1061.18,125.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_common.js,63,3,633,625,88,14.08,5.997,35.777,643651.581,2185,35758.421,301,17990.459,108.096,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,1
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_back.js,33,2,796,844,150,17.773,7.656,48.904,1123262.446,2923,62403.469,232,22968.878,112.366,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_abort_signal.js,7,1,178,217,29,13.364,1.746,24.981,130852.094,813,7269.561,87,5238.113,109.618,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/test_abort.js,8,2,224,257,35,13.619,2.219,28.427,189194.85,1044,10510.825,83,6655.541,109.306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/got/test_stream.js,7,4,296,256,43,16.797,2.309,38.359,265764.67,961,14764.704,148,6928.285,110.233,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,1
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/got/test_scope.js,18,1,244,301,37,12.292,2.472,18.454,136833.56,1009,7601.864,163,7414.867,108.944,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/got/test_request_overrider.js,37,4,878,834,109,13.07,8.411,53.441,1348546.561,3139,74919.253,263,25234.167,105.037,0,0,12,0,0,0,0,2,0,0,0,0,0,0,2,6
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/got/test_reply_headers.js,20,2,439,411,44,10.706,3.96,39.851,473467.342,1591,26303.741,177,11880.96,102.579,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/got/test_reply_function_sync.js,23,1,411,498,61,12.249,4.193,31.007,390030.385,1731,21668.355,154,12578.808,107.015,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/nock/tests/got/test_reply_function_async.js,10,3,181,202,26,12.871,1.496,23.6,105929.222,651,5884.957,119,4488.526,109.359,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4
