file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/react-grid-layout/test/spec/utils-test.js,Conditional Test Logic,"{'line': 39, 'column': 2, 'index': 1239}","  37 | // fastRGLPropsEqual - simplified version for testing
  38 | function fastRGLPropsEqual(a, b, isEqualImpl = deepEqual) {
> 39 |   if (a === b) return true;
     |  ^ Conditional Test Logic
  40 |
  41 |   // Props that use strict equality (primitives)
  42 |   const primitiveProps = ["
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/react-grid-layout/test/spec/utils-test.js,Conditional Test Logic,"{'line': 85, 'column': 2, 'index': 2115}","  83 |
  84 |   // Compare primitives with ===
> 85 |   for (const key of primitiveProps) {
     |  ^ Conditional Test Logic
  86 |     if (a[key] !== b[key]) return false;
  87 |   }
  88 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/react-grid-layout/test/spec/utils-test.js,Conditional Test Logic,"{'line': 86, 'column': 4, 'index': 2155}","  84 |   // Compare primitives with ===
  85 |   for (const key of primitiveProps) {
> 86 |     if (a[key] !== b[key]) return false;
     |    ^ Conditional Test Logic
  87 |   }
  88 |
  89 |   // Compare complex types with deep equality"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/react-grid-layout/test/spec/utils-test.js,Conditional Test Logic,"{'line': 90, 'column': 2, 'index': 2245}","  88 |
  89 |   // Compare complex types with deep equality
> 90 |   for (const key of deepEqualProps) {
     |  ^ Conditional Test Logic
  91 |     if (!isEqualImpl(a[key], b[key])) return false;
  92 |   }
  93 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/react-grid-layout/test/spec/utils-test.js,Conditional Test Logic,"{'line': 91, 'column': 4, 'index': 2285}","  89 |   // Compare complex types with deep equality
  90 |   for (const key of deepEqualProps) {
> 91 |     if (!isEqualImpl(a[key], b[key])) return false;
     |    ^ Conditional Test Logic
  92 |   }
  93 |
  94 |   return true;"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/react-grid-layout/test/spec/utils-test.js,Exception Handling,"{'line': 867, 'column': 6, 'index': 25278}","  865 |   describe('throws ""unknown prop"" error', () => {
  866 |     it(""when setting bad key"", () => {
> 867 |       try {
      |      ^ Exception Handling
  868 |         const res = deepFreeze(
  869 |           { one: ""a"", two: { b: ""c"" } },
  870 |           { set: true, get: false }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/react-grid-layout/test/spec/utils-test.js,Exception Handling,"{'line': 881, 'column': 6, 'index': 25669}","  879 |     });
  880 |     it(""when getting bad key"", () => {
> 881 |       try {
      |      ^ Exception Handling
  882 |         const res = deepFreeze(
  883 |           { one: ""a"", two: { b: ""c"" } },
  884 |           { set: true, get: true }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/react-grid-layout/test/spec/utils-test.js,Magic Number,"{'line': 99, 'column': 31, 'index': 2463}","   97 | describe(""bottom"", () => {
   98 |   it(""Handles an empty layout as input"", () => {
>  99 |     expect(bottom([])).toEqual(0);
      |                               ^ Magic Number
  100 |   });
  101 |
  102 |   it(""Returns the bottom coordinate of the layout"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/react-grid-layout/test/spec/utils-test.js,Magic Number,"{'line': 108, 'column': 14, 'index': 2671}","  106 |         { i: ""2"", x: 1, y: 2, w: 1, h: 1 }
  107 |       ])
> 108 |     ).toEqual(3);
      |              ^ Magic Number
  109 |   });
  110 | });
  111 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/react-grid-layout/test/spec/utils-test.js,Magic Number,"{'line': 524, 'column': 29, 'index': 14941}","  522 |     // C should move down from its own position, not jump to collidesWith.y + 1
  523 |     // $FlowFixMe: movedItem is checked above
> 524 |     expect(movedItem.y).toBe(8);
      |                             ^ Magic Number
  525 |   });
  526 | });
  527 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/react-grid-layout/test/spec/utils-test.js,Magic Number,"{'line': 641, 'column': 57, 'index': 19237}","  639 | describe(""calcGridColWidth"", () => {
  640 |   it(""should complete basic calculation"", () => {
> 641 |     expect(calcGridColWidth(basePositionParams)).toEqual(100);
      |                                                         ^ Magic Number
  642 |   });
  643 |
  644 |   it(""should consider margin"", () => {"
