file,type,line,method,methodStart,methodEnd,source
/tests/Rickshaw.Series.test.js,SubOptimalAssert,"{'startLine':51,'endLine':51}","test('should add a new series item', () => {
      const series = createSeries();

      series.addItem({
        name: 'series2',
        data: [
          { x: 0, y: 10 },
          { x: 1, y: 13 },
          { x: 2, y: 12 }
        ]
      });

      expect(series.length).toBe(2);
      expect(series[1].name).toBe('series2');
      expect(series[1].data).toHaveLength(3);
    })",39,54,snuts
/tests/Rickshaw.Series.FixedDuration.test.js,SubOptimalAssert,"{'startLine':79,'endLine':79}","test('maintains maxDataPoints limit', () => {
      const maxPoints = 20;
      const series = new Rickshaw.Series.FixedDuration(
        [createSeriesData()],
        'spectrum2001',
        {
          timeBase: 0,
          timeInterval: 1,
          maxDataPoints: maxPoints
        }
      );

      // Add data points beyond maxDataPoints limit
      for (let i = 0; i < 300; i++) {
        series.addData({ series1: 42 });
      }

      // series[0].data.length is maxPoints + 2 because of how Rickshaw handles
      // data point interpolation at the edges of the time window
      expect(series[0].data.length).toBe(maxPoints + 2);
      expect(series.currentSize).toBe(maxPoints);
    })",60,81,snuts
/tests/Rickshaw.Graph.test.js,VerboseStatement,"{'startLine':97,'endLine':151}","test('handles custom d3 scales', () => {
      const element = document.createElement('div');
      document.body.appendChild(element);

      const times = [1380000000000, 1390000000000];
      const series = [{
        color: 'steelblue',
        data: [
          { x: times[0], y: 40 },
          { x: times[1], y: 49 }
        ]
      }];

      const scale = d3.time.scale();
      const graph = new Rickshaw.Graph({
        element: element,
        width: 960,
        height: 500,
        xScale: scale,
        yScale: d3.scale.sqrt(),
        series: series
      });

      graph.render();

      const xAxis = new Rickshaw.Graph.Axis.X({
        graph: graph,
        tickFormat: graph.x.tickFormat()
      });
      xAxis.render();

      const yAxis = new Rickshaw.Graph.Axis.Y({
        graph: graph
      });
      yAxis.render();

      // Check x-axis ticks
      expect(graph.x.ticks()[0]).toBeInstanceOf(Date);
      const xTicks = element.getElementsByClassName('x_ticks_d3')[0].getElementsByTagName('text');
      expect(xTicks[0].innerHTML).toBe('Sep 29');
      expect(xTicks[1].innerHTML).toBe('Oct 06');
      expect(xTicks[8].innerHTML).toBe('Nov 24');

      // Check y-axis ticks
      const yTicks = element.getElementsByClassName('y_ticks')[0].getElementsByTagName('g');
      expect(yTicks[0].getAttribute('transform')).toBe('translate(0,500)');
      expect(yTicks[1].getAttribute('transform')).toBe('translate(0,275.24400874015976)');
      expect(yTicks[2].getAttribute('transform')).toBe('translate(0,182.14702893572516)');

      // Check scale independence
      scale.range([0, 960]);
      expect(scale.range()).toEqual(graph.x.range());
      scale.range([0, 1]);
      expect(scale.range()).not.toEqual(graph.x.range());
    })",97,151,snuts
/tests/Rickshaw.Graph.Renderer.Scatterplot.test.js,OvercommentedTest,"{'startLine':41,'endLine':85}","test('should set series opacity correctly', () => {
    const element = document.createElement('div');
    
    // Create a graph with varying opacity values
    const graph = new Rickshaw.Graph({
      element,
      stroke: true,
      width: 10,
      height: 10,
      renderer: 'scatterplot',
      series: [
        {
          className: 'fnord',
          data: [
            { x: 0, y: 40 },
            { x: 1, y: 49 },
            { x: 2, y: 38 },
            { x: 3, y: 30 }
          ],
          opacity: 0.8
        },
        {
          className: 'fnord',
          data: [{ x: 4, y: 32 }]
        },
        {
          className: 'fnord',
          opacity: 0,
          data: [{ x: 5, y: 32 }]
        }
      ]
    });

    // Render the graph
    graph.render();

    // Query all circles - in D3 v3, the selection itself is an array-like object
    const circles = graph.vis.selectAll('circle.fnord');

    // Test different opacity values using D3 v3's array-like selection format
    expect(circles[0][1].getAttribute('opacity')).toBe('0.8'); // Custom opacity
    expect(circles[0][4].getAttribute('opacity')).toBe('1');   // Default opacity
    expect(circles[0][5].getAttribute('opacity')).toBe('0');   // Zero opacity
    element.remove();
  })",41,85,snuts
/tests/Rickshaw.Graph.Renderer.LinePlot.test.js,OvercommentedTest,"{'startLine':76,'endLine':106}","test('renders circles for data points', () => {
    const { graph, element } = createGraph();
    graph.render();

    // Should have 6 circles (3 points × 2 series)
    const circles = element.querySelectorAll('circle');
    expect(circles.length).toBe(6);

    // Check circle attributes
    circles.forEach(circle => {
      expect(circle.hasAttribute('cx')).toBe(true);
      expect(circle.hasAttribute('cy')).toBe(true);
      expect(circle.getAttribute('r')).toBe('3'); // default dotSize
      expect(circle.getAttribute('fill')).toBe('white');
      expect(circle.getAttribute('stroke-width')).toBe('2'); // default strokeWidth
    });

    // First series circles
    const firstSeriesCircles = Array.from(circles).slice(0, 3);
    firstSeriesCircles.forEach(circle => {
      expect(circle.getAttribute('stroke')).toBe('#ff0000');
      expect(circle.getAttribute('data-color')).toBe('#ff0000');
    });

    // Second series circles
    const secondSeriesCircles = Array.from(circles).slice(3);
    secondSeriesCircles.forEach(circle => {
      expect(circle.getAttribute('stroke')).toBe('#00ff00');
      expect(circle.getAttribute('data-color')).toBe('#00ff00');
    });
  })",76,106,snuts
/tests/Rickshaw.Graph.Renderer.LinePlot.test.js,SubOptimalAssert,"{'startLine':68,'endLine':68}","test('renders paths for each series', () => {
    const { graph, element } = createGraph();
    graph.render();

    // Should have two paths (one for each series)
    const paths = element.querySelectorAll('path');
    expect(paths.length).toBe(2);

    // Each path should have a d attribute
    paths.forEach(path => {
      expect(path.hasAttribute('d')).toBe(true);
    });
  })",62,74,snuts
/tests/Rickshaw.Graph.Renderer.LinePlot.test.js,SubOptimalAssert,"{'startLine':82,'endLine':82}","test('renders circles for data points', () => {
    const { graph, element } = createGraph();
    graph.render();

    // Should have 6 circles (3 points × 2 series)
    const circles = element.querySelectorAll('circle');
    expect(circles.length).toBe(6);

    // Check circle attributes
    circles.forEach(circle => {
      expect(circle.hasAttribute('cx')).toBe(true);
      expect(circle.hasAttribute('cy')).toBe(true);
      expect(circle.getAttribute('r')).toBe('3'); // default dotSize
      expect(circle.getAttribute('fill')).toBe('white');
      expect(circle.getAttribute('stroke-width')).toBe('2'); // default strokeWidth
    });

    // First series circles
    const firstSeriesCircles = Array.from(circles).slice(0, 3);
    firstSeriesCircles.forEach(circle => {
      expect(circle.getAttribute('stroke')).toBe('#ff0000');
      expect(circle.getAttribute('data-color')).toBe('#ff0000');
    });

    // Second series circles
    const secondSeriesCircles = Array.from(circles).slice(3);
    secondSeriesCircles.forEach(circle => {
      expect(circle.getAttribute('stroke')).toBe('#00ff00');
      expect(circle.getAttribute('data-color')).toBe('#00ff00');
    });
  })",76,106,snuts
/tests/Rickshaw.Graph.Renderer.LinePlot.test.js,SubOptimalAssert,"{'startLine':168,'endLine':168}","test('skips disabled series', () => {
    const { graph, element } = createGraph({
      series: [{
        color: '#ff0000',
        data: [
          { x: 0, y: 20 },
          { x: 1, y: 25 },
          { x: 2, y: 15 }
        ]
      }, {
        color: '#00ff00',
        disabled: true,
        data: [
          { x: 0, y: 10 },
          { x: 1, y: 15 },
          { x: 2, y: 30 }
        ]
      }]
    });
    graph.render();

    // Should only have one path and three circles
    const paths = element.querySelectorAll('path');
    const circles = element.querySelectorAll('circle');
    expect(paths.length).toBe(1);
    expect(circles.length).toBe(3);
  })",144,170,snuts
/tests/Rickshaw.Graph.Renderer.LinePlot.test.js,SubOptimalAssert,"{'startLine':169,'endLine':169}","test('skips disabled series', () => {
    const { graph, element } = createGraph({
      series: [{
        color: '#ff0000',
        data: [
          { x: 0, y: 20 },
          { x: 1, y: 25 },
          { x: 2, y: 15 }
        ]
      }, {
        color: '#00ff00',
        disabled: true,
        data: [
          { x: 0, y: 10 },
          { x: 1, y: 15 },
          { x: 2, y: 30 }
        ]
      }]
    });
    graph.render();

    // Should only have one path and three circles
    const paths = element.querySelectorAll('path');
    const circles = element.querySelectorAll('circle');
    expect(paths.length).toBe(1);
    expect(circles.length).toBe(3);
  })",144,170,snuts
/tests/Rickshaw.Graph.Renderer.LinePlot.test.js,SubOptimalAssert,"{'startLine':194,'endLine':194}","test('handles null values', () => {
    const { graph, element } = createGraph({
      series: [{
        color: '#ff0000',
        data: [
          { x: 0, y: 20 },
          { x: 1, y: null },
          { x: 2, y: 15 }
        ]
      }, {
        color: '#00ff00',
        data: [
          { x: 0, y: 10 },
          { x: 1, y: 15 },
          { x: 2, y: 30 }
        ]
      }]
    });
    graph.render();

    // Should have 5 circles (2 points in first series + 3 points in second series)
    const circles = element.querySelectorAll('circle');
    expect(circles.length).toBe(5);

    // Path should still be rendered
    const paths = element.querySelectorAll('path');
    expect(paths.length).toBe(2);
  })",172,199,snuts
