"file","type","smells","itCount","describeCount"
"tests/Rickshaw.Series.test.js","SubOptimalAssert","[{""startLine"":51,""endLine"":51}]",12,8
"tests/Rickshaw.Series.FixedDuration.test.js","SubOptimalAssert","[{""startLine"":79,""endLine"":79}]",5,3
"tests/Rickshaw.Graph.test.js","VerboseStatement","[{""startLine"":97,""endLine"":151}]",13,6
"tests/Rickshaw.Graph.Renderer.Scatterplot.test.js","OvercommentedTest","[{""startLine"":41,""endLine"":85}]",2,1
"tests/Rickshaw.Graph.Renderer.LinePlot.test.js","OvercommentedTest","[{""startLine"":76,""endLine"":106}]",9,1
"tests/Rickshaw.Graph.Renderer.LinePlot.test.js","SubOptimalAssert","[{""startLine"":68,""endLine"":68}]",9,1
"tests/Rickshaw.Graph.Renderer.LinePlot.test.js","SubOptimalAssert","[{""startLine"":82,""endLine"":82}]",9,1
"tests/Rickshaw.Graph.Renderer.LinePlot.test.js","SubOptimalAssert","[{""startLine"":168,""endLine"":168}]",9,1
"tests/Rickshaw.Graph.Renderer.LinePlot.test.js","SubOptimalAssert","[{""startLine"":169,""endLine"":169}]",9,1
"tests/Rickshaw.Graph.Renderer.LinePlot.test.js","SubOptimalAssert","[{""startLine"":194,""endLine"":194}]",9,1
"tests/Rickshaw.Graph.Renderer.LinePlot.test.js","SubOptimalAssert","[{""startLine"":198,""endLine"":198}]",9,1
"tests/Rickshaw.Graph.RangeSlider.Preview.test.js","SubOptimalAssert","[{""startLine"":55,""endLine"":55}]",7,1
"tests/Rickshaw.Graph.RangeSlider.Preview.test.js","SubOptimalAssert","[{""startLine"":91,""endLine"":91}]",7,1
"tests/Rickshaw.Graph.RangeSlider.Preview.test.js","SubOptimalAssert","[{""startLine"":92,""endLine"":92}]",7,1
"tests/Rickshaw.Graph.Legend.test.js","SubOptimalAssert","[{""startLine"":37,""endLine"":37}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","SubOptimalAssert","[{""startLine"":58,""endLine"":58}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","SubOptimalAssert","[{""startLine"":137,""endLine"":137}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","SubOptimalAssert","[{""startLine"":164,""endLine"":164}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","SubOptimalAssert","[{""startLine"":168,""endLine"":168}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","SubOptimalAssert","[{""startLine"":212,""endLine"":212}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","SubOptimalAssert","[{""startLine"":238,""endLine"":238}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","SubOptimalAssert","[{""startLine"":242,""endLine"":242}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","SubOptimalAssert","[{""startLine"":246,""endLine"":246}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","SubOptimalAssert","[{""startLine"":266,""endLine"":266}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","SubOptimalAssert","[{""startLine"":272,""endLine"":272}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","VerboseStatement","[{""startLine"":64,""endLine"":94}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","VerboseStatement","[{""startLine"":143,""endLine"":185}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","VerboseStatement","[{""startLine"":187,""endLine"":254}]",6,1
"tests/Rickshaw.Graph.HoverDetail.test.js","VerboseStatement","[{""startLine"":256,""endLine"":289}]",6,1
"tests/Rickshaw.Graph.DragZoom.test.js","VerboseStatement","[{""startLine"":57,""endLine"":88}]",4,1
"tests/Rickshaw.Graph.DragZoom.test.js","VerboseStatement","[{""startLine"":90,""endLine"":117}]",4,1
"tests/Rickshaw.Graph.Behavior.Series.Order.test.js","GeneralFixture","[{""startLine"":50,""endLine"":50}]",5,1
"tests/Rickshaw.Graph.Behavior.Series.Order.test.js","GeneralFixture","[{""startLine"":51,""endLine"":51}]",5,1
"tests/Rickshaw.Graph.Behavior.Series.Order.test.js","GeneralFixture","[{""startLine"":52,""endLine"":52}]",5,1
"tests/Rickshaw.Graph.Behavior.Series.Highlight.test.js","OvercommentedTest","[{""startLine"":102,""endLine"":128}]",5,1
"tests/Rickshaw.Graph.Behavior.Series.Highlight.test.js","OvercommentedTest","[{""startLine"":130,""endLine"":161}]",5,1
"tests/Rickshaw.Graph.Behavior.Series.Highlight.test.js","OvercommentedTest","[{""startLine"":163,""endLine"":199}]",5,1
"tests/Rickshaw.Graph.Behavior.Series.Highlight.test.js","VerboseStatement","[{""startLine"":130,""endLine"":161}]",5,1
"tests/Rickshaw.Graph.Axis.Y.test.js","SubOptimalAssert","[{""startLine"":33,""endLine"":33}]",1,1
"tests/Rickshaw.Graph.Axis.Y.test.js","VerboseStatement","[{""startLine"":5,""endLine"":44}]",1,1
"tests/Rickshaw.Graph.Axis.X.test.js","SubOptimalAssert","[{""startLine"":24,""endLine"":24}]",1,1
"tests/Rickshaw.Graph.Annotate.test.js","OvercommentedTest","[{""startLine"":67,""endLine"":116}]",3,1
"tests/Rickshaw.Graph.Annotate.test.js","SubOptimalAssert","[{""startLine"":60,""endLine"":60}]",3,1
"tests/Rickshaw.Graph.Annotate.test.js","VerboseStatement","[{""startLine"":67,""endLine"":116}]",3,1
