file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/rickshaw/tests/Rickshaw.test.js,Magic Number,"{'line': 63, 'column': 37, 'index': 1963}","  61 |       const instance = new ChildClass('test', 25);
  62 |       expect(instance.getName()).toBe('test');
> 63 |       expect(instance.getAge()).toBe(25);
     |                                     ^ Magic Number
  64 |     });
  65 |
  66 |     test('should handle class extension', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/rickshaw/tests/Rickshaw.test.js,Magic Number,"{'line': 76, 'column': 38, 'index': 2324}","  74 |
  75 |       const instance = new ChildClass();
> 76 |       expect(instance.method1()).toBe(1);
     |                                      ^ Magic Number
  77 |       expect(instance.method2()).toBe(2);
  78 |     });
  79 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/rickshaw/tests/Rickshaw.test.js,Magic Number,"{'line': 77, 'column': 38, 'index': 2366}","  75 |       const instance = new ChildClass();
  76 |       expect(instance.method1()).toBe(1);
> 77 |       expect(instance.method2()).toBe(2);
     |                                      ^ Magic Number
  78 |     });
  79 |   });
  80 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/rickshaw/tests/Rickshaw.Series.test.js,Duplicate Assert,"{'line': 28, 'column': 6, 'index': 736}","  26 |       const series = createSeries();
  27 |
> 28 |       expect(series).toBeInstanceOf(Rickshaw.Series);
     |      ^ Duplicate Assert
  29 |       expect(series).toBeInstanceOf(Array);
  30 |       expect(series[0].data).toEqual([
  31 |         { x: 0, y: 20 },"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/rickshaw/tests/Rickshaw.Series.test.js,Duplicate Assert,"{'line': 29, 'column': 6, 'index': 790}","  27 |
  28 |       expect(series).toBeInstanceOf(Rickshaw.Series);
> 29 |       expect(series).toBeInstanceOf(Array);
     |      ^ Duplicate Assert
  30 |       expect(series[0].data).toEqual([
  31 |         { x: 0, y: 20 },
  32 |         { x: 1, y: 21 },"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/rickshaw/tests/Rickshaw.Series.test.js,Magic Number,"{'line': 51, 'column': 33, 'index': 1281}","  49 |       });
  50 |
> 51 |       expect(series.length).toBe(2);
     |                                 ^ Magic Number
  52 |       expect(series[1].name).toBe('series2');
  53 |       expect(series[1].data).toHaveLength(3);
  54 |     });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/rickshaw/tests/Rickshaw.Series.test.js,Magic Number,"{'line': 53, 'column': 42, 'index': 1373}","  51 |       expect(series.length).toBe(2);
  52 |       expect(series[1].name).toBe('series2');
> 53 |       expect(series[1].data).toHaveLength(3);
     |                                          ^ Magic Number
  54 |     });
  55 |   });
  56 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/rickshaw/tests/Rickshaw.Series.test.js,Magic Number,"{'line': 63, 'column': 42, 'index': 1603}","  61 |       series.addData({ series1: 22 });
  62 |
> 63 |       expect(series[0].data).toHaveLength(4);
