file,type,line,method,methodStart,methodEnd,source
/lib/xast.test.js,ConditionalTestLogic,"{'startLine':80,'endLine':82}","test('visit skips entering children if node is detached', () => {
  const ast = root([x('g', null, [x('rect'), x('circle')]), x('ellipse')]);
  /** @type {string[]} */
  const entered = [];
  visit(ast, {
    element: {
      enter: (node, parentNode) => {
        entered.push(node.name);
        if (node.name === 'g') {
          detachNodeFromParent(node, parentNode);
        }
      },
    },
  });
  expect(entered).toStrictEqual(['g', 'ellipse']);
  expect(ast).toStrictEqual(root([x('ellipse')]));
})",72,88,snuts
/lib/xast.test.js,ConditionalTestLogic,"{'startLine':98,'endLine':100}","test('visit skips entering children when symbol is passed', () => {
  const ast = root([x('g', null, [x('rect'), x('circle')]), x('ellipse')]);
  /** @type {string[]} */
  const entered = [];
  visit(ast, {
    element: {
      enter: (node) => {
        entered.push(node.name);
        if (node.name === 'g') {
          return visitSkip;
        }
      },
    },
  });
  expect(entered).toStrictEqual(['g', 'ellipse']);
  expect(ast).toStrictEqual(
    root([x('g', null, [x('rect'), x('circle')]), x('ellipse')]),
  );
})",90,108,snuts
/lib/svgo-node.test.js,AnonymousTest,"{'startLine':9,'endLine':23}","test('should work', () => {
    const svg = `
      <?xml version=""1.0"" encoding=""utf-8""?>
      <svg viewBox=""0 0 120 120"">
        <desc>
          Created with love
        </desc>
        <circle fill=""#ff0000"" cx=""60"" cy=""60"" r=""50""/>
      </svg>
    `;
    const { data } = optimize(svg);
    expect(data).toBe(
      '<svg viewBox=""0 0 120 120""><circle cx=""60"" cy=""60"" r=""50"" fill=""red""/></svg>',
    );
  })",9,23,snuts
/lib/svgo-node.test.js,AnonymousTest,"{'startLine':63,'endLine':77}","test('should work', () => {
    const svg = `
      <?xml version=""1.0"" encoding=""utf-8""?>
      <svg viewBox=""0 0 120 120"">
        <desc>
          Created with love
        </desc>
        <circle fill=""#ff0000"" cx=""60"" cy=""60"" r=""50""/>
      </svg>
    `;
    const { data } = optimize(svg);
    expect(data).toBe(
      '<svg viewBox=""0 0 120 120""><circle cx=""60"" cy=""60"" r=""50"" fill=""red""/></svg>',
    );
  })",63,77,snuts
/lib/svgo-node.test.js,IdenticalTestDescription,"{'startLine':63,'endLine':77}","test('should work', () => {
    const svg = `
      <?xml version=""1.0"" encoding=""utf-8""?>
      <svg viewBox=""0 0 120 120"">
        <desc>
          Created with love
        </desc>
        <circle fill=""#ff0000"" cx=""60"" cy=""60"" r=""50""/>
      </svg>
    `;
    const { data } = optimize(svg);
    expect(data).toBe(
      '<svg viewBox=""0 0 120 120""><circle cx=""60"" cy=""60"" r=""50"" fill=""red""/></svg>',
    );
  })",63,77,snuts
/lib/svgo-node.test.js,IdenticalTestDescription,"{'startLine':79,'endLine':95}","test('should respect config', () => {
    const svg = `
      <?xml version=""1.0"" encoding=""utf-8""?>
      <svg viewBox=""0 0 120 120"">
        <desc>
          Created with love
        </desc>
        <circle fill=""#ff0000"" cx=""60"" cy=""60"" r=""50""/>
      </svg>
    `;
    const { data } = optimize(svg, {
      js2svg: { pretty: true, indent: 2 },
    });
    expect(data).toBe(
      '<svg viewBox=""0 0 120 120"">\r\n  <circle cx=""60"" cy=""60"" r=""50"" fill=""red""/>\r\n</svg>\r\n',
    );
  })",79,95,snuts
/lib/svgo-node.test.js,IdenticalTestDescription,"{'startLine':97,'endLine':113}","test('should respect line-ending config', () => {
    const svg = `
      <?xml version=""1.0"" encoding=""utf-8""?>
      <svg viewBox=""0 0 120 120"">
        <desc>
          Created with love
        </desc>
        <circle fill=""#ff0000"" cx=""60"" cy=""60"" r=""50""/>
      </svg>
    `;
    const { data } = optimize(svg, {
      js2svg: { eol: 'lf', pretty: true, indent: 2 },
    });
    expect(data).toBe(
      '<svg viewBox=""0 0 120 120"">\n  <circle cx=""60"" cy=""60"" r=""50"" fill=""red""/>\n</svg>\n',
    );
  })",97,113,snuts
/lib/style.test.js,AnonymousTest,"{'startLine':28,'endLine':85}","it('collects styles', () => {
  const root = parseSvg(`
      <svg>
        <rect id=""class"" class=""a"" />
        <rect id=""two-classes"" class=""b a"" />
        <rect id=""attribute"" fill=""purple"" />
        <rect id=""inline-style"" style=""fill: grey;"" />
        <g fill=""yellow"">
          <rect id=""inheritance"" />
          <g style=""fill: blue;"">
            <g>
              <rect id=""nested-inheritance"" />
            </g>
          </g>
        </g>
        <style>
          .a { fill: red; }
        </style>
        <style>
          <![CDATA[
            .b { fill: green; stroke: black; }
          ]]>
        </style>
      </svg>
    `);
  const stylesheet = collectStylesheet(root);
  expect(computeStyle(stylesheet, getElementById(root, 'class'))).toStrictEqual(
    {
      fill: { type: 'static', inherited: false, value: 'red' },
    },
  );
  expect(
    computeStyle(stylesheet, getElementById(root, 'two-classes')),
  ).toStrictEqual({
    fill: { type: 'static', inherited: false, value: 'green' },
    stroke: { type: 'static', inherited: false, value: 'black' },
  });
  expect(
    computeStyle(stylesheet, getElementById(root, 'attribute')),
  ).toStrictEqual({
    fill: { type: 'static', inherited: false, value: 'purple' },
  });
  expect(
    computeStyle(stylesheet, getElementById(root, 'inline-style')),
  ).toStrictEqual({
    fill: { type: 'static', inherited: false, value: 'grey' },
  });
  expect(
    computeStyle(stylesheet, getElementById(root, 'inheritance')),
  ).toStrictEqual({
    fill: { type: 'static', inherited: true, value: 'yellow' },
  });
  expect(
    computeStyle(stylesheet, getElementById(root, 'nested-inheritance')),
  ).toStrictEqual({
    fill: { type: 'static', inherited: true, value: 'blue' },
  });
})",28,85,snuts
/test/svg2js/_index.test.js,AnonymousTest,"{'startLine':26,'endLine':28}","it('should exist', () => {
        expect(root).toStrictEqual(expect.anything());
      })",26,28,snuts
/test/svg2js/_index.test.js,AnonymousTest,"{'startLine':87,'endLine':89}","it('should exist', () => {
        expect(root.children[3].children).toStrictEqual(expect.anything());
      })",87,89,snuts
