"file","type","smells","itCount","describeCount"
"lib/xast.test.js","ConditionalTestLogic","[{""startLine"":80,""endLine"":82}]",4,0
"lib/xast.test.js","ConditionalTestLogic","[{""startLine"":98,""endLine"":100}]",4,0
"lib/svgo-node.test.js","AnonymousTest","[{""startLine"":9,""endLine"":23}]",13,1
"lib/svgo-node.test.js","AnonymousTest","[{""startLine"":63,""endLine"":77}]",13,1
"lib/svgo-node.test.js","IdenticalTestDescription","[{""startLine"":63,""endLine"":77}]",13,1
"lib/svgo-node.test.js","IdenticalTestDescription","[{""startLine"":79,""endLine"":95}]",13,1
"lib/svgo-node.test.js","IdenticalTestDescription","[{""startLine"":97,""endLine"":113}]",13,1
"lib/style.test.js","AnonymousTest","[{""startLine"":28,""endLine"":85}]",10,0
"test/svg2js/_index.test.js","AnonymousTest","[{""startLine"":26,""endLine"":28}]",13,7
"test/svg2js/_index.test.js","AnonymousTest","[{""startLine"":87,""endLine"":89}]",13,7
"test/svg2js/_index.test.js","IdenticalTestDescription","[{""startLine"":87,""endLine"":89}]",13,7
"test/svg2js/_index.test.js","IdenticalTestDescription","[{""startLine"":91,""endLine"":93}]",13,7
"test/coa/_index.test.js","ConditionalTestLogic","[{""startLine"":126,""endLine"":128}]",7,2
"test/coa/_index.test.js","NonFunctionalStatement","[{""startLine"":25,""endLine"":25}]",7,2
