file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/svg2js/_index.test.js,Conditional Test Logic,"{'line': 16, 'column': 8, 'index': 443}","  14 |     beforeAll((done) => {
  15 |       fs.readFile(filepath, 'utf8', (err, data) => {
> 16 |         if (err) {
     |        ^ Conditional Test Logic
  17 |           throw err;
  18 |         }
  19 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/svg2js/_index.test.js,Magic Number,"{'line': 45, 'column': 43, 'index': 1145}","  43 |
  44 |       it('should have length 4', () => {
> 45 |         expect(root.children).toHaveLength(4);
     |                                           ^ Magic Number
  46 |       });
  47 |     });
  48 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/svg2js/_index.test.js,Magic Number,"{'line': 96, 'column': 55, 'index': 2585}","  94 |
  95 |       it('should eventually have length 3', () => {
> 96 |         expect(root.children[3].children).toHaveLength(3);
     |                                                       ^ Magic Number
  97 |       });
  98 |     });
  99 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/plugins/_index.test.js,Conditional Test Logic,"{'line': 12, 'column': 2, 'index': 362}","  10 |
  11 | describe('plugins tests', function () {
> 12 |   for (let file of files) {
     |  ^ Conditional Test Logic
  13 |     const match = file.match(regFilename);
  14 |     let index;
  15 |     /** @type {any} */"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/plugins/_index.test.js,Conditional Test Logic,"{'line': 18, 'column': 4, 'index': 488}","  16 |     let name;
  17 |
> 18 |     if (match) {
     |    ^ Conditional Test Logic
  19 |       name = match[1];
  20 |       index = match[2];
  21 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/plugins/_index.test.js,Conditional Test Logic,"{'line': 40, 'column': 10, 'index': 1399}","  38 |           const exclude = ['addAttributesToSVGElement', 'convertTransform'];
  39 |           const multipass = exclude.includes(name) ? 1 : 2;
> 40 |           for (let i = 0; i < multipass; i += 1) {
     |          ^ Conditional Test Logic
  41 |             const result = optimize(lastResultData, {
  42 |               path: file,
  43 |               plugins: [plugin],"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/plugins/_collections.test.js,Conditional Test Logic,"{'line': 6, 'column': 4, 'index': 204}","  4 |   Object.entries(elems).forEach(([tagName, elemConfig]) => {
  5 |     const deprecated = elemConfig.deprecated;
> 6 |     if (!deprecated) {
    |    ^ Conditional Test Logic
  7 |       return;
  8 |     }
  9 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/plugins/_collections.test.js,Conditional Test Logic,"{'line': 11, 'column': 6, 'index': 328}","   9 |
  10 |     test(`${tagName} deprecated attributes are all known attributes`, () => {
> 11 |       if (deprecated.safe) {
     |      ^ Conditional Test Logic
  12 |         deprecated.safe.forEach((attr) => {
  13 |           expect(elemConfig.attrs).toContain(attr);
  14 |         });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/plugins/_collections.test.js,Conditional Test Logic,"{'line': 17, 'column': 6, 'index': 474}","  15 |       }
  16 |
> 17 |       if (deprecated.unsafe) {
     |      ^ Conditional Test Logic
  18 |         deprecated.unsafe.forEach((attr) => {
  19 |           expect(elemConfig.attrs).toContain(attr);
  20 |         });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/coa/_index.test.js,Conditional Test Logic,"{'line': 126, 'column': 6, 'index': 3753}","  124 |     it('should show message when the folder is empty', async () => {
  125 |       const emptyFolderPath = path.resolve(__dirname, 'testSvgEmpty');
> 126 |       if (!fs.existsSync(emptyFolderPath)) {
      |      ^ Conditional Test Logic
  127 |         await fs.promises.mkdir(emptyFolderPath);
  128 |       }
  129 |       await expect("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/coa/_index.test.js,Duplicate Assert,"{'line': 99, 'column': 4, 'index': 2788}","   97 |     ]);
   98 |     const optimizedWeight = calcFolderSvgWeight(tempFolder);
>  99 |     expect(optimizedWeight).toBeGreaterThan(0);
      |    ^ Duplicate Assert
  100 |     expect(optimizedWeight).toBeLessThanOrEqual(initWeight);
  101 |     await fs.promises.rm('temp.svg', { force: true });
  102 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/coa/_index.test.js,Duplicate Assert,"{'line': 100, 'column': 4, 'index': 2836}","   98 |     const optimizedWeight = calcFolderSvgWeight(tempFolder);
   99 |     expect(optimizedWeight).toBeGreaterThan(0);
> 100 |     expect(optimizedWeight).toBeLessThanOrEqual(initWeight);
      |    ^ Duplicate Assert
  101 |     await fs.promises.rm('temp.svg', { force: true });
  102 |   });
  103 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/coa/_index.test.js,Magic Number,"{'line': 70, 'column': 44, 'index': 1947}","  68 |     ]);
  69 |     const optimizedWeight = calcFolderSvgWeight(svgFolderPath);
> 70 |     expect(optimizedWeight).toBeGreaterThan(0);
     |                                            ^ Magic Number
  71 |     expect(initWeight).toBeLessThanOrEqual(optimizedWeight);
  72 |   });
  73 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/coa/_index.test.js,Magic Number,"{'line': 85, 'column': 44, 'index': 2420}","  83 |     ]);
  84 |     const optimizedWeight = calcFolderSvgWeight(svgFolderPathRecursively);
> 85 |     expect(optimizedWeight).toBeGreaterThan(0);
     |                                            ^ Magic Number
  86 |     expect(initWeight).toBeLessThanOrEqual(optimizedWeight);
  87 |   });
  88 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/coa/_index.test.js,Magic Number,"{'line': 99, 'column': 44, 'index': 2828}","   97 |     ]);
   98 |     const optimizedWeight = calcFolderSvgWeight(tempFolder);
>  99 |     expect(optimizedWeight).toBeGreaterThan(0);
      |                                            ^ Magic Number
  100 |     expect(optimizedWeight).toBeLessThanOrEqual(initWeight);
  101 |     await fs.promises.rm('temp.svg', { force: true });
  102 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/test/coa/_index.test.js,Mystery Guest,"{'column': 11, 'line': 126}","  124 |     it('should show message when the folder is empty', async () => {
  125 |       const emptyFolderPath = path.resolve(__dirname, 'testSvgEmpty');
> 126 |       if (!fs.existsSync(emptyFolderPath)) {
      |           ^ Mystery Guest
  127 |         await fs.promises.mkdir(emptyFolderPath);
  128 |       }
  129 |       await expect("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/lib/style.test.js,Conditional Test Logic,"{'line': 16, 'column': 8, 'index': 446}","  14 |     element: {
  15 |       enter: (node) => {
> 16 |         if (node.attributes.id === id) {
     |        ^ Conditional Test Logic
  17 |           matched = node;
  18 |         }
  19 |       },"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/svgo/lib/style.test.js,Conditional Test Logic,"{'line': 22, 'column': 2, 'index': 539}","  20 |     },
  21 |   });
> 22 |   if (matched == null) {
     |  ^ Conditional Test Logic
  23 |     throw Error('Assert node');
  24 |   }
  25 |   return matched;"
