file,type,line,method,methodStart,methodEnd,source
/tests/unit/set.test.js,GeneralFixture,"{'startLine':14,'endLine':14}","beforeEach(() => {
  outerDiv = document.createElement(""div"");
  settings = getExtendedSettings();
  instance = getFakeInstance();
})",13,17,snuts
/tests/unit/set.test.js,IdenticalTestDescription,"{'startLine':171,'endLine':176}","test(""with initially empty style attribute"", () => {
    innerDiv.setAttribute(""data-bg-multi"", `url(${url200})`);
    setMultiBackground(innerDiv, settings, instance);
    // Test cheating: bug in JsDOM doesn't return the url("""") with quotes inside
    expect(innerDiv.style.backgroundImage).toBe(`url(${url200})`);
  })",171,176,snuts
/tests/unit/set.test.js,IdenticalTestDescription,"{'startLine':177,'endLine':185}","test(""with initially present style attribute"", () => {
    innerDiv.setAttribute(""data-bg-multi"", `url(${url100})`);
    innerDiv.style = {
      padding: ""1px""
    };
    setMultiBackground(innerDiv, settings, instance);
    // Test cheating: bug in JsDOM doesn't return the url("""") with quotes inside
    expect(innerDiv.style.backgroundImage).toBe(`url(${url100})`);
  })",177,185,snuts
/tests/unit/set.test.js,IdenticalTestDescription,"{'startLine':186,'endLine':195}","test(""with initially present style and background"", () => {
    innerDiv.setAttribute(""data-bg-multi"", `url(${url200})`);
    innerDiv.style = {
      padding: ""1px"",
      backgroundImage: `url(${url100})`
    };
    setMultiBackground(innerDiv, settings, instance);
    // Test cheating: bug in JsDOM doesn't return the url("""") with quotes inside
    expect(innerDiv.style.backgroundImage).toBe(`url(${url200})`);
  })",186,195,snuts
/tests/unit/set.test.js,IdenticalTestDescription,"{'startLine':217,'endLine':223}","test(""with initially empty src"", () => {
    video.load = jest.fn();
    video.setAttribute(""data-src"", videoUrlAvi);
    setSources(video, settings, instance);
    expect(video).toHaveAttribute(""src"", videoUrlAvi);
    expect(video.load).toHaveBeenCalled();
  })",217,223,snuts
/tests/unit/restore.test.js,GeneralFixture,"{'startLine':21,'endLine':21}","beforeEach(() => {
  outerDiv = document.createElement(""div"");
  settings = getExtendedSettings();
  instance = getFakeInstance();
})",20,24,snuts
/tests/unit/restore.test.js,IdenticalTestDescription,"{'startLine':112,'endLine':117}","test(""when load hasn't been called on the element"", () => {
    restore(img);
    expect(img).not.toHaveAttribute(""srcset"");
    expect(source1).not.toHaveAttribute(""srcset"");
    expect(source2).not.toHaveAttribute(""srcset"");
  })",112,117,snuts
/tests/unit/restore.test.js,IdenticalTestDescription,"{'startLine':150,'endLine':163}","test(""has no classes nor status after restore"", () => {
    img.setAttribute(""data-src"", url100);
    source1.setAttribute(""data-srcset"", url200);
    source2.setAttribute(""data-srcset"", url400);
    load(img, settings, instance);
    restore(img, settings);
    expect(img).not.toHaveClassName(""applied"");
    expect(img).not.toHaveClassName(""loading"");
    expect(img).not.toHaveClassName(""loaded"");
    expect(img).not.toHaveClassName(""error"");
    expect(img).not.toHaveClassName(""entered"");
    expect(img).not.toHaveClassName(""exited"");
    expect(getStatus(img)).toBeNull();
  })",150,163,snuts
/tests/unit/restore.test.js,IdenticalTestDescription,"{'startLine':180,'endLine':183}","test(""when load hasn't been called on the element"", () => {
    restore(iframe);
    expect(iframe).not.toHaveAttribute(""srcset"");
  })",180,183,snuts
/tests/unit/restore.test.js,IdenticalTestDescription,"{'startLine':199,'endLine':210}","test(""has no classes nor status after restore"", () => {
    iframe.setAttribute(""data-src"", """");
    load(iframe, settings, instance);
    restore(iframe, settings);
    expect(iframe).not.toHaveClassName(""applied"");
    expect(iframe).not.toHaveClassName(""loading"");
    expect(iframe).not.toHaveClassName(""loaded"");
    expect(iframe).not.toHaveClassName(""error"");
    expect(iframe).not.toHaveClassName(""entered"");
    expect(iframe).not.toHaveClassName(""exited"");
    expect(getStatus(iframe)).toBeNull();
  })",199,210,snuts
/tests/unit/restore.test.js,IdenticalTestDescription,"{'startLine':228,'endLine':231}","test(""when load hasn't been called on the element"", () => {
    restore(innerDiv);
    expect(innerDiv.style.backgroundImage).toBe("""");
  })",228,231,snuts
