"file","type","smells","itCount","describeCount"
"tests/unit/set.test.js","GeneralFixture","[{""startLine"":14,""endLine"":14}]",19,7
"tests/unit/set.test.js","IdenticalTestDescription","[{""startLine"":171,""endLine"":176}]",19,7
"tests/unit/set.test.js","IdenticalTestDescription","[{""startLine"":177,""endLine"":185}]",19,7
"tests/unit/set.test.js","IdenticalTestDescription","[{""startLine"":186,""endLine"":195}]",19,7
"tests/unit/set.test.js","IdenticalTestDescription","[{""startLine"":217,""endLine"":223}]",19,7
"tests/unit/restore.test.js","GeneralFixture","[{""startLine"":21,""endLine"":21}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":112,""endLine"":117}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":150,""endLine"":163}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":180,""endLine"":183}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":199,""endLine"":210}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":228,""endLine"":231}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":256,""endLine"":267}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":284,""endLine"":287}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":289,""endLine"":294}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":305,""endLine"":312}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":314,""endLine"":325}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":347,""endLine"":350}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":352,""endLine"":357}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":359,""endLine"":365}]",29,6
"tests/unit/restore.test.js","IdenticalTestDescription","[{""startLine"":381,""endLine"":392}]",29,6
"tests/unit/restore.test.js","NonFunctionalStatement","[{""startLine"":337,""endLine"":338}]",29,6
"tests/unit/reset.test.js","GeneralFixture","[{""startLine"":13,""endLine"":13}]",1,1
"tests/unit/reset.test.js","GeneralFixture","[{""startLine"":14,""endLine"":14}]",1,1
"tests/unit/reset.test.js","GeneralFixture","[{""startLine"":15,""endLine"":15}]",1,1
"tests/unit/originalAttributes.test.js","GeneralFixture","[{""startLine"":14,""endLine"":14}]",1,1
"tests/unit/load.test.js","GeneralFixture","[{""startLine"":15,""endLine"":15}]",2,1
"tests/unit/cancelOnExit.test.js","GeneralFixture","[{""startLine"":16,""endLine"":16}]",8,2
"tests/unit/cancelOnExit.test.js","SubOptimalAssert","[{""startLine"":91,""endLine"":91}]",8,2
