file,type,line,method,methodStart,methodEnd,source
/tests/utils.test.js,AnonymousTest,"{'startLine':7,'endLine':39}","test('class component', () => {
    let isStrictMode;
    class TestComponent extends React.Component {
      static whyDidYouRender = true;
      render() {
        isStrictMode = checkIfInsideAStrictModeTree(this);
        return <div>hi!</div>;
      }
    }

    rtl.render(
      <div>
        <TestComponent/>
      </div>
    );

    expect(isStrictMode).toBe(false);

    rtl.render(
      <React.StrictMode>
        <>
          <div>
            <TestComponent/>
          </div>
          <div>
            hiiiiiiiii
          </div>
        </>
      </React.StrictMode>
    );

    expect(isStrictMode).toBe(true);
  })",7,39,snuts
/tests/strictMode.test.js,VerboseStatement,"{'startLine':335,'endLine':415}","test('Strict mode- strict parent and child', () => {
  const App = React.memo(() => {
    const [whatever, setWhatever] = React.useState({a: 'b'});
    const [whatever2, setWhatever2] = React.useState({a2: 'b2'});

    const clickme = () => {
      setWhatever({a: 'b'});
      setWhatever2({a2: 'b2'});
    };

    return (
      <div>
        <button onClick={clickme}>test</button>
        <div>{whatever.a} {whatever2.a2}</div>
        <Child />
      </div>
    );
  });

  function Child() {
    return <div>child</div>;
  }

  Child.whyDidYouRender = true;

  const StrictApp = () => (
    <React.StrictMode>
      <App/>
    </React.StrictMode>
  );

  const {getByText} = rtl.render(<StrictApp/>);
  const buttonReference = getByText('test');

  rtl.act(() => {
    buttonReference.click();
  });

  rtl.act(() => {
    buttonReference.click();
  });

  rtl.act(() => {
    buttonReference.click();
  });

  const ownerDifferences = {
    hookDifferences: [
      {
        hookName: 'useState',
        differences: [
          {
            diffType: 'deepEquals',
            pathString: '',
            prevValue: {a: 'b'},
            nextValue: {a: 'b'},
          },
        ],
      },
      {
        hookName: 'useState',
        differences: [
          {
            diffType: 'deepEquals',
            pathString: '',
            prevValue: {a2: 'b2'},
            nextValue: {a2: 'b2'},
          },
        ],
      },
    ],
    propsDifferences: false,
    stateDifferences: false,
  };

  expect(updateInfos).toHaveLength(3);

  expect(updateInfos[0].reason.ownerDifferences).toEqual(ownerDifferences);
  expect(updateInfos[1].reason.ownerDifferences).toEqual(ownerDifferences);
  expect(updateInfos[2].reason.ownerDifferences).toEqual(ownerDifferences);
})",335,415,snuts
/tests/shouldTrack.test.js,AnonymousTest,"{'startLine':94,'endLine':100}","test('Pure component', () => {
      whyDidYouRender(React, {
        trackAllPureComponents: true,
      });
      const isShouldTrack = shouldTrack(PureComponent, {isHookChange: false});
      expect(isShouldTrack).toBe(true);
    })",94,100,snuts
/tests/shouldTrack.test.js,AnonymousTest,"{'startLine':102,'endLine':108}","test('Memo component', () => {
      whyDidYouRender(React, {
        trackAllPureComponents: true,
      });
      const isShouldTrack = shouldTrack(MemoComponent, {isHookChange: false});
      expect(isShouldTrack).toBe(true);
    })",102,108,snuts
/tests/shouldTrack.test.js,IdenticalTestDescription,"{'startLine':130,'endLine':134}","test('Do not track not tracked component (default)', () => {
      whyDidYouRender(React);
      const isShouldTrack = shouldTrack(NotTrackedTestComponent, {isHookChange: true});
      expect(isShouldTrack).toBe(false);
    })",130,134,snuts
/tests/shouldTrack.test.js,IdenticalTestDescription,"{'startLine':136,'endLine':140}","test('Track tracked component', () => {
      whyDidYouRender(React);
      const isShouldTrack = shouldTrack(TrackedTestComponent, {isHookChange: true});
      expect(isShouldTrack).toBe(true);
    })",136,140,snuts
/tests/normalizeOptions.test.js,NonFunctionalStatement,"{'startLine':10,'endLine':10}","test('User can rewrite options', () => {
  const ownNotifier = () => {};
  const userOptions = {
    notifier: ownNotifier,
  };
  const options = normalizeOptions(userOptions);
  expect(options.notifier).toBe(ownNotifier);
  expect(options.consoleLog).toBe(console.log);
})",9,17,snuts
/tests/logOwnerReasons.test.js,IdenticalTestDescription,"{'startLine':250,'endLine':270}","test('owner props changed', () => {
    const {rerender} = rtl.render(<FunctionalOwner a={1}/>);
    rerender(<FunctionalOwner a={2} />);

    expect(updateInfos).toHaveLength(1);
    expect(updateInfos[0].reason).toEqual({
      propsDifferences: [],
      stateDifferences: false,
      hookDifferences: false,
      ownerDifferences: {
        propsDifferences: [{
          pathString: 'a',
          diffType: diffTypes.different,
          prevValue: 1,
          nextValue: 2,
        }],
        stateDifferences: false,
        hookDifferences: false,
      },
    });
  })",250,270,snuts
/tests/logOwnerReasons.test.js,IdenticalTestDescription,"{'startLine':272,'endLine':291}","test('owner state changed', () => {
    rtl.render(<ClassOwner/>);

    expect(updateInfos).toHaveLength(1);
    expect(updateInfos[0].reason).toEqual({
      propsDifferences: [],
      stateDifferences: false,
      hookDifferences: false,
      ownerDifferences: {
        propsDifferences: false,
        stateDifferences: [{
          pathString: 'a',
          diffType: diffTypes.different,
          prevValue: 1,
          nextValue: 2,
        }],
        hookDifferences: false,
      },
    });
  })",272,291,snuts
/tests/logOwnerReasons.test.js,IdenticalTestDescription,"{'startLine':293,'endLine':326}","test('owner hooks changed', () => {
    rtl.render(<HooksOwner/>);

    expect(updateInfos).toHaveLength(1);
    expect(updateInfos[0].reason).toEqual({
      propsDifferences: [],
      stateDifferences: false,
      hookDifferences: false,
      ownerDifferences: {
        propsDifferences: false,
        stateDifferences: false,
        hookDifferences: [
          {
            hookName: 'useState',
            differences: [{
              pathString: '',
              diffType: diffTypes.different,
              prevValue: 1,
              nextValue: 2,
            }],
          },
          {
            hookName: 'useState',
            differences: [{
              pathString: '',
              diffType: diffTypes.different,
              prevValue: 1,
              nextValue: 2,
            }],
          },
        ],
      },
    });
  })",293,326,snuts
