file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/utils.test.js,Duplicate Assert,"{'line': 23, 'column': 4, 'index': 522}","  21 |     );
  22 |
> 23 |     expect(isStrictMode).toBe(false);
     |    ^ Duplicate Assert
  24 |
  25 |     rtl.render(
  26 |       <React.StrictMode>"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/utils.test.js,Duplicate Assert,"{'line': 38, 'column': 4, 'index': 777}","  36 |     );
  37 |
> 38 |     expect(isStrictMode).toBe(true);
     |    ^ Duplicate Assert
  39 |   });
  40 |
  41 |   test('pure class component', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/utils.test.js,Duplicate Assert,"{'line': 57, 'column': 4, 'index': 1169}","  55 |     );
  56 |
> 57 |     expect(isStrictMode).toBe(false);
     |    ^ Duplicate Assert
  58 |
  59 |     rtl.render(
  60 |       <React.StrictMode>"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/utils.test.js,Duplicate Assert,"{'line': 72, 'column': 4, 'index': 1424}","  70 |     );
  71 |
> 72 |     expect(isStrictMode).toBe(true);
     |    ^ Duplicate Assert
  73 |   });
  74 | });
  75 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/logOwnerReasons.test.js,Conditional Test Logic,"{'line': 17, 'column': 2, 'index': 323}","  15 |
  16 | afterEach(() => {
> 17 |   if (React.__REVERT_WHY_DID_YOU_RENDER__) {
     |  ^ Conditional Test Logic
  18 |     React.__REVERT_WHY_DID_YOU_RENDER__();
  19 |   }
  20 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/logOwnerReasons.test.js,Conditional Test Logic,"{'line': 150, 'column': 6, 'index': 3534}","  148 |     function DerivedStateOwner({ready}) {
  149 |       const [wasReady, setWasReady] = React.useState(ready);
> 150 |       if (ready && !wasReady) {
      |      ^ Conditional Test Logic
  151 |         setWasReady(true);
  152 |       }
  153 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/logOwnerReasons.test.js,Magic Number,"{'line': 73, 'column': 37, 'index': 1582}","  71 |     rerender(<FunctionalOwner a={2} />);
  72 |
> 73 |     expect(updateInfos).toHaveLength(1);
     |                                     ^ Magic Number
  74 |     expect(updateInfos[0].reason).toEqual({
  75 |       propsDifferences: [],
  76 |       stateDifferences: false,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/logOwnerReasons.test.js,Magic Number,"{'line': 94, 'column': 37, 'index': 2098}","  92 |     rtl.render(<ClassOwner/>);
  93 |
> 94 |     expect(updateInfos).toHaveLength(1);
     |                                     ^ Magic Number
  95 |     expect(updateInfos[0].reason).toEqual({
  96 |       propsDifferences: [],
  97 |       stateDifferences: false,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/logOwnerReasons.test.js,Magic Number,"{'line': 115, 'column': 37, 'index': 2614}","  113 |     rtl.render(<HooksOwner/>);
  114 |
> 115 |     expect(updateInfos).toHaveLength(1);
      |                                     ^ Magic Number
  116 |     expect(updateInfos[0].reason).toEqual({
  117 |       propsDifferences: [],
  118 |       stateDifferences: false,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/logOwnerReasons.test.js,Magic Number,"{'line': 160, 'column': 37, 'index': 3827}","  158 |     rerender(<DerivedStateOwner ready={false}/>);
  159 |
> 160 |     expect(updateInfos).toHaveLength(2);
      |                                     ^ Magic Number
  161 |     expect(updateInfos[0].reason).toEqual({
  162 |       propsDifferences: [],
  163 |       stateDifferences: false,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/logOwnerReasons.test.js,Magic Number,"{'line': 206, 'column': 37, 'index': 5073}","  204 |     rtl.render(<CloneOwner><Child/></CloneOwner>);
  205 |
> 206 |     expect(updateInfos).toHaveLength(1);
      |                                     ^ Magic Number
  207 |     expect(updateInfos[0].reason).toEqual({
  208 |       propsDifferences: [],
  209 |       stateDifferences: false,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/logOwnerReasons.test.js,Magic Number,"{'line': 254, 'column': 37, 'index': 6259}","  252 |     rerender(<FunctionalOwner a={2} />);
  253 |
> 254 |     expect(updateInfos).toHaveLength(1);
      |                                     ^ Magic Number
  255 |     expect(updateInfos[0].reason).toEqual({
  256 |       propsDifferences: [],
  257 |       stateDifferences: false,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/logOwnerReasons.test.js,Magic Number,"{'line': 275, 'column': 37, 'index': 6775}","  273 |     rtl.render(<ClassOwner/>);
  274 |
> 275 |     expect(updateInfos).toHaveLength(1);
      |                                     ^ Magic Number
  276 |     expect(updateInfos[0].reason).toEqual({
  277 |       propsDifferences: [],
  278 |       stateDifferences: false,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/logOwnerReasons.test.js,Magic Number,"{'line': 296, 'column': 37, 'index': 7291}","  294 |     rtl.render(<HooksOwner/>);
  295 |
> 296 |     expect(updateInfos).toHaveLength(1);
      |                                     ^ Magic Number
  297 |     expect(updateInfos[0].reason).toEqual({
  298 |       propsDifferences: [],
  299 |       stateDifferences: false,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/defaultNotifier.test.js,Magic Number,"{'line': 372, 'column': 40, 'index': 9684}","  370 |
  371 |     const consoleOutputs = flushConsoleOutput();
> 372 |     expect(consoleOutputs).toHaveLength(0);
      |                                        ^ Magic Number
  373 |   });
  374 |
  375 |   test('For different state', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/defaultNotifier.test.js,Magic Number,"{'line': 389, 'column': 40, 'index': 10089}","  387 |
  388 |     const consoleOutputs = flushConsoleOutput();
> 389 |     expect(consoleOutputs).toHaveLength(0);
      |                                        ^ Magic Number
  390 |   });
  391 |
  392 |   test('For different props with logOnDifferentValues', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-router-dom.test.js,Conditional Test Logic,"{'line': 98, 'column': 6, 'index': 2421}","   96 |
   97 |     const rootReducer = (state, action) => {
>  98 |       if (action.type === 'differentState') {
      |      ^ Conditional Test Logic
   99 |         return {a: {b: 'd'}};
  100 |       }
  101 |"
