file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/winston.test.js,Unknown Test,"{'column': 2, 'line': 13}","  11 |
  12 | describe('Winston', function () {
> 13 |   it('should expose transports', function () {
     |  ^ Unknown Test
  14 |     assume(winston.transports).is.an('object');
  15 |     assume(winston.Transport).is.a('function');
  16 |     assume(!winston.transports.Transport).true();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/winston.test.js,Unknown Test,"{'column': 2, 'line': 21}","  19 |   });
  20 |
> 21 |   it('should have the expected initial state', function () {
     |  ^ Unknown Test
  22 |     assume(winston.default.transports).deep.equals([]);
  23 |     assume(winston.level).equals('info');
  24 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/winston.test.js,Unknown Test,"{'column': 4, 'line': 75}","  73 |     });
  74 |
> 75 |     it('exposes the configuration', function () {
     |    ^ Unknown Test
  76 |       assume(winston.config).is.an('object');
  77 |     });
  78 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/winston.test.js,Unknown Test,"{'column': 4, 'line': 79}","  77 |     });
  78 |
> 79 |     it('exposes the version', function () {
     |    ^ Unknown Test
  80 |       assume(winston.version).equals(require('../../../package.json').version);
  81 |     });
  82 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Conditional Test Logic,"{'line': 30, 'column': 2, 'index': 878}","  28 |   var logger = winston.createLogger({ transports: [transport] });
  29 |
> 30 |   if (open) {
     |  ^ Conditional Test Logic
  31 |     transport.once('open', open);
  32 |   }
  33 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Global Variable,"{'line': 22, 'column': 2, 'index': 570}","  20 | //
  21 | function logOnInterval(opts, done) {
> 22 |   var filename = opts.file;
     |  ^ Global Variable
  23 |   var interval = opts.interval || 100;
  24 |   var timeout = opts.timeout || 10 * 1000;
  25 |   var message = opts.message || '';"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Global Variable,"{'line': 23, 'column': 2, 'index': 598}","  21 | function logOnInterval(opts, done) {
  22 |   var filename = opts.file;
> 23 |   var interval = opts.interval || 100;
     |  ^ Global Variable
  24 |   var timeout = opts.timeout || 10 * 1000;
  25 |   var message = opts.message || '';
  26 |   var open = opts.open;"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Global Variable,"{'line': 24, 'column': 2, 'index': 637}","  22 |   var filename = opts.file;
  23 |   var interval = opts.interval || 100;
> 24 |   var timeout = opts.timeout || 10 * 1000;
     |  ^ Global Variable
  25 |   var message = opts.message || '';
  26 |   var open = opts.open;
  27 |   var transport = new winston.transports.File({ filename: filename });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Global Variable,"{'line': 25, 'column': 2, 'index': 680}","  23 |   var interval = opts.interval || 100;
  24 |   var timeout = opts.timeout || 10 * 1000;
> 25 |   var message = opts.message || '';
     |  ^ Global Variable
  26 |   var open = opts.open;
  27 |   var transport = new winston.transports.File({ filename: filename });
  28 |   var logger = winston.createLogger({ transports: [transport] });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Global Variable,"{'line': 26, 'column': 2, 'index': 716}","  24 |   var timeout = opts.timeout || 10 * 1000;
  25 |   var message = opts.message || '';
> 26 |   var open = opts.open;
     |  ^ Global Variable
  27 |   var transport = new winston.transports.File({ filename: filename });
  28 |   var logger = winston.createLogger({ transports: [transport] });
  29 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Global Variable,"{'line': 27, 'column': 2, 'index': 740}","  25 |   var message = opts.message || '';
  26 |   var open = opts.open;
> 27 |   var transport = new winston.transports.File({ filename: filename });
     |  ^ Global Variable
  28 |   var logger = winston.createLogger({ transports: [transport] });
  29 |
  30 |   if (open) {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Global Variable,"{'line': 28, 'column': 2, 'index': 811}","  26 |   var open = opts.open;
  27 |   var transport = new winston.transports.File({ filename: filename });
> 28 |   var logger = winston.createLogger({ transports: [transport] });
     |  ^ Global Variable
  29 |
  30 |   if (open) {
  31 |     transport.once('open', open);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Global Variable,"{'line': 65, 'column': 4, 'index': 1682}","  63 |
  64 |   it('returns a stream that emits ""line"" for every line', function (done) {
> 65 |     var tailable = path.join(testLogFixturesPath, 'common-tail-file.log');
     |    ^ Global Variable
  66 |     var expected = 0;
  67 |     //
  68 |     // Performs the actual tail and asserts it."
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Global Variable,"{'line': 66, 'column': 4, 'index': 1757}","  64 |   it('returns a stream that emits ""line"" for every line', function (done) {
  65 |     var tailable = path.join(testLogFixturesPath, 'common-tail-file.log');
> 66 |     var expected = 0;
     |    ^ Global Variable
  67 |     //
  68 |     // Performs the actual tail and asserts it.
  69 |     //"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Global Variable,"{'line': 71, 'column': 6, 'index': 1874}","  69 |     //
  70 |     function startTailFile() {
> 71 |       var stream = tailFile({ file: tailable });
     |      ^ Global Variable
  72 |       assume(stream).instanceof(Stream);
  73 |
  74 |       stream.on('line', function (buff) {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Unknown Test,"{'column': 2, 'line': 59}","  57 |   jest.setTimeout(10 * 1000);
  58 |
> 59 |   it('is a function', function () {
     |  ^ Unknown Test
  60 |     assume(tailFile).is.a('function');
  61 |     assume(tailFile.length).equals(2);
  62 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,Unknown Test,"{'column': 2, 'line': 64}","  62 |   });
  63 |
> 64 |   it('returns a stream that emits ""line"" for every line', function (done) {
     |  ^ Unknown Test
  65 |     var tailable = path.join(testLogFixturesPath, 'common-tail-file.log');
  66 |     var expected = 0;
  67 |     //"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/profiler.test.js,Global Variable,"{'line': 30, 'column': 4, 'index': 829}","  28 |       done();
  29 |     };
> 30 |     var profiler = new Profiler(logger);
     |    ^ Global Variable
  31 |     setTimeout(function () {
  32 |       profiler.done({
  33 |         something: 'ok',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/profiler.test.js,Sleepy Test,"{'line': 31, 'column': 4, 'index': 870}","  29 |     };
  30 |     var profiler = new Profiler(logger);
> 31 |     setTimeout(function () {
     |    ^ Sleepy Test
  32 |       profiler.done({
  33 |         something: 'ok',
  34 |         level: 'info',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/profiler.test.js,Unknown Test,"{'column': 2, 'line': 14}","  12 | const { PassThrough } = require('stream');
  13 | describe('Profiler', function () {
> 14 |   it('new Profiler()', function () {
     |  ^ Unknown Test
  15 |     assume(function () {
  16 |       new Profiler();
  17 |     }).throws('Logger is required for profiling');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/profiler.test.js,Unknown Test,"{'column': 2, 'line': 20}","  18 |   });
  19 |
> 20 |   it('.done({ info })', function (done) {
     |  ^ Unknown Test
  21 |     const logger = new Logger();
  22 |     logger.write = function (info) {
  23 |       assume(info).is.an('object');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/profiler.test.js,Unknown Test,"{'column': 2, 'line': 40}","  38 |   });
  39 |
> 40 |   it('non logger object', function(){
     |  ^ Unknown Test
  41 |     assume(function() {
  42 |       new Profiler(new Error('Unknown error'));
  43 |     }).throws('Logger is required for profiling');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Conditional Test Logic,"{'line': 310, 'column': 12, 'index': 10031}","  308 |           level: level,
  309 |           log: function (obj) {
> 310 |             if (level === 'info') {
      |            ^ Conditional Test Logic
  311 |               assume(obj).equals(undefined, 'Transport on level info should never be called');
  312 |             }
  313 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Conditional Test Logic,"{'line': 346, 'column': 12, 'index': 11008}","  344 |           level: level,
  345 |           log: function (obj) {
> 346 |             if (level === 'bad') {
      |            ^ Conditional Test Logic
  347 |               assume(obj).equals(undefined, 'transport on level ""bad"" should never be called');
  348 |             }
  349 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Conditional Test Logic,"{'line': 372, 'column': 10, 'index': 11780}","  370 |       const transport = new TransportStream({
  371 |         log(obj) {
> 372 |           if (obj.level === 'info') {
      |          ^ Conditional Test Logic
  373 |             assume(obj).equals(undefined, 'Transport on level info should never be called');
  374 |           }
  375 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Conditional Test Logic,"{'line': 681, 'column': 10, 'index': 22087}","  679 |         format: winston.format.printf((info) => {
  680 |           // Set a trap.
> 681 |           if (info.message === 'ENDOR') {
      |          ^ Conditional Test Logic
  682 |             throw new Error('ITS A TRAP!');
  683 |           }
  684 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Conditional Test Logic,"{'line': 801, 'column': 10, 'index': 25790}","  799 |           next();
  800 |
> 801 |           if (logged.length === 1) done();
      |          ^ Conditional Test Logic
  802 |         });
  803 |
  804 |         logger.info('Hello', {label: 'world'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Conditional Test Logic,"{'line': 814, 'column': 10, 'index': 26212}","  812 |           next();
  813 |
> 814 |           if (logged.length === 1) done();
      |          ^ Conditional Test Logic
  815 |         });
  816 |
  817 |         logger.info('Hello %j', {label: 'world'}, {extra: true});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Conditional Test Logic,"{'line': 827, 'column': 10, 'index': 26638}","  825 |           next();
  826 |
> 827 |           if (logged.length === 2) done();
      |          ^ Conditional Test Logic
  828 |         }, format.splat());
  829 |
  830 |         logger.info('Hello', {label: 'world'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Sleepy Test,"{'line': 724, 'column': 6, 'index': 23465}","  722 |
  723 |       logger.profile('testing1');
> 724 |       setTimeout(function () {
      |      ^ Sleepy Test
  725 |         logger.profile('testing1', {
  726 |           something: 'ok',
  727 |           level: 'info'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Sleepy Test,"{'line': 748, 'column': 6, 'index': 24230}","  746 |       });
  747 |
> 748 |       setTimeout(function () {
      |      ^ Sleepy Test
  749 |         logger.profile('testing2', {
  750 |           something: 'ok',
  751 |           level: 'info'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Sleepy Test,"{'line': 768, 'column': 6, 'index': 24853}","  766 |
  767 |       let timer = logger.startTimer();
> 768 |       setTimeout(function () {
      |      ^ Sleepy Test
  769 |         timer.done({
  770 |           message: 'testing1',
  771 |           something: 'ok',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 26}","  24 | describe('Logger Instance', function () {
  25 |   describe('Configuration', function () {
> 26 |     it('.configure()', function () {
     |    ^ Unknown Test
  27 |       let logger = winston.createLogger({
  28 |         transports: [new winston.transports.Console()]
  29 |       });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 39}","  37 |     });
  38 |
> 39 |     it('.configure({ transports })', function () {
     |    ^ Unknown Test
  40 |       let logger = winston.createLogger();
  41 |
  42 |       assume(logger.transports.length).equals(0);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 70}","  68 |
  69 |   describe('Get Highest Log Level', function () {
> 70 |     it('should return the highest log level', function () {
     |    ^ Unknown Test
  71 |       let logger = winston.createLogger();
  72 |
  73 |       const highestLogLevel = logger.getHighestLogLevel();"
