FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/winston.test.js,4,1,105,86,15,17.442,0.877,11.521,30307.476,391,1683.749,106,2630.617,116.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/tail-file.test.js,2,3,90,77,15,19.481,0.656,16.894,33226.189,298,1845.899,97,1966.774,111.761,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,2
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/profiler.test.js,3,3,66,67,14,20.896,0.405,12.956,15724.639,209,873.591,56,1213.737,121.615,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,45,3,1110,1307,143,10.941,14.147,92.077,3907913.419,5100,217106.301,320,42441.833,98.877,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,44
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger-legacy.test.js,1,1,113,111,16,14.414,0.874,16.765,43948.441,399,2441.58,95,2621.372,112.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/log-exception.test.js,6,6,173,184,24,13.043,1.677,22.283,112108.687,712,6228.26,134,5031.056,109.106,0,0,6,0,0,0,2,0,0,3,1,0,0,0,4,3
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/exception-stream.test.js,3,2,90,88,14,15.909,0.664,14.634,29168.395,302,1620.466,97,1993.174,113.557,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/create-logger.test.js,5,3,108,127,14,11.024,0.989,25.644,76056.691,458,4225.372,89,2965.886,104.336,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/container.test.js,11,2,90,99,16,16.162,0.865,20.849,54085.361,434,3004.742,63,2594.139,113.685,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/transports/stream.test.js,3,1,49,55,8,14.545,0.351,11.895,12527.52,183,695.973,54,1053.144,114.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/transports/http.test.js,5,3,183,156,26,16.667,1.23,28.193,104059.746,558,5781.097,98,3691.008,112.797,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/transports/file.test.js,12,3,444,386,45,11.658,2.893,56.352,489076.733,1150,27170.93,187,8678.929,102.977,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,12
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/transports/file-create-dir.test.js,2,2,50,44,7,15.909,0.282,12,10158.941,150,564.386,50,846.578,113.143,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/transports/error.test.js,8,2,119,122,24,19.672,0.809,24.258,58872.634,385,3270.702,79,2426.956,116.172,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/transports/console.test.js,4,2,184,106,14,13.208,1.01,18.079,54802.131,447,3044.563,110,3031.268,109.913,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/transports/00-file-stress.test.js,4,3,197,202,30,14.851,1.678,42.524,214104.613,753,11894.701,103,5034.935,108.337,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/config/config.test.js,1,1,21,18,3,16.667,0.127,5.789,2203.195,83,122.4,24,380.552,119.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/formats/errors.test.js,12,2,268,247,40,16.194,1.961,52,305981.15,902,16998.953,92,5884.253,109.867,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/integration/logger.test.js,2,1,18,19,4,21.053,0.089,9,2393.35,58,132.964,24,265.928,123.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/integration/formats.test.js,1,2,42,37,7,18.919,0.237,6.946,4939.104,123,274.395,55,711.107,121.595,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/helpers/handler-tests.js,7,2,101,110,18,16.364,0.97,17.915,52139.576,443,2896.643,95,2910.446,114.414,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
